[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 2090.908
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (4) Items 
 (88) x Ornament
 (67) x Candy Cane
 (62) x Ornament
 (56) x Candy Cane
Fulfill order for [c:lime]548 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  68 - z14
Adamyte Ore  884 - z4
Advanced 20mm (Doc)  90 - z29,380
Advanced ECM Energy Coil  47 - z256,725
Advanced ECM Range Lock  84 - z555,847
Advanced Energy Armor  58 - z106,450
Advanced Energy Capacitor  68 - z43,108
Advanced Engine Core  37 - z96,316
Advanced Filter  34 - z11,244
Advanced Ion Beam  28 - z111,595
Advanced Missile  309 - z275
Advanced Missile (Doc)  52 - z35,670
Advanced Missile Launcher  20 - z37,211
Advanced Missile Launcher (Doc)  82 - z285,097
Advanced Ore Harvester (Doc)  4 - z364,009
Advanced Railgun (Doc)  194 - z552,830
Advanced Regulator  23 - z11,203
Advanced Rocket Launcher (Doc)  50 - z439,254
Advanced Scan Emitter (Doc)  74 - z893,808
Advanced Skill Manual  73 - z463,781
Advanced Torpedo   85 - z344
Advanced Warp Drive Fuel (Doc)  59 - z479,088
Advanced Waste Unit  8 - z223,253
Afterburner Assembly (Doc)  29 - z52,422
Aged Wine  44 - z128
AI Bio Filter  12 - z802,242
AI Interface Drive  950 - z558
Aluminium Plates  489 - z282
Aluminium Rivets  58 - z42
Aluminium Shard  636 - z16
Anti-Freeze  34 - z46
Anti-Laser Pod (Doc)  62 - z222,938
Armor Plating  103 - z1,478
Assembly Tools  65 - z2,685
Atmospawn Thermobox  30 - z823,793
Auxiliary System Mount  699 - z5,724
Ball Bearings  524 - z51
Basic 20mm  120 - z25
Basic 60mm  380 - z29
Basic Beam Impact Mod  17 - z16,863
Basic Charged Cell  87 - z94
Basic Computer  590 - z1,118
Basic Computer (Doc)  44 - z19,074
Basic ECM Energy Coil  15 - z242,409
Basic Explosive Armor  72 - z14,363
Basic Filter  48 - z5,002
Basic Food Rations  39 - z53
Basic Ion Beam  99 - z9,026
Basic Laser Energy Mod  52 - z27,113
Basic Laser Explosive Mod  19 - z21,863
Basic Laser Explosive Mod (Doc)  53 - z199,350
Basic Missile   60 - z128
Basic Missile Launcher (Doc)  494 - z15,188
Basic Plasma Cannon  77 - z5,271
Basic Projectile Explosive Mod  33 - z23,363
