// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1173;28;1.19
ITEM;1161;77;0.79
ITEM;1120;34;1.05
ITEM;1157;50;0.65
ITEM;1155;54;1.13
ITEM;1029;50;0.66
ITEM;1074;16;1.09
ITEM;1114;31;1.21
ITEM;1171;99;1.18
ITEM;1400;58;0.53
ITEM;1128;37;1.06
ITEM;1153;34;1.03
ITEM;1075;58;0.55
ITEM;1076;5;1.07
ITEM;1450;76;0.58
ITEM;1408;68;0.93
ITEM;1014;94;1.10
ITEM;1406;73;0.73
ITEM;1476;22;0.98
ITEM;1067;20;0.50
ITEM;1210;84;0.77
ITEM;1480;63;0.90
ITEM;1009;29;0.64
ITEM;1160;40;1.05
ITEM;1025;87;1.22
ITEM;1070;2;0.79
ITEM;1212;9;0.66
ITEM;1172;74;0.57
ITEM;1068;78;1.09
ITEM;1112;54;1.17
ITEM;1062;97;0.68
ITEM;1059;69;0.56
ITEM;1109;7;0.88
ITEM;1776;84;1.13
ITEM;1600;79;1.21
ITEM;1550;58;1.20
ITEM;1551;67;0.66
ITEM;1762;93;0.88
ITEM;1541;98;0.68
ITEM;1644;39;1.13
ITEM;1720;17;0.78
ITEM;1553;12;0.59
ITEM;1601;31;0.89
ITEM;1594;96;0.98
ITEM;1650;72;0.68
ITEM;1642;58;1.17
ITEM;1711;52;1.19
ITEM;1770;15;0.84
ITEM;1572;68;0.52
ITEM;1618;41;0.97
ITEM;1712;19;0.98
ITEM;1702;33;1.04
ITEM;1754;64;1.09
ITEM;1503;17;1.01
ITEM;1772;44;0.79
ITEM;1771;47;0.55
ITEM;1584;51;1.12
ITEM;1581;53;1.08
ITEM;1512;37;1.20
ITEM;1523;12;0.77
ITEM;1533;17;0.94
ITEM;1785;74;0.50
ITEM;2131;497;0.94
ITEM;2130;183;0.99
ITEM;63;194;0.77
ITEM;77;266;1.02
ITEM;42;164;1.05
ITEM;2127;82;0.71
ITEM;2111;164;0.56
ITEM;50;380;0.88
ITEM;53;236;0.73
ITEM;2119;263;0.90
ITEM;76;85;0.92
ITEM;60;60;1.24
ITEM;2126;374;0.94
ITEM;2121;50;1.13
ITEM;2651;31;0.89
ITEM;2123;486;0.57
ITEM;62;102;0.65
ITEM;43;91;0.88
ITEM;61;309;1.19
ITEM;2125;494;0.50
ITEM;2112;379;0.51
ITEM;2116;82;0.56
ITEM;70;87;0.86
ITEM;2117;251;1.05
ITEM;2114;65;0.89
ITEM;2128;83;0.57
ITEM;75;455;0.63
ITEM;2650;21;0.91
ITEM;40;120;1.23
ITEM;2124;129;0.83
ITEM;2129;177;1.16
ITEM;2115;194;1.18
ITEM;2652;109;1.15
ITEM;723;90;0.75
ITEM;702;150;0.62
ITEM;677;68;1.12
ITEM;710;172;0.72
ITEM;753;135;1.02
ITEM;671;130;0.98
ITEM;746;110;0.95
ITEM;732;195;0.82
ITEM;672;10;0.57
ITEM;712;55;1.17
ITEM;728;146;1.15
ITEM;745;88;0.83
ITEM;700;95;0.97
ITEM;734;8;1.08
ITEM;703;34;0.93
ITEM;731;55;0.64
ITEM;720;121;0.74
ITEM;741;185;1.14
ITEM;737;73;0.93
ITEM;711;141;0.96
ITEM;756;81;0.57
ITEM;701;118;0.73
ITEM;752;176;0.92
ITEM;733;179;0.86
ITEM;692;99;0.87
ITEM;735;110;0.50
ITEM;760;125;1.25
ITEM;729;112;0.68
ITEM;681;23;0.63
ITEM;757;59;0.74
ITEM;722;84;0.98
ITEM;750;129;1.05
ITEM;730;160;0.69
ITEM;670;172;1.20
ITEM;680;9;0.52
ITEM;675;67;0.85
ITEM;691;58;0.79
ITEM;751;178;0.87
ITEM;755;53;0.75
ITEM;748;161;0.96
ITEM;690;30;0.79
ITEM;693;106;1.11
ITEM;749;48;0.96
ITEM;625;33;0.53
ITEM;602;9;1.24
ITEM;645;45;0.66
ITEM;608;1;1.15
ITEM;649;30;0.87
ITEM;648;42;1.11
ITEM;601;24;0.58
ITEM;647;18;0.92
ITEM;667;8;0.74
ITEM;661;47;0.64
ITEM;627;2;0.99
ITEM;607;29;1.00
ITEM;605;46;0.99
ITEM;603;25;0.93
ITEM;646;22;0.89
ITEM;600;1;0.66
ITEM;606;2;1.13
ITEM;643;21;1.07
ITEM;620;48;0.82
ITEM;623;10;1.03
ITEM;664;49;1.01
ITEM;621;35;0.57
ITEM;628;44;0.54
ITEM;629;12;0.85
ITEM;668;10;0.88
ITEM;663;3;0.53
ITEM;622;34;0.63
ITEM;642;37;0.88
ITEM;640;43;0.82
ITEM;669;40;1.02
ITEM;641;23;1.02
ITEM;644;21;0.85
ITEM;666;5;1.18
ITEM;662;11;0.99
ITEM;609;27;0.53
ITEM;604;37;1.06
ITEM;351;65;0.59
ITEM;407;41;1.00
ITEM;320;61;0.95
ITEM;333;73;1.12
ITEM;403;5;1.00
ITEM;304;17;0.91
ITEM;311;99;0.98
ITEM;350;40;0.63
ITEM;331;59;0.60
ITEM;305;34;1.17
ITEM;408;33;0.61
ITEM;301;36;0.66
ITEM;406;90;0.73
ITEM;341;13;0.93
ITEM;340;97;0.63
ITEM;332;67;0.94
ITEM;405;97;0.78
ITEM;324;56;0.68
ITEM;312;39;0.85
ITEM;404;67;1.12
ITEM;352;97;0.73
ITEM;343;87;1.11
ITEM;323;39;0.82
ITEM;321;26;0.79
ITEM;302;34;1.11
ITEM;300;1;0.76
ITEM;322;56;1.10
ITEM;313;90;1.20
ITEM;303;20;1.06
ITEM;330;62;0.51
ITEM;310;44;1.04
ITEM;342;40;0.99
ITEM;353;26;1.13
ITEM;325;78;0.93
ITEM;2;641;0.60
ITEM;27;291;0.87
ITEM;29;650;0.85
ITEM;20;802;0.68
ITEM;8;447;0.83
ITEM;6;604;0.63
ITEM;21;438;1.02
ITEM;24;909;1.23
ITEM;5;950;1.18
ITEM;10;250;0.53
ITEM;3;150;1.25
ITEM;4;897;1.03
ITEM;25;100;0.67
ITEM;7;255;0.83
ITEM;23;295;0.56
ITEM;1;884;0.62
ITEM;11;44;0.50
ITEM;26;901;0.61
ITEM;22;813;0.73
ITEM;28;9;0.90
ITEM;9;444;0.67
ITEM;111;636;0.81
ITEM;110;211;1.24
ITEM;104;1200;0.72
ITEM;107;372;1.19
ITEM;122;302;1.19
ITEM;108;336;1.23
ITEM;118;899;0.72
ITEM;102;204;0.91
ITEM;101;1178;1.23
ITEM;117;446;1.03
ITEM;124;1272;0.90
ITEM;109;398;0.67
ITEM;115;1294;0.50
ITEM;120;1396;0.60
ITEM;119;393;1.18
ITEM;2000;68;0.85
ITEM;113;1027;1.03
ITEM;116;1098;1.10
ITEM;121;181;1.06
ITEM;123;600;1.16
ITEM;112;1424;0.98
ITEM;100;377;0.70
ITEM;103;302;1.15
ITEM;114;51;0.58
ITEM;106;815;1.18
ITEM;105;639;0.53
ITEM;151;602;0.94
ITEM;2055;699;1.03
ITEM;2018;421;0.73
ITEM;2015;707;0.59
ITEM;212;683;0.91
ITEM;2058;36;0.98
ITEM;164;312;0.86
ITEM;2010;100;1.06
ITEM;214;619;0.74
ITEM;2025;950;0.54
ITEM;161;446;1.15
ITEM;170;837;0.74
ITEM;2038;396;0.52
ITEM;2056;929;0.55
ITEM;2037;746;1.18
ITEM;2057;610;1.03
ITEM;2035;724;0.58
ITEM;2046;678;0.89
ITEM;2048;871;0.86
ITEM;2012;283;1.16
ITEM;165;428;1.23
ITEM;152;440;0.80
ITEM;2017;859;0.52
ITEM;163;58;1.15
ITEM;2014;839;1.00
ITEM;2041;264;1.06
ITEM;2031;550;0.86
ITEM;2029;590;0.70
ITEM;162;827;1.23
ITEM;2009;105;0.94
ITEM;402;363;1.19
ITEM;2045;158;1.23
