// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1124;88;0.95
ITEM;1114;52;0.57
ITEM;1113;30;0.71
ITEM;1055;69;1.19
ITEM;1211;82;0.55
ITEM;1006;59;1.25
ITEM;1162;10;1.12
ITEM;1052;45;0.69
ITEM;1471;68;0.71
ITEM;1128;69;0.68
ITEM;1008;40;1.25
ITEM;1054;11;1.07
ITEM;1168;78;1.23
ITEM;1478;84;1.05
ITEM;1050;39;0.57
ITEM;1205;51;1.00
ITEM;1068;78;0.62
ITEM;1072;49;1.18
ITEM;1202;59;0.56
ITEM;1300;18;0.63
ITEM;1005;57;0.96
ITEM;1002;10;0.88
ITEM;1051;88;1.06
ITEM;1470;5;0.79
ITEM;1405;9;0.52
ITEM;1450;44;0.54
ITEM;1078;53;0.63
ITEM;1407;10;0.52
ITEM;1174;5;0.77
ITEM;1058;74;0.64
ITEM;1069;62;0.90
ITEM;1155;26;0.95
ITEM;1025;72;1.06
ITEM;1590;79;0.86
