// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Starbase Corporate Center
STATION;type;Assembly Station
STATION;owner;Vajeana
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color; 1.0 , 1.0, 0.0 , 1.0
STATION;level;8
STATION;icon;starbase.png
STATION;filename;sector_0_station_4.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-2-0-2-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;3-1-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;731.7263
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.93;npc_ship_data_(excavation_utility_1).txt
MERC;12;1.23;npc_ship_data_(excavation_utility_2).txt
MERC;15;1.47;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1114;9;0.99
ITEM;1402;68;0.95
ITEM;1471;8;0.72
ITEM;1054;45;0.81
ITEM;1102;27;0.51
ITEM;1014;11;0.89
ITEM;1021;6;0.50
ITEM;1403;30;1.11
ITEM;1172;11;1.17
ITEM;1077;16;1.23
ITEM;1055;18;0.82
ITEM;1020;78;0.81
ITEM;1115;23;1.10
ITEM;1011;48;1.06
ITEM;1053;59;0.69
ITEM;1155;47;1.11
ITEM;1015;60;0.80
ITEM;1002;13;0.53
ITEM;1174;7;0.93
ITEM;1477;25;1.10
ITEM;1112;71;1.00
ITEM;1052;43;0.71
ITEM;1116;69;0.96
ITEM;1207;48;1.12
ITEM;1620;2;0.61
ITEM;1563;12;0.91
ITEM;1761;2;1.22
ITEM;1766;8;0.97
ITEM;1513;21;0.61
ITEM;1633;78;1.19
ITEM;1511;40;1.15
ITEM;1650;69;0.94
ITEM;1622;4;1.05
ITEM;1592;10;1.08
ITEM;1643;55;0.81
ITEM;1712;8;1.03
ITEM;1584;25;1.08
ITEM;1531;59;1.10
ITEM;1775;19;1.03
ITEM;1721;66;0.78
ITEM;1642;14;1.18
ITEM;1722;67;1.04
ITEM;1634;52;0.55
ITEM;1602;43;0.82
ITEM;1564;13;0.94
ITEM;1601;77;0.51
ITEM;1600;59;0.79
ITEM;2125;159;1.10
ITEM;78;116;1.05
