// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Genistar
STATION;type;Deep Space Array
STATION;owner;Couue Atelow
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;1
STATION;icon;genistar.png
STATION;filename;sector_80_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-4-1-1-5-0-6-3-0-1-90
STATION;interior_seed;5-9-45-1
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.93;npc_ship_data_(pirate_frigate_1).txt
MERC;9;0.76;npc_ship_data_(battle_shuttle_1).txt
MERC;6;1.49;npc_ship_data_(recon_escort_1).txt
MERC;6;1.66;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1460;5;0.87
ITEM;1200;5;1.18
ITEM;1003;3;0.92
ITEM;1150;7;0.61
ITEM;1050;7;0.54
ITEM;1001;6;0.79
ITEM;1120;7;0.82
ITEM;1100;8;1.16
ITEM;1470;9;0.71
ITEM;1400;6;0.70
ITEM;1170;5;1.08
ITEM;1110;9;0.76
ITEM;1002;1;0.78
ITEM;1160;3;0.89
ITEM;1052;2;0.72
ITEM;1054;5;0.66
ITEM;1540;9;0.77
ITEM;1750;7;0.76
ITEM;1560;2;1.21
ITEM;1620;7;0.77
ITEM;1570;4;1.17
ITEM;1520;1;1.14
ITEM;1610;8;0.76
ITEM;1580;2;1.19
ITEM;1550;2;0.99
ITEM;1630;3;1.06
ITEM;1615;1;1.02
ITEM;1510;5;0.58
ITEM;1590;2;1.15
ITEM;1530;6;1.11
ITEM;1650;2;1.20
ITEM;1600;4;0.53
ITEM;1640;8;0.72
ITEM;1500;1;0.77
ITEM;2119;1;0.72
ITEM;63;41;0.77
ITEM;43;6;0.82
ITEM;2115;12;1.10
ITEM;41;1;0.97
ITEM;2126;6;0.66
ITEM;2127;47;1.22
ITEM;2125;17;0.68
ITEM;50;17;0.53
ITEM;51;35;1.14
ITEM;2118;17;0.80
ITEM;749;1;0.72
ITEM;746;5;1.15
ITEM;681;15;1.22
ITEM;723;9;0.54
ITEM;748;2;1.00
ITEM;742;1;0.98
ITEM;731;8;0.87
ITEM;692;16;0.91
ITEM;755;4;0.88
ITEM;672;17;1.15
ITEM;760;7;0.64
ITEM;600;4;0.82
ITEM;640;2;0.69
ITEM;660;3;0.90
ITEM;620;4;1.18
ITEM;300;3;0.54
ITEM;406;4;1.14
ITEM;302;2;0.69
ITEM;404;1;1.24
ITEM;405;1;0.98
ITEM;301;1;1.07
ITEM;408;7;0.82
ITEM;403;7;0.64
ITEM;407;2;0.95
ITEM;20;80;0.81
ITEM;1;69;0.88
ITEM;101;145;0.90
ITEM;103;79;0.81
ITEM;100;67;0.98
ITEM;152;86;0.95
ITEM;155;87;0.54
ITEM;153;94;1.19
ITEM;158;89;1.16
ITEM;156;34;0.74
ITEM;151;76;0.97
ITEM;164;27;0.76
ITEM;150;96;0.86
ITEM;157;95;1.11
ITEM;168;56;0.70
ITEM;2289;5;0.53
ITEM;2279;9;1.12
ITEM;2314;6;0.75
ITEM;2329;8;0.86
ITEM;2324;6;0.67
ITEM;2210;4;0.70
ITEM;2264;3;0.83
ITEM;2110;2;0.83
ITEM;2550;1;0.80
ITEM;2150;7;0.91
ITEM;2385;9;1.25
ITEM;2434;6;0.77
ITEM;2284;2;0.99
ITEM;2319;6;0.91
ITEM;2344;8;1.05
ITEM;2299;1;0.81
ITEM;2240;6;0.69
ITEM;2170;8;0.77
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;26;0.81
SKILL;59;1.21
SKILL;31;1.89
SKILL;15;1.47
SKILL;13;0.98
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;1.08;ship_data_(battle_utility_1).txt
SHIP;3;1.08;ship_data_(recon_shuttle_1).txt
SHIP;4;0.94;ship_data_(pirate_frigate_1).txt
SHIP;5;0.91;ship_data_(transport_escort_1).txt
SHIP;6;1.02;ship_data_(recon_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
