// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Temple of the Void
STATION;type;Organization Center
STATION;owner;Xocae Sedlocki
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;7
STATION;icon;totv.png
STATION;filename;sector_97_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-0-3-1-1-2-0-2-3-1-2-1-3-0-1-3-0-7-7-3-0-90
STATION;interior_seed;4-1-30-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.62;npc_ship_data_(support_frigate_1).txt
MERC;6;1.16;npc_ship_data_(recon_carrier_1).txt
MERC;7;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;2;1.96;npc_ship_data_(recon_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1200;34;0.84
ITEM;1026;52;0.81
ITEM;1406;47;1.19
ITEM;1014;9;1.08
ITEM;1025;35;0.58
ITEM;1203;50;0.88
ITEM;1163;12;1.23
ITEM;1476;23;0.53
ITEM;1053;57;0.96
ITEM;1161;57;1.02
ITEM;1013;13;0.69
ITEM;1021;43;0.50
ITEM;1205;39;0.94
ITEM;1020;26;0.76
ITEM;1064;66;1.12
ITEM;1008;47;1.18
ITEM;1151;66;0.74
ITEM;1400;23;0.70
ITEM;1065;3;0.61
ITEM;1006;16;1.02
ITEM;1002;50;1.17
ITEM;1012;3;1.00
ITEM;1722;67;0.64
ITEM;1751;25;1.15
ITEM;1640;52;1.00
ITEM;1750;67;1.08
ITEM;1781;47;0.94
ITEM;1583;22;0.69
ITEM;1614;22;0.89
ITEM;1651;16;0.84
ITEM;1564;33;0.98
ITEM;1574;11;1.19
ITEM;1624;69;0.73
ITEM;1503;63;0.75
ITEM;1542;38;1.14
ITEM;1615;1;0.58
ITEM;1550;53;1.18
ITEM;1540;14;1.23
ITEM;1530;18;0.83
ITEM;1513;34;1.08
ITEM;1610;41;0.61
ITEM;1522;41;1.20
ITEM;1580;15;1.07
ITEM;1590;46;0.96
ITEM;2111;255;0.81
ITEM;2651;35;1.23
ITEM;2129;35;0.61
ITEM;2124;346;0.78
