NPC;-QTY;0;-4;7087.5;Mazu Starship;Volox;5h 48m 34s ;20914.43
NPC;+LOCAL;12;10;2730;Proctors Center;Void Starcross;6h 57m 33s ;25053.58
NPC;+STOCK;77;8;4750.807;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;60;8;7057.583;Valuestar Hub;Jelumus;9h 35m 31s ;34531.46
NPC;+LOCAL;9;1;7077.857;Blargg's;Beacon Spita;12h 24m 57s ;44697.23
NPC;+STOCK;85;8;4569.858;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+LOCAL;12;60;2730;Proctors Center;Void Starcross;14h 45m 0s ;53100.76
NPC;+QTY;27;10;9005.482;Daemon Ammunitions;Starfort Ramos;15h 31m 43s ;55903.28
NPC;BAL;67;-10;5497.723;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;17;9;9424.76;Xellon;Ele;18h 50m 39s ;67839.91
NPC;+LOCAL;12;41;2730;Proctors Center;Void Starcross;19h 40m 55s ;70855.4
NPC;+STOCK;77;10;5307.935;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;20;8;2840.512;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+PRICE;11;0;10366.82;Horizons;Gate of Alpharis;21h 30m 39s ;77439.77
