PLAYER;-QTY;9;1;17272.5;Tella's;Bitcola;2h 25m 20s ;8720.613
NPC;BAL;10;0;16509.22;CoraVault;Lins;3h 0m 30s ;10830.27
NPC;BAL;12;-6;16147.3;Oak Industries;Dorando Corridor;3h 56m 14s ;14174.64
PLAYER;-QTY;6;3;15251.25;OmniTrust;Ponze;6h 1m 18s ;21678.9
NPC;-QTY;0;-6;17219.78;Terra Drone;Geminey;6h 57m 24s ;25044.14
NPC;-PRICE;24;0;8562.596;Daemon Ammunitions;Starfort Ramos;15h 13m 39s ;54819.5
PLAYER;-QTY;13;2;16974.13;Monarch Society;Solitudes of Frey;15h 19m 17s ;55157.16
NPC;+QTY;16;6;16867.9;CoraVault;Lins;15h 31m 43s ;55903.28
NPC;+QTY;33;9;8569.137;Daemon Ammunitions;Starfort Ramos;15h 31m 43s ;55903.28
NPC;-LOCAL;0;0;19715.11;Crystalis Broadcasting;Jermicus;17h 15m 50s ;62150.7
PLAYER;+QTY;35;2;8539.563;Daemon Ammunitions;Starfort Ramos;17h 18m 47s ;62327.4
NPC;-LOCAL;0;0;29682.82;Crystalis Broadcasting;Jermicus;18h 28m 24s ;66504.64
NPC;-LOCAL;0;0;34545.11;Crystalis Broadcasting;Jermicus;19h 4m 13s ;68653.3
NPC;-LOCAL;0;0;34614.8;Crystalis Broadcasting;Jermicus;19h 7m 21s ;68841.83
NPC;-LOCAL;0;0;35000;Crystalis Broadcasting;Jermicus;20h 3m 35s ;72215.7
PLAYER;+QTY;17;4;17097.5;Monarch Society;Solitudes of Frey;21h 28m 13s ;77293.98
