NPC;+STOCK;26;11;28839.77;Acrondia Hub;Temple Gates;4h 47m 59s ;17279.98
NPC;-LOCAL;14;0;47250;Oro Omniplex Center;Merces Academy;5h 0m 18s ;18018.03
NPC;-QTY;27;-6;41729.63;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;-QTY;53;-6;28502.91;Transporteers;Hunu;6h 57m 24s ;25044.14
NPC;+STOCK;22;8;59287.69;Oro Omniplex Center;Merces Academy;7h 18m 7s ;26287.49
NPC;+STOCK;36;9;40926.21;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;-PRICE;5;0;31845.06;CoraVault;Lins;14h 47m 2s ;53222.26
NPC;+QTY;44;8;40688.55;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;-LOCAL;21;21;47945.18;Oro Omniplex Center;Merces Academy;16h 25m 58s ;59158.07
NPC;-QTY;1;-6;45474.98;Tella's;Bitcola;18h 3m 42s ;65022.39
NPC;+STOCK;54;10;39970.64;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
