NPC;-QTY;0;-9;26200;Quah Relay Station;Noah Fox;2h 45m 6s ;9906.131
NPC;+LOCAL;12;12;13000;StarGypsy Warehouse;Void Starcross;2h 46m 5s ;9965.965
NPC;+LOCAL;12;3;13000;StarGypsy Warehouse;Void Starcross;2h 55m 46s ;10546.06
NPC;-LOCAL;5;0;45000;CoraVault Hub;Pindoris;3h 37m 47s ;13067.21
NPC;+LOCAL;12;9;13000;StarGypsy Warehouse;Void Starcross;3h 59m 58s ;14398.3
NPC;+STOCK;77;10;45765.75;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;+STOCK;14;9;47613.8;Star Shepards Hub;Temple Gates;4h 47m 59s ;17279.98
NPC;+LOCAL;12;18;13000;StarGypsy Warehouse;Void Starcross;5h 44m 9s ;20649.97
NPC;+LOCAL;12;12;13000;StarGypsy Warehouse;Void Starcross;6h 49m 32s ;24572.41
NPC;+LOCAL;12;6;13000;StarGypsy Warehouse;Void Starcross;7h 28m 1s ;26881.37
NPC;+STOCK;21;9;13826.25;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;28;9;38450.24;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+LOCAL;12;7;13000;StarGypsy Warehouse;Void Starcross;8h 32m 1s ;30721.06
NPC;-LOCAL;0;0;100000;CoraVault Hub;Pindoris;11h 27m 56s ;41276.43
NPC;-LOCAL;0;0;100000;CoraVault Hub;Pindoris;11h 34m 18s ;41658.76
NPC;-LOCAL;16;16;45000;CoraVault Hub;Pindoris;11h 36m 50s ;41810.71
