NPC;BAL;124;-2;10999.38;CoraVault;Lins;3h 0m 30s ;10830.27
NPC;-QTY;0;99;13242.75;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;-QTY;225;-1;10362.75;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;381;2;6005.569;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;262;2;11179.31;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;0;99;12700.22;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;130;2;13356.5;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;2;2;12740.88;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;227;2;10072.24;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;395;2;7548.355;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;383;2;5809.409;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;-QTY;128;-2;13375.35;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;+QTY;136;1;13584.97;Daemon Ammunitions;Starfort Ramos;15h 31m 43s ;55903.28
NPC;+QTY;230;1;11385.3;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;BAL;379;-2;6653.917;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;99;2;6083.488;Xellon;Ele;18h 50m 39s ;67839.91
NPC;+STOCK;381;2;6382.344;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;0;99;12401.52;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;262;2;10735.56;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;130;2;12807.07;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;0;99;9512.897;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;397;2;7105.23;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;379;-2;7262.187;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;228;-2;11608.03;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;1;1;9670.276;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
