NPC;+STOCK;34;2;28200.46;Gemini Mining;Jala;4h 52m 43s ;17563.45
NPC;-QTY;288;-1;51389.63;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;290;2;50462.27;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;239;2;53907;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;231;0;28306.56;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+QTY;99;2;30342.38;Horizons;Gate of Alpharis;15h 31m 43s ;55903.28
NPC;-QTY;160;-1;33745.16;ValueStar;Hunu;19h 42m 52s ;70972.37
NPC;+STOCK;292;2;49756.91;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;241;2;52616.45;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+PRICE;99;0;31225.73;Horizons;Gate of Alpharis;21h 30m 39s ;77439.77
NPC;BAL;291;-1;46450.74;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
