NPC;+STOCK;5;2;945849.3;Star Shepards Hub;Temple Gates;4h 47m 59s ;17279.98
NPC;-QTY;355;-2;1309924;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;85;2;912575.9;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;357;2;1231779;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;48;2;2065600;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;174;2;1067570;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;12;2;2088335;CoraVault Hub;Pindoris;11h 40m 3s ;42003.88
NPC;+STOCK;87;2;840156.9;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;-PRICE;7;0;1025326;Daemon Ammunitions;Starfort Ramos;15h 13m 39s ;54819.5
NPC;BAL;84;-1;999934;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+PRICE;92;0;2182029;Oro Omniplex Center;Merces Academy;18h 10m 58s ;65458.34
NPC;+STOCK;86;2;967044.7;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;202;2;1078780;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;359;2;1201984;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;50;2;2019888;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;176;2;998147.8;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;85;-1;1112241;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;358;-1;1316566;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;31;-2;1758602;Blissheads;Estura Cove;22h 13m 8s ;79988.3
