NPC;+STOCK;722;721;598.92;Tella's;Bitcola;3h 44m 31s ;13471.02
NPC;-QTY;0;-82;999.3849;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;865;860;975.2612;Oro Omniplex Center;Merces Academy;7h 18m 7s ;26287.49
NPC;+STOCK;791;771;961.6998;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;893;858;949.6912;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;795;785;1180.651;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;679;679;963.696;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;935;898;1032.935;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;916;888;511.044;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;-LOCAL;0;0;2284.7;Transporteers Hub;Ambervellis Drea;11h 21m 7s ;40867.41
NPC;-LOCAL;0;0;2284.7;Transporteers Hub;Ambervellis Drea;11h 25m 46s ;41146.25
