NPC;-PRICE;9;0;29659.56;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;45;-21;33576.19;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;24;19;17506.91;Oro Omniplex Center;Merces Academy;7h 18m 7s ;26287.49
NPC;+STOCK;29;20;13759.6;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;75;24;30206.49;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;67;22;32414.32;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;50;21;12852.3;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+STOCK;44;24;26011.16;Tella's;Bitcola;15h 8m 58s ;54538.96
NPC;+QTY;79;12;32366.93;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;BAL;12;-17;15190.85;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+PRICE;5;0;19865.42;Oro Omniplex Center;Merces Academy;18h 10m 58s ;65458.34
NPC;-QTY;7;-13;26533.91;Tella's;Bitcola;18h 54m 42s ;68082.57
NPC;+STOCK;33;21;14242;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;98;23;28771.53;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;98;19;31763.31;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;19;-14;15757.07;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;76;-22;29487.2;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
