NPC;+LOCAL;2;1;6939.744;Acrondia Hub;Temple Gates;0h 27m 13s ;1633.259
NPC;+LOCAL;15;1;3772.802;Starbase Corporate Center;Void Starcross;1h 37m 31s ;5851.223
NPC;+LOCAL;15;2;2436.937;Starbase Corporate Center;Void Starcross;5h 47m 39s ;20859.19
NPC;+STOCK;133;12;4453.497;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;51;11;7722.439;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;25;10;2267.987;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;29;11;7375.81;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;119;0;5865.445;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+LOCAL;15;78;1950;Starbase Corporate Center;Void Starcross;14h 37m 22s ;52642.46
NPC;+LOCAL;15;5;1950;Starbase Corporate Center;Void Starcross;15h 5m 23s ;54323.49
NPC;-QTY;38;-13;7707.675;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;BAL;126;-7;4618.687;Biomate University;Void Starcross;16h 10m 6s ;58206.41
