NPC;-PRICE;71;0;187408;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;+LOCAL;15;2;115558.3;Starbase Corporate Center;Void Starcross;5h 39m 51s ;20391.94
NPC;+LOCAL;15;2;78774.04;Starbase Corporate Center;Void Starcross;5h 47m 39s ;20859.19
NPC;+LOCAL;15;8;53625;Starbase Corporate Center;Void Starcross;6h 24m 3s ;23043.55
NPC;+STOCK;171;10;157988.2;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;123;14;141182.4;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;28;13;56550.66;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;91;14;150041.8;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;31;0;146589.7;Acrondia Hub;Temple Gates;8h 43m 42s ;31422.46
NPC;+STOCK;185;14;151815.8;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+LOCAL;15;77;53625;Starbase Corporate Center;Void Starcross;14h 37m 22s ;52642.46
NPC;+PRICE;57;0;100750.2;SimKitten;Kolkax Prime;14h 51m 18s ;53478.49
NPC;+LOCAL;15;4;53625;Starbase Corporate Center;Void Starcross;15h 5m 23s ;54323.49
NPC;BAL;157;-14;163883.6;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+LOCAL;15;7;53625;Starbase Corporate Center;Void Starcross;17h 8m 13s ;61693.48
NPC;-QTY;0;-9;156775.8;Vita Assembly;Capital Void;18h 54m 42s ;68082.57
NPC;+LOCAL;15;15;53625;Starbase Corporate Center;Void Starcross;18h 58m 49s ;68329.49
NPC;+LOCAL;15;9;53625;Starbase Corporate Center;Void Starcross;19h 43m 2s ;70982.77
NPC;+STOCK;171;14;160839.6;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;122;13;138485;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;25;10;56625.94;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;104;13;143650.6;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+LOCAL;15;14;53625;Starbase Corporate Center;Void Starcross;20h 52m 23s ;75143.21
NPC;+LOCAL;15;3;53625;Starbase Corporate Center;Void Starcross;21h 12m 58s ;76378.03
NPC;BAL;159;-12;170243.1;Biomate University;Void Starcross;22h 13m 8s ;79988.3
