[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 81186.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (820) x Wrapped Box
 (616) x Wrapped Box
Fulfill order for [c:lime]1,139 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (544) x Candy Cane
 (666) x Candy Cane
Fulfill order for [c:lime]704 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Ore  1334 - z371
Xenox Ore  4560 - z283
Weapons Component  4297 - z352
Water  471 - z1
Waste Processor  11 - z23,904
Waste Burner  5 - z22,698
Uranium  324 - z141
Undamaged Part  2789 - z54
Transport Units  1097 - z7,813
Torim Ore  1038 - z54
Torim Extractor  11 - z1,541,380
Titanyte Plates  614 - z934
Titanyte  1222 - z66
Titan Salvage Drone  120 - z281,258
Titan Mining Drone (Doc)  38 - z1,299,240
Titan Mining Drone  30 - z261,258
Titan Defense Drone  41 - z256,258
Thermex Controller  21 - z346,589
Thermal Insulation  881 - z39
Thermal Generex  49 - z76,407
Thermal Controller  47 - z5,915
Textile Fabrics  852 - z998
Temperature Genie  37 - z20,045
Synth Filter  34 - z71,811
Surf-n-Turf  24 - z651,956
Steelium Plates  493 - z786
Steelium Beam  448 - z11
Steelium  641 - z47
Spotlight (Doc)  8 - z53,289
Spotlight  68 - z7,088
Sporting Equipment  1197 - z1,531
Spaghetti  5 - z637,317
Small Web Field  188 - z5,560
Small Salvage Drone  55 - z4,830
Small Repair Drone  84 - z5,010
Small Motor  694 - z259
Small Mining Drone  126 - z4,710
Small Microchip  822 - z493
Small LS Bomb  13 - z6,685
Small Life Support Pack  115 - z5,175
Small Defense Drone  75 - z5,970
Silveryte  367 - z89
Silicon  1080 - z6
Servo Controls  153 - z8,612
Sensor Array  547 - z3,210
Scrap Part  2941 - z35
Salt Crystal  243 - z2
Rubber Tubing  16 - z26
Reinforced Rubber  310 - z15
Regulator (Doc)  68 - z1,527
Quazor Ore  8499 - z23
Prototype Warp Drive Fuel  438 - z14,616
Prototype Turn Thrust  79 - z334,410
Prototype Torpedo Launcher  69 - z636,605
Prototype Torpedo   266 - z982
Prototype Scan Booster (Doc)  57 - z3,082,674
Prototype Rocket Launcher (Doc)  489 - z3,230,260
Prototype Railgun (Doc)  253 - z6,712,493
Prototype Ore Harvester  87 - z1,607,235
Prototype Missile Launcher (Doc)  179 - z6,037,570
Prototype Missile   3035 - z424
Prototype Heavy Cannon (Doc)  167 - z3,668,834
Prototype Energy Generator  55 - z468,174
Prototype Energy Armor  46 - z390,013
Prototype ECM Resistance Field  102 - z1,002,951
Prototype ECM Energy Coil  45 - z904,631
Prototype Drone Command Bay  67 - z611,220
Prototype 60mm (Doc)  64 - z251,258
Prototype 20mm  1490 - z118
Protein Bar  3 - z5,285
Prometheum  1458 - z81
Pressure Sensor (Doc)  81 - z1,335
Premium Torpedo Launcher  14 - z361,962
Premium Thruster  30 - z175,565
Premium Shield Booster  14 - z151,006
Premium Scan Booster  45 - z158,845
Premium Rocket Launcher  11 - z259,618
Premium Railgun (Doc)  79 - z1,233,570
Premium Missile Launcher (Doc)  85 - z1,114,266
Premium Heavy Laser  41 - z354,909
Premium Heavy Cannon  78 - z368,114
Premium Cargo Expansion  11 - z209,006
Premium Afterburner (Doc)  72 - z2,217,660
Premium Afterburner  23 - z120,805
Polymere  749 - z60
Plastix Strands  1120 - z4
Plastic Caps  560 - z59
Plasite Ore  4648 - z60
Pizza  35 - z346,589
Personal Clothing  1144 - z785
Oxygen  302 - z3
Optical Interface  167 - z123
OmniCon Regulator  23 - z54,165
Oil  399 - z13
Office Supplies  859 - z4,286
Office Furniture  791 - z955
Noodles  22 - z7,779
Nitrogen  953 - z10
Neutron Pods  197 - z44
Musical Instruments  843 - z2,211
Motion Sensor  813 - z168
Module Fragment  1874 - z237
Misc Hardware  698 - z488
Micro Leech Drone  152 - z15,375
Micro Computer (Doc)  12 - z58,061
Micro Computer  520 - z7,454
Metal Valve  442 - z34
Metal Fragment  4563 - z71
Memory Chip  753 - z158
Medium Web Field  126 - z25,081
Medium Shield Charge  158 - z22,996
Medium Salvage Drone  93 - z8,325
Medium Repair Drone  113 - z15,225
Medium Mining Drone  196 - z14,025
Medium Defense Drone (Doc)  74 - z74,003
Medium Defense Drone  75 - z13,575
Medium Armor Repair  9 - z13,561
Medium Armor Bomb  19 - z15,796
Medical Instruments  954 - z7,326
Media Recordings  997 - z1,370
Mechanical Tools  745 - z4,206
Mechanical Belts (Doc)  59 - z348
Mechanical Belts  331 - z45
