[s:30][c:yellow]StarGypsy Warehouse[/c][/s]
Tavern Station
Pinratus Flake
Pirate
[c:lime]Dock fee 25[/c]
Timestamp: 71284.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay
Fusion Chamber
Gravitational Emitter
Gyroscope Drive
Heating Unit
Hydraulic Assembly
Ionization Plate
Large Motor
Lidar System
Magnetic Regulator
Radar System
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Armor Exterior
Improved Armor Exterior
Advanced Armor Exterior
Premium Armor Exterior
Prototype Armor Exterior
Basic Impact Armor
Improved Impact Armor
Advanced Impact Armor
Premium Impact Armor
Prototype Impact Armor
Basic Energy Armor
Improved Energy Armor
Advanced Energy Armor
Premium Energy Armor
Prototype Energy Armor
Basic Explosive Armor
Improved Explosive Armor
Advanced Explosive Armor
Premium Explosive Armor
Prototype Explosive Armor

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Water  457 - z1
Waste Processor  15 - z13,570
Waste Burner  13 - z38,003
UV Filter  1 - z51,404
Uranium Core  294 - z929
Titanyte Pipes  130 - z457
Titan Salvage Drone  105 - z170,743
Titan Defense Drone  7 - z200,743
Titan Combat Drone  32 - z163,243
Thermal Sensor  219 - z90
Thermal Generex  34 - z88,808
Thermal Controller  19 - z8,771
Textile Fabrics  238 - z1,409
Temperature Genie  33 - z22,359
Synth Filter  26 - z68,128
Steelium Beam  631 - z9
Steelium  372 - z28
Sporting Equipment  185 - z2,154
Small Web Field  5 - z8,184
Small Tractor Drone  82 - z10,245
Small Storage Tank  507 - z49
Small Repair Drone  43 - z6,978
Small Mining Drone  38 - z7,698
Small Microchip  155 - z908
Small Heatsink  4 - z180
Small Electronics  272 - z826
Small Combat Drone  117 - z7,398
Silicon  299 - z8
Scrap Part  4213 - z38
Regulator  418 - z131
Radar System  150 - z1,865
Quazor Ore  1952 - z21
Prototype Shield Generator (Doc)  55 - z3,644,206
Prototype Shield Booster  4 - z341,189
Prototype Scan Booster  52 - z402,184
Prototype Rocket Launcher (Doc)  108 - z5,110,231
Prototype Railgun (Doc)  10 - z6,888,592
Prototype Missile Launcher (Doc)  309 - z6,776,735
Prototype Impact Armor  75 - z574,864
Prototype Heavy Cannon (Doc)  137 - z7,123,379
Prototype Energy Generator  56 - z341,811
Prototype Energy Capacitor  20 - z467,156
Prototype Energy Armor  20 - z571,486
Prototype ECM Resistance Field  12 - z671,978
Prototype ECM Range Lock  33 - z1,180,165
Prototype Drone Command Bay  12 - z219,502
Prototype Armor Exterior  55 - z685,783
Prototype 60mm (Doc)  12 - z233,243
Prototype 60mm  384 - z198
Prototype 20mm  1338 - z132
Protein Bar  11 - z8,281
Pressure Sensor  96 - z143
Premium Targeting System  16 - z106,484
Premium Rocket Launcher (Doc)  345 - z1,760,191
Premium Rocket Launcher  62 - z286,011
Premium Railgun (Doc)  27 - z1,283,884
Premium Pulse Laser  27 - z222,984
Premium Plasma Cannon  28 - z271,694
Premium Impact Armor  80 - z285,743
Premium Heavy Laser  52 - z420,256
Premium Explosive Armor  31 - z285,743
Premium Energy Generator  51 - z179,866
Premium Energy Capacitor (Doc)  57 - z3,077,498
Premium Energy Armor  48 - z285,743
Premium Drone Command Bay  12 - z109,751
Premium Armor Exterior  10 - z352,296
Premium Afterburner (Doc)  18 - z1,464,906
Polymere (Doc)  11 - z826
Plastix Strands  159 - z7
Plastic Caps  389 - z55
Plasite Ore  1525 - z99
Personal Clothing  272 - z1,376
Oxygen  174 - z2
OmniCon Regulator  22 - z69,786
Oil  755 - z8
Office Supplies  287 - z3,560
Office Furniture  795 - z1,182
Noodles  26 - z11,919
Nitrogen  435 - z8
Neutron Pods  81 - z30
Musical Instruments  870 - z1,925
Missile Defense System (Doc)  45 - z1,796,755
Micro Leech Drone  100 - z11,595
Metal Valve  191 - z20
Metal Fragment  4601 - z95
Memory Chip  602 - z205
Medium Web Field  121 - z27,671
Medium Shield Charge  72 - z16,022
Medium Shield Bomb  77 - z27,080
Medium Mining Drone  72 - z10,545
Medium Life Support Pack  66 - z13,395
Medium Energy Charge  86 - z21,293
Medium Combat Drone  114 - z9,345
Medium Armor Bomb  75 - z30,050
Medical Instruments  184 - z9,105
Mechanical Tools  226 - z8,171
Mechanical Belts  453 - z45
Magnetic Regulator  150 - z1,696
Magnetic Quartz  657 - z5
Lubricant  563 - z14
Lokken Ore  4916 - z26
Liquid Coolant  116 - z25
Light Shield Charge  46 - z8,981
Light Armor Repair  84 - z7,944
Lidar System  150 - z1,542
LED Lights  639 - z172
Large Web Field  92 - z66,454
Large Salvage Drone  113 - z102,297
Large Pump  19 - z669
Large Processor (Doc)  28 - z2,031
Large Motor  150 - z1,401
Large Mining Drone  39 - z120,297
Large Combat Drone  60 - z93,297
Iron Coring Plates  153 - z362
Iron Coring Pipes (Doc)  23 - z4,296
Iron Coring Pipes  271 - z466
Iron Coring Beams (Doc)  9 - z7,360
Iron Coring  1140 - z10
Ionization Plate  150 - z1,274
Improved Targeting System  53 - z19,821
Improved Scan Booster  43 - z25,573
Improved Railgun (Doc)  222 - z103,337
Improved Plasma Cannon  47 - z33,498
Improved Missile Launcher (Doc)  220 - z137,846
Improved Mining Drone  17 - z34,784
Improved Mass Reduction  44 - z35,557
Improved Impact Armor  62 - z73,303
Improved Heavy Laser  9 - z17,059
Improved Filter  20 - z8,121
Improved Explosive Armor  65 - z71,436
Improved Energy Generator  61 - z62,326
Improved Energy Capacitor (Doc)  47 - z451,134
Improved Energy Armor  43 - z71,877
Improved Drone Command Bay  12 - z27,438
Improved Combat Drone  5 - z58,634
Improved Armor Exterior  52 - z85,723
Improved Afterburner  28 - z51,719
Hyperion Regulator  15 - z187,583
Hygiene Products  29 - z264
Hydrogen  166 - z2
Hydraulic Assembly  150 - z1,158
Heavy Mining Drone (Doc)  30 - z520,302
Heavy Energy Charge  29 - z55,780
Heavy Combat Drone  32 - z135,790
