[s:30][c:yellow]Proctors Center[/c][/s]
Patrol Annex Station
Kandace
Law
[c:lime]Dock fee 25[/c]
Timestamp: 70934.49
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Generic Torpedo Launcher
Basic Torpedo Launcher
Improved Torpedo Launcher
Advanced Torpedo Launcher
Premium Torpedo Launcher
Prototype Torpedo Launcher
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Zai Ore  33 - z716
Xenox Ore  5586 - z507
Xenox Extractor  43 - z4,007,918
Wrapped Box  3 - z11
Weapons Component  5847 - z531
Weapon Systems Package  112 - z9,733
Water  270 - z2
Waste Processor  13 - z18,183
Waste Burner  49 - z44,950
UV Filter  36 - z70,127
Uranium  1332 - z97
Undamaged Part  4243 - z78
Torim Ore  4726 - z59
Titanyte Plates  489 - z1,104
Titanyte Beams (Doc)  30 - z7,823
Titanyte  720 - z57
Titan Mining Drone  66 - z204,539
Titan Defense Drone  95 - z154,539
Thermex Controller  30 - z382,874
Thermal Systems Package  618 - z4,522
Thermal Generex  15 - z135,361
Thermal Controller  33 - z4,257
Textile Fabrics  1016 - z1,357
Temperature Genie  51 - z13,895
Synth Filter  40 - z84,808
Surf-n-Turf  20 - z1,010,918
Steelium Pipes  451 - z14
Steelium  393 - z41
Sporting Equipment  1059 - z2,110
Spaghetti  23 - z645,399
SolarClean Filter  30 - z192,647
Small Web Field  123 - z5,425
Small Tractor Drone  208 - z12,422
Small Salvage Drone  104 - z4,429
Small Motor  512 - z370
Small Mining Drone  29 - z7,369
Small Microchip  770 - z682
Small LS Bomb  61 - z7,547
Small Life Support Pack  25 - z1,691
