[s:30][c:yellow]PharmaLife[/c][/s]
Distribution Warehouse
Fura Geegacie
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 55403.04
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Charged Cell
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Acidic Residue
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (2) Items 
 (874) x Carbon
 (642) x Silicon
Buy items for [c:lime]4,026 discount.[/c]
[c:red]SELL Order[/c] Market Inventory: (3) Items 
 (425) x Hydrogen
 (296) x Dynex Crystal
 (344) x Plastix Strands
Buy items for [c:lime]8,011 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (526) x Basic Food Rations
Fulfill order for [c:lime]21,383 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  27 - z14
Adamyte Ore  35 - z6
Advanced 20mm (Doc)  19 - z27,298
Advanced 60mm (Doc)  17 - z47,622
Advanced ECM Range Lock (Doc)  7 - z7,438,009
Advanced Energy Capacitor  14 - z93,854
Advanced Engine Core  25 - z49,495
Advanced Explosive Armor  9 - z76,244
Advanced Explosive Armor (Doc)  16 - z1,406,925
Advanced Filter  6 - z15,273
Advanced Mass Reduction  10 - z86,704
Advanced Missile  73 - z287
Advanced Railgun (Doc)  90 - z649,524
Advanced Regulator  10 - z10,320
Advanced Rocket Launcher (Doc)  17 - z232,570
Advanced Scan Booster  12 - z80,745
Advanced Scan Emitter  15 - z44,096
Advanced Shield Booster  6 - z106,244
Advanced Thruster  3 - z56,485
Advanced Thruster (Doc)  3 - z980,217
Aged Wine  17 - z185
Aluminium Rivets  204 - z50
Aluminium Shard  32 - z18
Ammunition Loader (Doc)  2 - z11,052
Anti-Freeze  10 - z47
Assorted Gaskets  37 - z17
Assorted Springs  99 - z43
Auxiliary System Mount (Doc)  17 - z42,871
Ball Bearings  203 - z74
Ball Bearings (Doc)  9 - z695
Basic 20mm  129 - z21
Basic 60mm  141 - z45
Basic Afterburner  15 - z17,249
Basic Armor Exterior  29 - z34,273
Basic Beam Impact Mod  10 - z30,311
Basic Charged Cell  28 - z125
Basic ECM Range Lock (Doc)  22 - z2,836,551
Basic Energy Capacitor  29 - z18,263
Basic Engine Core  19 - z21,614
Basic Filter  7 - z8,067
Basic Food Rations  4 - z96
Basic Heavy Laser  25 - z6,718
