[s:30][c:yellow]Blargg's[/c][/s]
Patrol Annex Station
Eligentis Faruk
Law
[c:lime]Dock fee 100[/c]
Timestamp: 45080.02
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Generic Torpedo Launcher
Basic Torpedo Launcher
Improved Torpedo Launcher
Advanced Torpedo Launcher
Premium Torpedo Launcher
Prototype Torpedo Launcher
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Active Scanner  12 - z20,528
Adamyte Ore  39 - z9
Advanced 60mm (Doc)  14 - z29,359
Advanced Energy Capacitor  12 - z136,988
Advanced Filter  14 - z26,952
Advanced Mass Reduction  13 - z130,777
Advanced Regulator  11 - z11,358
Advanced Rocket Launcher (Doc)  118 - z551,882
Advanced Scan Booster (Doc)  1 - z964,155
Advanced Thruster (Doc)  27 - z874,125
Advanced Torpedo Launcher  49 - z85,033
Aged Wine  9 - z155
Aluminium Rivets  241 - z43
Anti-Freeze  18 - z58
Assorted Gaskets  279 - z14
Assorted Springs  67 - z84
Basic 20mm  92 - z24
Basic 60mm  6 - z49
Basic Afterburner  6 - z16,144
Basic Beam Explosive Mod (Doc)  9 - z350,156
Basic Beam Impact Mod  8 - z25,930
Basic Drone Command Bay  8 - z43,888
Basic Energy Capacitor  4 - z16,827
Basic Filter  1 - z5,930
Basic Food Rations  14 - z76
Basic Heavy Laser  20 - z9,757
Basic Laser Impact Mod  29 - z24,180
Basic Missile   142 - z141
Basic Missile Launcher  24 - z7,601
Basic Missile Launcher (Doc)  35 - z36,467
Basic Plasma Cannon  7 - z6,061
Basic Pulse Laser  1 - z8,030
Basic Railgun (Doc)  83 - z35,582
Basic Salvage Collector  22 - z14,101
Basic Scan Booster  21 - z18,567
Basic Sensor  81 - z88
Basic Thruster  5 - z25,561
Basic Torpedo Launcher  9 - z7,180
Basic Torpedo Launcher (Doc)  19 - z25,082
Basic Turn Thrust  26 - z26,144
Basic Warp Drive (Doc)  3 - z3,703,125
Basic Warp Drive Fuel  265 - z1,596
Battery Core  39 - z128
Bottled Whiskey  24 - z102
Calcium  110 - z4
Candy Cane  28 - z1
Candy Corn  16 - z1
Capacitors  103 - z80
Carbon  14 - z1
Carbon Fiber  85 - z28
Chocolate Bars  17 - z1
Circuit Board  202 - z96
Circuit Board (Doc)  19 - z771
Cleaning Chemicals  24 - z60
