[s:30][c:yellow]ValueStar[/c][/s]
Trade Floor Facility
Binofesiv Sedkeesed
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 37567.63
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction
Comm Device
Compartment Frame
Connection Harness
Cooling Unit
Duct Work
Electrical Interface
Electrical Regulator
Electromagnetic Emitter
Fiber Optic Interface
Fuel Injector
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  232 - z1,311
Acidic Residue  745 - z15
Adamyte Ore  599 - z7
Advanced 20mm  133 - z43
Advanced 60mm  284 - z104
Advanced Cargo Expansion  12 - z30,512
Advanced Drone Command Bay (Doc)  71 - z1,257,834
Advanced ECM Energy Coil  7 - z678,701
Advanced ECM Power Boost Field  39 - z523,814
Advanced ECM Resistance Field  52 - z534,320
Advanced Energy Armor  39 - z77,512
Advanced Explosive Armor  35 - z127,512
Advanced Filter  2 - z24,549
Advanced Heavy Laser (Doc)  4 - z356,134
Advanced Mass Reduction  29 - z75,911
Advanced Missile  125 - z285
Advanced Missile Launcher  71 - z57,078
Advanced Missile Launcher (Doc)  17 - z540,068
Advanced Railgun (Doc)  86 - z439,960
Advanced Regulator  36 - z15,620
Advanced Rocket Launcher  5 - z76,757
Advanced Rocket Launcher (Doc)  370 - z486,684
Advanced Scan Emitter  29 - z78,849
Advanced Shield Booster  55 - z128,512
Advanced Shield Generator  13 - z85,873
Advanced Spring Loader  189 - z1,360
Advanced Targeting System  72 - z42,508
Advanced Thruster (Doc)  34 - z912,363
Advanced Torpedo Launcher  25 - z65,354
Advanced Warp Drive Fuel  24 - z3,001
Advanced Waste Unit  37 - z364,214
Aluminium Shard  66 - z27
Ammunition Loader  249 - z1,279
Antenna Array  218 - z1,873
Anti-Freeze  50 - z45
Armor Plating  686 - z1,872
Armor Plating (Doc)  11 - z10,172
Assembly Tools  76 - z4,239
Assorted Springs  120 - z48
Ball Bearings  109 - z65
Basic 20mm  263 - z13
Basic Afterburner  59 - z20,102
Basic Beam Energy Mod (Doc)  1 - z175,537
Basic Beam Impact Mod  41 - z26,878
Basic Beam Impact Mod (Doc)  36 - z319,537
Basic Cargo Expansion  30 - z20,878
Basic ECM Resistance Field  30 - z257,221
Basic Energy Armor  43 - z23,128
Basic Energy Capacitor  69 - z30,553
Basic Filter  6 - z5,636
Basic Food Rations  20 - z98
Basic Heavy Laser (Doc)  42 - z32,922
Basic Impact Armor  3 - z21,878
Basic Laser Explosive Mod  12 - z20,878
Basic Mass Reduction  40 - z17,138
Basic Missile   365 - z131
Basic Missile Launcher  40 - z6,738
Basic Missile Launcher (Doc)  68 - z48,322
Basic Projectile Energy Mod  15 - z25,378
Basic Projectile Explosive Mod (Doc)  9 - z349,537
Basic Railgun (Doc)  161 - z34,235
Basic Scan Emitter  16 - z20,612
Basic Sensor  56 - z91
Basic Shield Generator  77 - z32,268
Basic Torpedo   243 - z170
Basic Torpedo Launcher  8 - z9,535
Basic Torpedo Launcher (Doc)  161 - z41,375
Basic Turn Thrust (Doc)  26 - z250,829
Battery Core  548 - z160
Belasite Ore  301 - z262
Bio Carbon  281 - z21
Bio Converter  5 - z67,301
Bio Disposables  30 - z86,757
Calciate Residue  482 - z58
Calcium  123 - z3
Calibration Tools  46 - z5,004
Candy Cane  30 - z1
Carbon  129 - z1
