[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 64560.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Construction Platform
Spaceframe
Thermal Systems Package
Weapon Systems Package
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Generic Plasma Cannon
Basic Plasma Cannon
Improved Plasma Cannon
Advanced Plasma Cannon
Premium Plasma Cannon
Prototype Plasma Cannon
Generic Ion Beam
Basic Ion Beam
Improved Ion Beam
Advanced Ion Beam
Premium Ion Beam
Prototype Ion Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  5 - z13
Weapon Systems Package (Doc)  28 - z80,014
Weapon Systems Package  150 - z2,322
Water  33 - z1
Waste Processor  13 - z24,922
Undamaged Part  93 - z75
Tractor Beam  27 - z11,795
Titan Mining Drone (Doc)  27 - z1,129,604
Titan Mining Drone  12 - z248,126
Thermal Systems Package  35 - z5,111
Thermal Sensor  30 - z61
Thermal Insulation  154 - z27
Thermal Controller  7 - z8,628
Temperature Genie  1 - z13,988
Steelium Pipes  208 - z22
Steelium Beam (Doc)  17 - z117
Steelium Beam  140 - z9
Spotlight  28 - z10,211
Spaceframe  28 - z5,534
Small Storage Tank  8 - z56
Small Salvage Drone  15 - z7,275
Small Repair Drone  40 - z4,815
Small LS Bomb  39 - z6,668
Small Life Support Pack  41 - z3,613
Small Combat Drone (Doc)  18 - z24,500
Small Combat Drone  53 - z6,435
Silicon  412 - z4
Scrap Part  18 - z22
Salt Crystal  54 - z2
Rubber Tubing  257 - z29
Regulator  236 - z109
Quazor Ore  298 - z21
Prototype Turn Thrust (Doc)  29 - z4,387,212
Prototype Torpedo   114 - z1,217
Prototype Railgun (Doc)  26 - z5,183,929
Prototype Missile   5 - z577
Prototype Heavy Cannon (Doc)  20 - z5,387,449
Prototype ECM Power Boost Field (Doc)  2 - z11,866,880
Prototype 60mm  79 - z183
Protein Bar  11 - z5,338
Premium Rocket Launcher (Doc)  100 - z1,474,369
Premium Pulse Laser (Doc)  15 - z1,189,250
Polymere (Doc)  1 - z542
Polymere  156 - z86
Plastix Strands  246 - z4
Plastic Caps (Doc)  8 - z656
Plasite Extractor (Doc)  23 - z9,478,551
Oxygen  128 - z3
Ornament  17 - z4
Optical Interface  75 - z145
Office Furniture  21 - z1,145
Noodles  5 - z11,791
Misc Hardware (Doc)  27 - z6,476
Metal Valve  330 - z33
Metal Gears  206 - z20
Metal Brackets  285 - z15
Medium Shield Charge  43 - z16,853
Medium Repair Drone  1 - z18,938
Medium Mining Drone  14 - z7,988
Medium Life Support Pack  2 - z14,738
Medium Energy Charge  1 - z23,265
Medium Combat Drone (Doc)  14 - z100,200
Medium Combat Drone  6 - z12,638
Medium Armor Repair  3 - z14,940
Medium Armor Bomb  24 - z14,918
Mechanical Switch  46 - z83
Mechanical Belts  159 - z40
Magnetic Quartz  278 - z3
Lubricant  206 - z19
Liquid Coolant  49 - z23
Light Shield Recharger (Doc)  21 - z150,313
Light Shield Charge  29 - z5,268
Light Energy Charge  3 - z4,095
Large Defense Drone  10 - z99,250
Large Combat Drone  42 - z97,250
Kitchen Appliances  5 - z575
Junk Part  20 - z25
Interior Lighting  14 - z131
Improved Thruster  5 - z31,605
Improved Shield Booster  1 - z53,125
Improved Scan Booster  10 - z44,935
Improved Rocket Launcher  25 - z19,661
Improved Repair Drone  42 - z27,113
Improved Ore Harvester  26 - z55,493
Improved Missile Launcher (Doc)  113 - z125,655
