[s:30][c:yellow]Transporteers Hub[/c][/s]
Reclaimed Goods Facility
Binoak Dalewa
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 69708.77
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Filter
Improved Filter
Advanced Filter
Carbon Filter
UV Filter
Synth Filter
SolarClean Filter
Hydrox Filter
Crystaline Filter
AI Bio Filter
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Office Furniture
Kitchen Appliances
Interior Lighting

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>
[c:red]SELL Order[/c] Sell Order Request for (2) Items 
 (90) x Iron Coring Pipes
 (19) x Generic Missile Launcher
Buy items for [c:lime]27,384 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (237) x Plasite Ore
 (252) x Xenox Ore
Fulfill order for [c:lime]14,744 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  3 - z12
Water  24 - z1
UV Filter  32 - z46,840
Torim Extractor (Doc)  8 - z9,562,307
Titan Salvage Drone  9 - z218,364
Titan Repair Drone  7 - z225,864
Titan Defense Drone  1 - z305,864
Titan Combat Drone  17 - z295,864
Thermal Controller  3 - z8,354
Synth Filter  42 - z93,460
Steelium Pipes  91 - z11
Steelium Beam  95 - z10
SolarClean Filter  5 - z128,759
Small Salvage Drone  1 - z6,081
Prototype Shield Generator  12 - z312,770
Prototype Shield Booster  21 - z317,383
Prototype Railgun (Doc)  36 - z5,315,989
Prototype Heavy Cannon (Doc)  4 - z5,624,052
Prototype 20mm  36 - z68
Protein Bar  3 - z5,764
Premium Shield Generator  18 - z63,387
Premium Shield Booster  23 - z166,691
Premium Rocket Launcher (Doc)  13 - z1,520,818
Premium Railgun (Doc)  41 - z2,221,147
Plasite Ore  601 - z117
Oxygen  50 - z2
Ornament  779 - z4
Nuts And Bolts  72 - z7
Metal Brackets  11 - z18
Medium Shield Bomb  5 - z20,613
Medium Life Support Pack  3 - z17,002
Medium Armor Repair  10 - z28,403
Magnetic Regulator (Doc)  1 - z46,648
Lokken Ore  1 - z43
Light Shield Recharger  17 - z26,836
Light Shield Bomb  3 - z7,051
Light Armor Repair  2 - z5,308
Large Salvage Drone  29 - z55,346
Large Pump (Doc)  1 - z5,760
Large Life Support Pack  8 - z46,956
Large Defense Drone  13 - z55,346
