[s:30][c:yellow]Xellon[/c][/s]
Market Center
Dornoa Xaqi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 82342.39
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (1110) x Basic Torpedo 
Fulfill order for [c:lime]243,548 profit.[/c]
[c:green]BUY Order[/c] Need (1) Items 
 (15) x Basic Ore Harvester
Fulfill order for [c:lime]7,066 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (223) x Advanced 60mm
 (199) x Basic 20mm
Fulfill order for [c:lime]13,874 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  1000 - z4
Water  214 - z1
Titan Defense Drone  36 - z145,961
Thermal Systems Package (Doc)  3 - z51,902
Thermal Insulation  28 - z34
Thermal Controller  9 - z7,097
Steelium Beam  194 - z13
Spotlight  17 - z10,435
Small Storage Tank  86 - z53
Small Life Support Pack  15 - z2,419
Scrap Part  39 - z30
Salt Crystal  26 - z3
Reinforced Rubber  173 - z10
Prototype Railgun (Doc)  15 - z4,688,168
Prototype Heavy Cannon (Doc)  62 - z3,835,295
Protein Bar  9 - z6,117
Premium Thruster (Doc)  18 - z2,467,269
Premium Railgun (Doc)  60 - z1,951,732
Premium Missile Launcher (Doc)  21 - z2,020,184
Plastic Caps  16 - z50
Plasite Extractor (Doc)  1 - z7,882,948
Oxygen  244 - z1
Ornament  38 - z7
Office Furniture  18 - z698
Noodles  5 - z14,135
Medium Shield Charge  7 - z15,201
Medium Salvage Drone  38 - z14,608
Medium Repair Drone  3 - z11,608
Medium Life Support Pack  25 - z4,408
Medium Energy Charge  25 - z5,289
Medium Armor Repair  25 - z7,052
Medium Armor Bomb  13 - z22,244
Mechanical Belts  46 - z51
Magnetic Quartz  237 - z2
Lubricant  3 - z14
Liquid Coolant  7 - z20
Light Shield Charge  25 - z2,558
Light Shield Bomb  18 - z7,235
Light Energy Charge  25 - z1,763
Light Armor Repair  44 - z6,511
Large Web Field  23 - z57,877
Large Pump (Doc)  6 - z5,296
Large Life Support Pack  25 - z22,819
Kitchen Appliances  13 - z524
Junk Part  45 - z16
Ionization Plate (Doc)  19 - z24,289
Interior Lighting  18 - z159
Improved Thruster  16 - z29,981
Improved Targeting System  4 - z40,931
Improved Scan Booster  5 - z23,326
Improved Plasma Cannon (Doc)  12 - z415,195
Improved Missile Launcher (Doc)  47 - z105,623
Improved Mass Reduction  3 - z58,137
Improved Impact Armor (Doc)  14 - z482,306
Improved Impact Armor  8 - z51,192
Improved Filter  9 - z14,135
Improved Engine Core  3 - z50,329
Improved Drone Command Bay  7 - z102,708
Improved Defense Drone  9 - z47,873
Hydrogen  123 - z2
Hydraulic Assembly (Doc)  2 - z32,888
Heavy Shield Charge  25 - z18,512
Heavy Salvage Drone  19 - z119,434
Heavy Energy Charge  25 - z15,868
Heavy Armor Repair  46 - z56,437
Heavy Armor Bomb  19 - z50,531
Gummy Bears  11 - z1
Gradeon Ore  107 - z14
Generic Torpedo Launcher (Doc)  83 - z6,766
Generic Torpedo Launcher  2 - z2,505
Generic Salvage Collector  4 - z3,135
Generic Railgun (Doc)  97 - z6,646
Generic Railgun  18 - z2,481
Generic Ore Harvester  5 - z3,375
Generic Missile Launcher  11 - z1,482
Generic Ion Beam  13 - z1,329
Generic Construction Platform  23 - z4,228,828
Disposables  3 - z4,157
Containment Unit  2 - z14,380
Colored Dye  16 - z29
Cleaning Chemicals  18 - z81
Chocolate Bars  4 - z1
Carbon Fiber  162 - z29
Carbon  40 - z1
Candy Corn  19 - z1
Candy Cane  7 - z1
Bomber Drone  29 - z14,158
Beam Defense System (Doc)  16 - z1,862,150
Basic Warp Drive Fuel (Doc)  14 - z14,142
Basic Turn Thrust  11 - z12,077
Basic Torpedo Launcher (Doc)  17 - z50,141
Basic Torpedo Launcher  8 - z9,608
Basic Targeting System  17 - z10,265
Basic Scan Emitter  7 - z18,069
Basic Salvage Collector  16 - z12,934
Basic Rocket Launcher  18 - z8,777
Basic Railgun  11 - z4,904
Basic Pulse Laser  13 - z6,607
Basic Missile Launcher (Doc)  86 - z44,423
Basic Missile Launcher  17 - z9,655
Basic Mass Reduction  16 - z13,198
Basic Light Turret  12 - z8,077
Basic Ion Beam  1 - z7,424
Basic Impact Armor  6 - z25,096
Basic Filter  4 - z6,397
Basic Energy Generator  11 - z23,068
Basic Energy Capacitor  13 - z17,000
Basic ECM Resistance Field (Doc)  18 - z3,258,592
Basic Charged Cell (Doc)  9 - z9,358
Basic Afterburner  7 - z20,677
Ball Bearings  124 - z46
Assorted Springs  192 - z45
Assorted Gaskets  107 - z19
Artificial Gravity Generator (Doc)  12 - z53,687
Anti-Freeze  10 - z48
Aluminium Rivets  169 - z45
Afterburner Assembly (Doc)  6 - z33,968
Advanced Torpedo (Doc)  19 - z40,788
Advanced Rocket Launcher (Doc)  58 - z241,748
Advanced Regulator  2 - z14,870
Advanced 60mm (Doc)  6 - z39,192
Adamyte Ore  192 - z7


<Station University Skills>
Salvager Focal Range
Laser Maintenance
Salvager Harvest Calibration
Storage Accountant
Ship Energy Regeneration
Beam Damage Calibration
Salvager Focal Range
Launcher Maintenance
Ship Armor Management


<Station Missions>
[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Coralor</color>. Return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>5</color> <color='yellow'>Belasite Ores</color> at the Transporteers Hub station in <color='cyan'>Ambervellis Drea</color>

[c:lime]DIALOG[/c]
Collect a payment from <color='yellow'><i>Commander Bemes Bazfouwhea</i></color> in <color='cyan'>Carioullis</color> and return to Dreamstar in <color='cyan'>Gendaria</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color> with minimum of <color='yellow'>135</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color>, minimum <color='yellow'>319</color>, in <color='cyan'>Void Starcross</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]DIALOG[/c]
Collect a payment from <color='yellow'><i>Major Dacie Goco</i></color> in <color='cyan'>Jala</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]REFINE[/c]
Refine a heavy container of <color='yellow'>246</color> <color='yellow'>Gradeon Ores</color> at the StarShepards Headquarters refinery in the <color='cyan'>Void Starcross</color> system.

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color>, minimum <color='yellow'>382</color>, in <color='cyan'>Arch of Mori</color> and return to CoraVault Hub in <color='cyan'>Pindoris</color>

[c:lime]RECOVER[/c]
Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Coralor</color> and bring back to Transporteers in <color='cyan'>Hunu</color>

[c:lime]REFINE[/c]
Refine medium shipment of <color='yellow'>54</color> <color='yellow'>Lokken Ores</color> in <color='cyan'>Void Spooflarnia</color> at the Kinetics Manufacturing station refinery

[c:lime]DIALOG[/c]
Chat with <color='yellow'><i>Commander Diebue Tihasrast</i></color> about his debt in <color='cyan'>Arch of Mori</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]COLLECT[/c]
Search and acquire <color='yellow'>3</color> <color='yellow'>Premium Energy Armors</color> for a heavy shipment and bring them to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]SCAN[/c]
Gather scan data on the target <color='yellow'>Recon Center</color> in <color='cyan'>Lins</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]SALVAGE[/c]
In <color='cyan'>Jermicus</color>, Salvage <color='yellow'>Special Undamaged Part</color> and return to Gemini Mining in <color='cyan'>Jala</color> with at least <color='yellow'>198</color>

[c:lime]COLLECT[/c]
Bring a medium collection of <color='yellow'>4</color> <color='yellow'>Advanced Explosive Armors</color> to Valuestar Hub in the <color='cyan'>Jelumus</color> Sector

[c:lime]DELIVERY[/c]
Take medium shipment of <color='yellow'>217</color> <color='yellow'>Aluminium Rivets</color> and deliver to <color='cyan'>Ele</color> and dock at Communications Hub Station

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>5</color> <color='yellow'>Aluminium Plates</color> at the Daemon Ammunitions fabricator in <color='cyan'>Starfort Ramos</color>

[c:lime]REFINE[/c]
Dock with Monarch Society refinery and process a medium shipment of <color='yellow'>20</color> <color='yellow'>Electronic Fragments</color> in <color='cyan'>Solitudes of Frey</color>

[c:lime]KILL RECOVER[/c]
Kill <color='yellow'><i>Fabricator Zilskile Inovak</i></color> and recover <color='yellow'>96</color> <color='yellow'>Small Motors</color> in <color='cyan'>Soldeux</color>. Return to Astrox Security Patrol in <color='cyan'>Felishar</color>



<Station Ships>
ECA-1 Support Cruiser / Cruiser    (Support)
PF-1 Assault Frigate / Frigate    (Assault)
SF-1 Redeemer / Frigate    (Support)
RDE-1 Destroyer / Destroyer    (Assault)
TC-1 Kraken / Cruiser    (Excavation)
