[s:30][c:yellow]Tella's[/c][/s]
Entertainment Hub
Jidzangee Akleinortis
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 81688.44
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Keypad
Basic Beam Impact Mod
Basic Beam Energy Mod
Basic Beam Explosive Mod
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Energy Capacitor
Improved Energy Capacitor
Advanced Energy Capacitor
Premium Energy Capacitor
Prototype Energy Capacitor
Basic Energy Generator
Improved Energy Generator
Advanced Energy Generator
Premium Energy Generator
Prototype Energy Generator

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (1) Items 
 (913) x Copperi Plates
Buy items for [c:lime]238,307 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (777) x Dynex Crystal Resonator
Buy items for [c:lime]231,337 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  15 - z10
Water  47 - z1
Transport Units  5 - z10,785
Titan Repair Drone  2 - z195,742
Titan Defense Drone  32 - z333,242
Thermal Insulation  5 - z25
Steelium Pipes  83 - z20
Steelium Beam  116 - z14
Small Web Field  33 - z7,784
Small Storage Tank  61 - z34
Small Combat Drone  21 - z3,918
Salt Crystal  275 - z2
Rubber Tubing  36 - z40
Prototype Missile   50 - z446
Protein Bar  6 - z5,761
Premium Rocket Launcher (Doc)  58 - z1,144,930
Premium Energy Generator  22 - z320,031
Oxygen  290 - z2
Ornament  19 - z5
Office Furniture  1 - z624
Nuts And Bolts  37 - z9
Noodles  1 - z11,674
Micro Leech Drone  3 - z11,295
Metal Valve  98 - z42
Metal Brackets  98 - z17
Medium Web Field  17 - z23,111
Medium Armor Repair  16 - z21,911
Medium Armor Bomb  7 - z26,540
Magnetic Quartz  61 - z2
Light Shield Recharger  11 - z17,574
Kitchen Appliances  16 - z674
Keypad  150 - z87
Junk Part  165 - z22
Iron Coring Beams  36 - z557
Ionization Plate (Doc)  1 - z43,202
Improved Turn Thrust  18 - z53,319
Improved Thruster  1 - z45,485
Improved Shield Generator  19 - z56,860
Improved Scan Emitter  8 - z40,427
Improved Scan Booster  5 - z26,333
Improved Rocket Launcher (Doc)  18 - z103,264
Improved Missile Launcher (Doc)  93 - z116,285
