// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarGypsy Warehouse
STATION;type;Tavern Station
STATION;owner;Pinratus Flake
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color; 1.0 , 0.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;stargypsy.png
STATION;filename;sector_0_station_2.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;20
STATION;seed;4-5-0-1-9-0-9-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;7-5-15-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(pirate_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.93;npc_ship_data_(pirate_utility_1).txt
MERC;12;1.23;npc_ship_data_(pirate_utility_2).txt
MERC;15;1.47;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1155;5;0.70
ITEM;1164;29;0.76
ITEM;1008;17;0.66
ITEM;1156;63;0.51
ITEM;1019;2;1.05
ITEM;1126;67;0.59
ITEM;1112;6;0.56
ITEM;1171;30;0.98
ITEM;1150;64;0.83
ITEM;1125;24;1.15
ITEM;1057;46;0.53
ITEM;1070;64;0.89
ITEM;1170;65;0.52
ITEM;1021;57;0.69
ITEM;1160;17;0.52
ITEM;1104;27;0.65
ITEM;1076;21;0.54
ITEM;1406;42;1.11
ITEM;1101;5;0.85
ITEM;1162;44;1.20
ITEM;1114;54;1.21
ITEM;1616;35;0.60
ITEM;1771;44;0.82
ITEM;1622;8;1.12
ITEM;1779;41;1.17
ITEM;1617;66;0.87
ITEM;1581;60;1.05
ITEM;1731;50;1.11
ITEM;1760;31;1.25
ITEM;1619;47;1.24
ITEM;1550;23;1.18
ITEM;1521;25;1.24
ITEM;1554;14;0.76
ITEM;1583;48;0.75
ITEM;1522;40;0.90
ITEM;1777;28;1.20
ITEM;1762;10;0.54
ITEM;1611;55;0.51
ITEM;1730;68;1.21
ITEM;1615;44;1.08
ITEM;1584;63;0.67
ITEM;1624;29;0.56
ITEM;1574;18;1.07
ITEM;1751;15;1.20
ITEM;1653;2;0.93
ITEM;1541;40;0.69
ITEM;1643;15;0.92
ITEM;1613;7;0.70
ITEM;76;325;0.83
ITEM;2111;136;1.16
ITEM;2650;57;0.73
ITEM;2129;308;1.10
ITEM;2123;99;0.83
ITEM;2115;215;0.56
ITEM;2652;39;0.51
ITEM;2119;123;0.75
ITEM;2114;224;0.61
ITEM;52;265;0.97
ITEM;2112;128;1.04
ITEM;78;207;1.02
ITEM;2127;21;0.65
ITEM;2117;11;1.00
ITEM;2124;330;1.07
ITEM;2126;218;0.94
ITEM;43;121;1.12
ITEM;77;250;0.57
ITEM;40;182;0.66
ITEM;42;246;1.09
ITEM;2122;344;1.10
ITEM;2651;139;0.92
ITEM;712;88;0.84
ITEM;733;34;1.15
ITEM;737;61;1.05
ITEM;676;44;0.85
ITEM;721;127;1.14
ITEM;727;71;1.21
ITEM;758;120;0.93
ITEM;743;18;0.77
ITEM;732;73;0.65
ITEM;740;113;0.56
ITEM;744;33;0.60
ITEM;723;40;1.11
ITEM;670;50;0.71
ITEM;749;6;0.74
ITEM;680;51;1.06
ITEM;760;100;0.61
ITEM;725;78;0.61
ITEM;728;97;0.70
ITEM;675;25;0.98
ITEM;710;22;0.93
ITEM;730;14;0.73
ITEM;741;17;1.21
ITEM;738;12;1.24
ITEM;690;43;1.22
ITEM;691;64;0.92
ITEM;720;40;1.21
ITEM;674;84;1.11
ITEM;678;97;0.91
ITEM;729;76;0.60
ITEM;711;118;1.11
ITEM;742;62;0.89
ITEM;643;30;1.21
ITEM;606;27;0.57
ITEM;646;15;0.85
ITEM;625;26;0.50
ITEM;605;18;0.91
ITEM;623;19;0.89
ITEM;662;13;0.60
ITEM;663;12;0.95
ITEM;661;27;0.81
ITEM;624;5;0.69
ITEM;665;13;0.98
ITEM;642;32;0.99
ITEM;604;4;0.52
ITEM;620;20;1.12
ITEM;664;27;1.03
ITEM;603;29;1.15
ITEM;660;23;0.93
ITEM;602;30;0.57
ITEM;600;9;1.15
ITEM;641;13;1.14
ITEM;666;10;1.23
ITEM;645;33;0.72
ITEM;640;15;1.21
ITEM;626;3;1.19
