// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;71182.66
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;2002x13;5071.00;76256.02
ITEM;9;5143;0.73;317.7618
ITEM;408;1632;0.68;317.7618
ITEM;26;11356;1.03;570.351
ITEM;100;1216;0.77;1.301067
ITEM;662;22;0.75;18052.08
ITEM;663;34;0.64;18052.08
ITEM;624;29;0.92;66841.2
ITEM;22;9564;0.53;66841.2
ITEM;333;908;0.93;7741.323
ITEM;1300;41;0.55;7741.323
ITEM;5;4724;0.75;43.71285
ITEM;2021;976;0.92;43.71285
ITEM;2402;76;1.09;9445.251
ITEM;124;382;0.94;9445.251
ITEM;754;169;0.98;268550.3
ITEM;734;73;1.04;284508.8
ITEM;749;156;0.79;284508.8
ITEM;744;113;0.92;254775.4
ITEM;647;20;0.75;295666.1
ITEM;162;62;0.98;39.00574
ITEM;645;9;0.56;74784.25
ITEM;640;32;1.15;8742.719
ITEM;340;532;0.85;1400.849
ITEM;642;28;0.97;22785.78
ITEM;625;36;0.48;65665.47
ITEM;2400;51;0.86;9328.997
ITEM;156;702;0.87;18.71557
ITEM;117;1214;0.99;52.14739
ITEM;2186;37;1.14;64789.25
ITEM;1450;48;0.56;6871.065
ITEM;323;1162;0.82;1642.559
ITEM;608;8;0.99;668785.1
ITEM;626;21;0.58;668785.1
ITEM;725;73;0.81;13574.86
ITEM;755;123;1.14;7430.311
ITEM;723;50;1.10;7430.311
ITEM;217;105;0.81;7430.311
ITEM;703;143;0.96;7347.228
ITEM;693;65;0.25;7347.228
ITEM;216;280;1.01;290.9747
ITEM;722;157;0.55;3858.125
ITEM;119;1403;0.82;75.92596
ITEM;113;1168;1.04;7.297315
ITEM;21;3268;0.78;31.0914
ITEM;114;1299;1.07;3.017617
ITEM;164;685;0.87;15.6167
ITEM;2049;387;0.98;5817.879
ITEM;3;4669;1.01;21.11615
ITEM;402;980;0.51;21.11615
ITEM;1787;18;0.28;4740368
ITEM;77;4196;0.57;627.5633
ITEM;1614;44;0.54;172952.9
ITEM;1405;10;0.46;1169903
ITEM;2123;207;0.77;4554348
ITEM;1051;108;1.03;1178420
ITEM;1006;69;1.16;1580550
ITEM;2282;69;0.78;4174680
ITEM;2111;209;0.64;4261797
ITEM;1005;59;0.95;1212227
ITEM;1514;61;0.64;1212227
ITEM;2247;81;0.95;5198433
ITEM;1762;11;2.43;3580906
ITEM;1777;57;0.96;1256647
ITEM;1767;57;1.00;1472698
ITEM;1772;4;0.97;1339614
ITEM;1754;83;0.90;634162.2
ITEM;1524;30;0.71;256273
ITEM;600;40;0.57;4630.506
ITEM;1563;84;0.96;227595.6
ITEM;2122;0;0.73;1238716
ITEM;2122;446;0.70;1188227
ITEM;2116;355;0.46;1188227
ITEM;2128;358;0.70;1316566
ITEM;1072;65;1.04;373752.8
