// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vita Assembly
STATION;type;Assembly Station
STATION;owner;Yergale Feivel
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;3
STATION;icon;vita.png
STATION;filename;sector_109_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-3-1-5-2-3-7-1-1-6-0-5-1-4-2-0-0-90
STATION;interior_seed;5-9-0-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.29;npc_ship_data_(support_utility_1).txt
MERC;6;1.42;npc_ship_data_(recon_shuttle_1).txt
MERC;9;1.93;npc_ship_data_(excavation_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (3) Items ;6x162,6x148,3x57;40951;94312.62
BUYORDER;Market Needs Goods: (1) Items ;2x390;5762;53605.46
BUYORDER;Market Out of Stock: (1) Items ;1003x106;252837;88435.47
BUYORDER;Market Items Req: (3) Items ;4x144,6x297,6x294;89515;27907.47
ITEM;1402;19;0.92;0
ITEM;1100;2;0.51;1200.313
ITEM;1400;6;1.16;1200.313
ITEM;1170;11;1.18;1200.313
ITEM;1007;26;0.53;1200.313
ITEM;1003;13;0.57;1200.313
ITEM;1062;17;0.98;1200.313
ITEM;1470;17;0.63;1200.313
ITEM;1110;0;0.65;1628.344
ITEM;1002;21;1.07;1628.344
ITEM;1152;11;0.68;1628.344
ITEM;1059;29;0.80;1628.344
ITEM;1122;23;0.98;1628.344
ITEM;1172;4;0.62;1628.344
ITEM;1300;24;0.78;1628.344
ITEM;1121;2;0.93;1628.344
ITEM;1511;4;1.03;1628.344
ITEM;1541;24;0.63;1628.344
ITEM;1710;15;0.94;1628.344
ITEM;1572;20;0.50;61376.25
ITEM;1561;0;0.72;43748.44
ITEM;1630;0;1.18;31753.9
ITEM;1600;1;1.00;19622.81
ITEM;1510;18;1.22;19622.81
ITEM;1751;13;0.75;19622.81
ITEM;1632;15;0.60;69015.63
ITEM;1580;7;0.65;69015.63
ITEM;1562;20;0.95;69015.63
ITEM;1540;0;1.13;28063.59
ITEM;1521;0;0.55;25606.25
ITEM;1617;22;0.98;25606.25
ITEM;1621;17;0.69;25606.25
ITEM;1610;22;0.73;25606.25
ITEM;1531;15;1.20;25606.25
ITEM;1591;1;1.02;25606.25
ITEM;1615;10;0.51;25606.25
ITEM;1652;15;1.23;25606.25
ITEM;1642;28;0.53;25606.25
ITEM;1501;12;1.12;25606.25
ITEM;42;47;1.21;25606.25
ITEM;2119;135;0.85;25606.25
ITEM;2651;21;1.19;25606.25
