// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Dreamstar
STATION;type;Enterprise Hub
STATION;owner;Meate Peifeife
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_1.png
STATION;filename;sector_18_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-1-1-7-3-8-1-6-6-3-0-1-3-3-2-2-0-5-9-3-5-0
STATION;interior_seed;5-5-30-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;77066.66
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.92;npc_ship_data_(battle_utility_1).txt
MERC;9;0.68;npc_ship_data_(recon_cruiser_1).txt
MERC;7;1.56;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1070;11;1.19
ITEM;1008;32;0.62
ITEM;1069;8;0.61
ITEM;1173;14;0.78
ITEM;1007;13;0.66
ITEM;1124;47;0.60
ITEM;1202;15;0.56
ITEM;1475;30;0.96
ITEM;1065;29;0.80
ITEM;1113;23;0.62
ITEM;1015;8;0.69
ITEM;1201;56;0.95
ITEM;1152;6;0.98
ITEM;1153;50;1.04
ITEM;1451;36;1.01
ITEM;1121;15;1.17
ITEM;1027;35;1.18
ITEM;1050;2;0.64
ITEM;1123;22;0.63
ITEM;1003;31;0.89
ITEM;1019;44;0.80
ITEM;1013;31;0.62
ITEM;1471;40;0.78
ITEM;1112;34;0.58
ITEM;1500;51;0.78
ITEM;1520;50;1.22
ITEM;1710;13;1.01
ITEM;1501;44;0.63
ITEM;1543;54;0.64
ITEM;1620;31;1.10
ITEM;1611;3;0.52
ITEM;1544;2;0.98
ITEM;1621;25;0.98
ITEM;1531;51;0.94
ITEM;1624;14;0.75
ITEM;1775;32;1.10
ITEM;1781;26;0.53
ITEM;1762;56;0.96
ITEM;1591;9;0.93
ITEM;1615;43;0.70
ITEM;1541;33;1.23
ITEM;1780;18;1.23
ITEM;1523;23;0.72
ITEM;1778;23;0.80
ITEM;1650;49;0.75
ITEM;1751;37;1.25
ITEM;2129;89;1.03
ITEM;2128;65;1.21
ITEM;78;234;1.06
ITEM;51;43;0.56
ITEM;2125;123;0.65
ITEM;61;255;1.02
ITEM;42;170;0.73
ITEM;2118;39;1.25
ITEM;2122;29;0.51
ITEM;2115;159;0.83
ITEM;76;73;1.22
ITEM;2120;111;1.16
ITEM;41;294;0.77
ITEM;43;206;1.21
ITEM;70;47;1.08
ITEM;75;146;1.16
ITEM;2124;299;0.71
ITEM;2652;51;0.79
ITEM;2126;66;0.69
ITEM;2111;90;0.76
ITEM;77;157;0.96
ITEM;2121;169;0.80
ITEM;62;284;0.83
ITEM;60;209;0.82
ITEM;2651;78;0.60
ITEM;40;203;0.94
ITEM;50;85;0.61
ITEM;63;39;1.01
ITEM;676;55;1.03
ITEM;673;25;0.63
ITEM;700;40;0.92
ITEM;729;3;1.10
ITEM;723;100;0.66
ITEM;744;109;0.72
ITEM;725;86;0.83
ITEM;721;4;1.21
ITEM;726;60;0.83
ITEM;722;84;0.88
ITEM;678;84;1.22
ITEM;742;61;1.10
ITEM;745;53;0.98
ITEM;750;97;0.72
ITEM;681;106;1.19
ITEM;756;116;0.76
ITEM;754;61;0.92
ITEM;677;29;1.22
ITEM;731;48;1.01
ITEM;753;34;0.54
ITEM;701;115;1.21
ITEM;736;60;1.16
ITEM;757;113;1.12
ITEM;748;13;1.17
ITEM;735;66;1.12
ITEM;691;40;0.56
ITEM;740;103;0.79
ITEM;690;31;0.54
ITEM;738;111;0.96
ITEM;734;63;0.96
ITEM;702;37;0.51
ITEM;737;10;0.51
ITEM;672;107;0.93
ITEM;747;81;1.18
ITEM;711;90;0.80
ITEM;692;17;0.51
ITEM;643;5;0.86
ITEM;605;14;0.67
ITEM;621;4;0.79
ITEM;644;10;1.00
ITEM;602;4;1.22
ITEM;623;12;0.80
ITEM;620;24;0.72
ITEM;665;8;0.93
ITEM;663;8;0.87
ITEM;661;13;1.16
ITEM;645;27;1.15
ITEM;642;11;1.10
ITEM;625;18;1.18
ITEM;622;22;0.79
ITEM;624;1;1.23
ITEM;604;3;0.96
ITEM;664;29;1.20
ITEM;640;19;1.11
ITEM;601;26;1.05
ITEM;600;29;0.82
ITEM;660;3;1.01
ITEM;662;16;0.96
ITEM;603;10;0.81
ITEM;641;11;0.98
ITEM;331;4;0.61
ITEM;408;55;1.09
ITEM;321;25;0.61
ITEM;302;11;1.01
ITEM;300;28;0.86
ITEM;406;29;0.88
ITEM;343;20;0.51
ITEM;324;30;0.97
ITEM;342;2;1.21
ITEM;304;57;0.83
ITEM;325;5;0.93
ITEM;341;20;0.86
ITEM;330;36;1.18
ITEM;313;19;1.00
ITEM;407;46;1.02
ITEM;320;29;0.74
ITEM;405;23;1.24
ITEM;404;51;0.55
ITEM;323;22;1.00
ITEM;332;3;0.61
ITEM;340;38;0.61
ITEM;301;19;0.76
ITEM;310;27;1.10
ITEM;305;5;0.57
ITEM;312;27;0.89
ITEM;311;9;1.19
ITEM;303;25;1.17
ITEM;322;19;0.56
ITEM;333;33;0.78
ITEM;403;24;0.92
ITEM;24;487;0.68
ITEM;21;274;1.03
ITEM;25;103;1.07
ITEM;6;180;1.07
ITEM;2;155;0.88
ITEM;5;490;0.91
ITEM;1;217;0.55
ITEM;20;593;1.08
ITEM;23;541;0.82
ITEM;4;83;0.65
ITEM;3;159;1.04
ITEM;22;407;1.02
ITEM;106;238;1.01
ITEM;105;282;0.80
ITEM;112;551;0.57
ITEM;111;731;1.24
ITEM;109;835;0.57
ITEM;110;487;0.85
ITEM;101;223;0.72
ITEM;113;78;0.88
ITEM;100;689;1.00
ITEM;118;302;1.18
ITEM;107;88;0.56
ITEM;108;191;1.25
ITEM;115;188;0.56
ITEM;104;469;0.98
ITEM;102;7;1.12
ITEM;103;186;0.74
ITEM;2000;716;1.06
ITEM;114;754;0.55
ITEM;161;169;1.04
ITEM;164;7;1.01
ITEM;216;571;0.92
ITEM;204;161;0.70
ITEM;2006;268;0.95
ITEM;167;149;1.17
ITEM;401;436;0.75
ITEM;209;35;1.21
ITEM;160;303;1.18
ITEM;152;139;0.64
ITEM;215;288;0.63
ITEM;2002;431;0.88
ITEM;169;517;0.72
ITEM;170;550;0.91
ITEM;2015;166;0.57
ITEM;162;207;1.22
ITEM;2010;437;0.91
ITEM;2014;131;0.82
ITEM;2016;353;1.10
ITEM;150;386;0.84
ITEM;205;140;1.14
ITEM;156;159;1.19
ITEM;217;286;1.07
ITEM;201;145;1.12
ITEM;2012;526;0.76
ITEM;157;208;0.59
ITEM;400;448;0.98
ITEM;2018;296;0.73
ITEM;213;13;0.96
ITEM;210;542;0.92
ITEM;212;195;0.66
ITEM;2008;444;1.09
ITEM;165;81;0.83
ITEM;203;472;0.83
ITEM;2019;331;1.02
ITEM;214;219;0.99
ITEM;2355;32;0.81
ITEM;2290;13;0.65
ITEM;2464;47;0.86
ITEM;2223;47;1.21
ITEM;2400;10;1.09
ITEM;2162;25;1.11
ITEM;2319;29;0.82
ITEM;2452;53;0.86
ITEM;2165;7;0.75
ITEM;2214;56;0.53
ITEM;2101;36;0.87
ITEM;2396;31;0.51
ITEM;2559;27;1.01
ITEM;2367;19;0.99
ITEM;2288;42;0.98
ITEM;2201;27;0.80
ITEM;2401;54;1.18
ITEM;2473;21;0.80
ITEM;2314;51;0.95
ITEM;2307;51;0.66
ITEM;2121;47;0.60
ITEM;2389;2;0.57
ITEM;2453;34;1.08
ITEM;2174;28;1.06
ITEM;2461;42;1.08
ITEM;2341;50;0.71
ITEM;2245;40;0.69
ITEM;2353;56;0.55
ITEM;2257;29;0.97
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;7;0.96
SKILL;42;1.04
SKILL;53;1.51
SKILL;65;0.74
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;143;90;842875;REFINE#38#20#sector_14_station_0.txt#sector_36_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>38</color> <color='yellow'>Junk Parts</color> in <color='cyan'>Gate of Alpharis</color> at the Imperium Republica  station refinery;1;Blargg's Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Bastgale Sippast</i> of the Science Faction. <color='yellow'>38</color> <color='yellow'>Junk Parts</color> need to be refined in <color='cyan'>Gate of Alpharis</color>, at the Imperium Republica  Station refinery.;63508;16078
MISSION;46;45;974348;SCAN_PILOT#sector_62_station_0.txt#sector_97.txt#Engineer Adana Melhom#npc_ship_data_(ATC_Stalker)#3#null#null#null;Return to Valuestar Hub in <color='cyan'>Jelumus</color> after scanning <color='yellow'><i>Engineer Adana Melhom</i></color> in <color='cyan'>Valley of Truths</color>;2;<color='yellow'><i>Engineer Adana Melhom</i></color>'s ship has recently been spotted alone in <color='cyan'>Valley of Truths</color>. Civil faction has sent deployed Officer <i>Semole Poepi</i> to tag along with <color='yellow'><i>Engineer Adana Melhom</i></color>, but has not been heard from since they arrived in <color='cyan'>Valley of Truths</color>. Head there and check if <color='yellow'><i>Engineer Adana Melhom</i></color> is alone, if so, scan <color='yellow'><i>Engineer Adana Melhom</i></color>'s ship and report back to Valuestar Hub in <color='cyan'>Jelumus</color> with an up to date scan record.;255635;86169
MISSION;67;45;427125;HARVEST#469#6#sector_62.txt#sector_66_station_0.txt#null#null#null#null;Extract at least <color='yellow'>469</color> of special ore from special <color='yellow'>Special Plasite Ore</color> in <color='cyan'>Jelumus</color>. Return to Communications Hub in <color='cyan'>Ele</color>;0;Harvest <color='yellow'>469</color> units of <color='yellow'>Special Plasite Ore</color> and bring the heavy load back to Communications Hub station located in the <color='cyan'>Ele</color>. <i>Bidsih Keezetane</i> was recently fired after it was found he was mining while under the influence. Alpha representatives were not too happy about the incident, and have requested this harvest contract to wrap things up.;703683;226192
