// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;55222.51
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;121x754,117x530;81259.00;122285.50
SELLORDER;Market Production: (1) Items ;330x604;284758.00;120082.20
ITEM;2000;0;1.20;29.61
ITEM;1;157;1.12;8.07
ITEM;1622;1;0.65;81892.50
ITEM;1642;22;0.82;85243.75
ITEM;1572;15;0.66;72013.50
ITEM;2250;21;0.79;1105356.00
ITEM;2290;13;0.61;770925.00
ITEM;622;17;0.89;19775.21
ITEM;1113;10;1.04;101157.70
ITEM;1020;33;0.89;79099.02
ITEM;61;60;1.21;314.50
ITEM;1067;11;0.91;88895.42
ITEM;2127;119;0.63;312422.10
ITEM;1103;3;1.23;108254.00
ITEM;1021;37;0.61;66106.82
ITEM;641;11;0.90;11422.36
ITEM;2121;107;0.89;395495.10
ITEM;1403;28;1.14;201073.00
ITEM;1612;36;0.87;61365.75
ITEM;1502;19;0.75;65724.75
ITEM;310;18;1.23;172.47
ITEM;111;0;1.18;34.93
ITEM;302;8;0.91;42.92
ITEM;167;304;0.85;56.75
ITEM;2437;37;1.03;65778.70
ITEM;169;301;0.88;64.55
ITEM;2301;6;0.73;228731.30
ITEM;1720;21;1.05;27060.94
ITEM;2329;2;0.96;14886.56
ITEM;2316;10;0.95;3890842.00
ITEM;1640;33;0.67;17560.94
ITEM;1570;18;0.72;19563.38
ITEM;620;9;0.85;6177.06
ITEM;312;32;0.90;65.85
ITEM;1111;1;1.02;8103.77
ITEM;1630;2;0.95;24560.94
ITEM;1711;27;1.11;28560.94
ITEM;1540;14;0.95;22596.06
ITEM;60;135;0.91;106.02
ITEM;1730;26;0.77;20060.94
ITEM;2125;132;0.63;25503.84
ITEM;1201;13;1.19;17114.13
ITEM;2294;38;0.80;249731.30
ITEM;2295;24;1.18;363731.30
ITEM;2113;122;1.16;50082.38
ITEM;1401;20;0.96;13894.13
ITEM;201;56;0.87;73.71
ITEM;1560;7;0.85;23825.81
ITEM;1500;19;0.53;11811.19
ITEM;75;60;1.22;234.83
ITEM;1059;4;1.00;8672.48
ITEM;2131;38;0.74;32442.38
ITEM;208;200;0.52;87.93
ITEM;2200;20;0.62;1043900.00
ITEM;115;0;1.33;47.23
ITEM;727;30;0.85;13211.21
ITEM;311;16;0.88;116.53
ITEM;729;35;0.82;12764.74
ITEM;116;0;1.30;95.61
ITEM;109;255;1.05;6.06
ITEM;406;23;1.16;1.31
ITEM;403;10;0.56;0.65
ITEM;205;328;0.80;99.54
ITEM;101;469;1.05;2.44
ITEM;168;99;0.78;21.07
ITEM;623;19;0.84;32730.37
ITEM;110;0;1.21;24.98
ITEM;603;14;0.59;23351.37
ITEM;325;11;1.17;388.34
ITEM;404;17;0.61;0.71
ITEM;200;370;1.24;94.48
ITEM;300;4;1.17;119.70
ITEM;301;5;0.84;22.07
ITEM;332;38;0.82;2363.47
ITEM;661;6;0.61;7869.86
ITEM;218;134;0.85;280.90
ITEM;108;0;1.22;20.96
ITEM;2385;37;0.86;3006.62
ITEM;660;12;0.60;4427.06
ITEM;2416;30;0.74;15458.02
ITEM;112;0;1.22;52.27
ITEM;643;5;0.69;27102.96
ITEM;322;17;0.75;517.44
ITEM;151;159;0.94;11.77
ITEM;343;0;1.23;9834.33
ITEM;341;0;1.19;8089.51
ITEM;324;1;0.69;1803.93
ITEM;1170;2;1.01;2501.85
ITEM;1052;16;0.93;2117.36
ITEM;1160;26;0.94;2139.36
ITEM;2112;11;0.59;7469.25
ITEM;1050;31;0.93;1924.88
ITEM;1054;21;0.78;1949.85
ITEM;2130;63;1.22;15029.25
ITEM;123;0;1.15;147.35
ITEM;313;5;0.51;159.49
ITEM;2;304;0.68;8.23
ITEM;405;16;1.09;1.23
ITEM;602;10;1.12;24705.96
ITEM;743;49;0.72;124152.20
ITEM;748;40;0.84;143506.90
ITEM;731;30;0.79;136153.60
ITEM;753;36;0.77;132233.70
ITEM;759;33;0.76;131180.20
ITEM;102;342;1.05;4.21
ITEM;331;38;0.83;185.52
ITEM;741;39;0.74;34754.19
ITEM;746;34;0.74;34928.63
ITEM;1751;15;0.87;72195.00
ITEM;1581;13;0.78;45496.50
ITEM;621;8;0.65;8359.86
ITEM;1013;34;1.14;31597.19
ITEM;1014;12;1.19;29949.72
ITEM;730;31;0.84;39363.95
ITEM;2126;123;0.75;105433.50
ITEM;751;25;0.67;31770.99
ITEM;2120;36;0.97;122798.60
ITEM;757;10;0.59;27953.66
ITEM;2269;23;1.11;520951.50
ITEM;1561;5;1.05;58451.62
ITEM;1064;25;1.21;36527.66
ITEM;305;8;1.00;240.76
ITEM;105;408;1.05;10.47
ITEM;20;266;1.11;23.99
ITEM;304;25;0.58;462.15
ITEM;742;23;1.05;108243.80
ITEM;747;40;0.69;72204.49
ITEM;733;33;0.83;85745.58
ITEM;211;332;0.64;109.84
ITEM;752;40;0.75;78609.51
ITEM;758;29;0.71;74255.33
ITEM;209;63;0.83;116.43
ITEM;701;75;0.59;5601.94
ITEM;700;76;0.93;8661.94
ITEM;690;50;0.92;6667.06
ITEM;158;55;1.11;26.94
ITEM;4;324;1.13;36.55
ITEM;2347;8;0.77;142.03
