// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quah Relay Station
STATION;type;Data Relay Station
STATION;owner;Xigee Jagvis
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;1
STATION;icon;quah.png
STATION;filename;sector_29_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-1-6-7-3-9-1-3-6-2-0-90
STATION;interior_seed;4-8-0-4
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.40;npc_ship_data_(support_escort_1).txt
MERC;6;0.64;npc_ship_data_(battle_carrier_1).txt
MERC;5;1.32;npc_ship_data_(transport_cruiser_1).txt
MERC;5;1.40;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;305x363;165671;48319.24
BUYORDER;Market Demands: (2) Items ;303x36,305x105;123113;43368.76

SELLORDER;Market Stock: (3) Items ;162x20,167x97,165x109;6030;36854.45
SELLORDER;Market Inventory: (1) Items ;154x70;3116;23132.23
ITEM;1470;1;0.78
ITEM;1003;1;0.79
ITEM;1120;4;0.81
ITEM;1110;2;0.64
ITEM;1002;7;0.65
ITEM;1050;3;1.24
ITEM;1054;9;0.57
ITEM;1001;6;0.71
ITEM;1100;1;0.65
ITEM;1170;1;1.18
ITEM;1460;5;0.52
ITEM;1160;3;1.23
ITEM;1200;2;0.53
ITEM;1150;8;1.16
ITEM;1550;3;0.99
ITEM;1600;2;0.66
ITEM;1530;9;0.70
ITEM;1615;6;0.88
ITEM;1510;1;1.24
ITEM;1640;7;0.66
ITEM;1630;3;0.99
ITEM;1580;8;1.14
ITEM;1610;8;0.78
ITEM;1540;4;0.70
ITEM;1650;9;0.81
ITEM;1500;7;0.92
ITEM;1520;6;1.05
ITEM;1570;5;0.54
ITEM;1590;9;1.13
ITEM;1560;4;0.79
ITEM;1750;9;0.83
ITEM;1620;6;1.01
ITEM;75;44;1.00
ITEM;2127;20;0.85
ITEM;2130;24;0.79
ITEM;2114;2;1.15
ITEM;51;46;0.58
ITEM;2123;34;0.80
ITEM;2122;40;0.74
ITEM;2651;28;1.12
ITEM;2121;32;0.84
ITEM;2652;20;0.92
ITEM;53;15;1.19
ITEM;78;33;0.98
ITEM;76;17;1.14
ITEM;70;27;0.97
ITEM;2116;6;1.01
ITEM;60;38;0.93
ITEM;2120;33;0.95
ITEM;2117;49;0.88
ITEM;52;16;1.25
ITEM;745;12;0.51
ITEM;681;15;0.58
ITEM;700;15;0.65
ITEM;748;18;0.82
ITEM;693;15;0.95
ITEM;729;10;0.51
ITEM;744;10;1.23
ITEM;670;9;1.02
ITEM;703;1;1.16
