// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Oro Omniplex Center
STATION;type;Recon Sentry
STATION;owner;Hasrastast Belbar
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;oro_omniplex.png
STATION;filename;sector_2_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-7-2-7-1-5-0-2-7-0-4-8-1-0-0-3-4-1-0-0
STATION;interior_seed;3-9-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;59304.87
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.07;npc_ship_data_(battle_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_1).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_2).txt
MERC;1;1.05;npc_ship_data_(excavation_escort_3).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (1) Items ;41x1135;45638;91252.30
BUYORDER;Want to acquire (1) Items ;1110x19;37515;103573.00
SELLORDER;Market Inventory: (2) Items ;76x630,41x489;197027.00;76819.19
SELLORDER;Selling: (1) Items ;10x50;26842.00;76620.96
ITEM;1451;0;2.50;0
ITEM;1;233;0.73;0
ITEM;41;2500;0.25;0
ITEM;51;2500;0.27;30.29878
ITEM;1522;0;2.50;30.29878
ITEM;2314;11;1.18;9350086
ITEM;1642;23;0.88;9350086
ITEM;2250;3;0.86;9350086
ITEM;1512;0;2.50;285042.7
ITEM;622;3;0.90;285042.7
ITEM;1632;8;0.56;65087.95
ITEM;2280;28;1.15;1487949
ITEM;61;10;1.20;1487949
ITEM;2127;117;0.55;302757.4
ITEM;2151;7;0.95;302757.4
ITEM;2115;67;0.86;302757.4
ITEM;641;2;1.08;302757.4
ITEM;2121;65;0.76;302757.4
ITEM;1562;5;1.15;133595
ITEM;1502;2;1.05;133595
ITEM;76;34;0.71;133595
ITEM;2340;15;0.72;60808.51
ITEM;310;20;0.53;60808.51
ITEM;302;25;0.68;60808.51
ITEM;2436;8;1.15;69966.97
ITEM;169;80;0.95;73.39355
ITEM;40;45;0.68;73.39355
ITEM;50;2500;0.25;73.39355
ITEM;1520;0;2.50;73.39355
ITEM;1620;25;0.58;20177.96
ITEM;70;28;0.63;90.36317
ITEM;2319;29;0.92;90.36317
ITEM;1510;0;2.50;71260.66
ITEM;1650;14;0.90;71260.66
ITEM;620;7;0.62;71260.66
ITEM;312;22;0.86;71260.66
ITEM;2296;7;0.71;71260.66
ITEM;1008;16;1.18;8890.842
ITEM;60;46;0.58;8890.842
ITEM;2125;95;0.94;8890.842
ITEM;1201;19;1.13;8890.842
ITEM;2161;26;0.69;8890.842
ITEM;2294;25;1.10;357721.6
ITEM;2113;128;0.83;357721.6
ITEM;1401;10;1.07;357721.6
ITEM;1615;16;1.19;357721.6
ITEM;1600;16;0.87;357721.6
ITEM;201;208;1.25;357721.6
ITEM;1560;1;0.96;357721.6
ITEM;736;42;0.96;262930.9
ITEM;1500;0;2.50;262930.9
ITEM;75;32;1.04;262930.9
ITEM;1059;18;1.08;262930.9
ITEM;2131;69;1.21;54807.17
ITEM;400;278;1.15;54807.17
ITEM;727;54;1.09;54807.17
ITEM;311;29;0.88;54807.17
ITEM;109;314;0.81;54807.17
