// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Spacebook
STATION;type;Scientific Analysis Facility
STATION;owner;Sevxad Cawheaino
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;spacebook.png
STATION;filename;sector_30_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-4-1-8-0-4-6-1-8-1-3-1-3-7-90
STATION;interior_seed;5-4-45-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.10;npc_ship_data_(pirate_carrier_1).txt
MERC;6;1.74;npc_ship_data_(battle_carrier_1).txt
MERC;2;1.89;npc_ship_data_(pirate_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;2x554;12191;68715.16
BUYORDER;Market Demands: (1) Items ;1x646;9414;57064.41
BUYORDER;Market Demands: (1) Items ;9x90;66133;50049.12

BUYORDER;Market Items Req: (1) Items ;7x56;12930;79494.59

SELLORDER;Market Goods: (1) Items ;693x79;185363;13772.71
ITEM;1201;37;1.12
ITEM;1069;3;0.93
ITEM;1111;7;1.10
ITEM;1161;15;1.11
ITEM;1057;3;0.73
ITEM;1110;6;1.21
ITEM;1101;4;0.64
ITEM;1403;5;0.78
ITEM;1170;9;0.85
ITEM;1008;26;1.19
ITEM;1202;9;1.24
ITEM;1003;4;0.82
ITEM;1113;26;0.54
ITEM;1055;28;0.73
ITEM;1163;17;0.76
ITEM;1019;36;0.75
ITEM;1001;22;1.09
ITEM;1052;1;1.09
ITEM;1067;32;1.17
ITEM;1500;24;1.09
ITEM;1571;22;1.12
ITEM;1512;37;0.55
ITEM;1615;16;1.19
ITEM;1618;24;0.62
ITEM;1511;30;0.60
ITEM;1600;5;0.53
ITEM;1551;36;0.96
ITEM;1622;39;0.75
ITEM;1542;20;0.64
ITEM;1623;30;0.73
ITEM;1522;35;0.94
ITEM;1611;30;0.92
ITEM;1532;31;0.89
ITEM;1753;17;0.56
ITEM;1540;38;0.73
ITEM;1530;25;1.06
ITEM;1590;6;1.13
ITEM;1501;8;1.05
ITEM;2112;95;1.01
ITEM;2115;8;0.99
ITEM;2128;112;1.19
ITEM;76;80;0.79
ITEM;2127;5;0.83
ITEM;63;89;1.04
ITEM;2126;41;0.82
ITEM;42;160;0.61
ITEM;2125;97;0.52
ITEM;2651;193;1.18
ITEM;43;87;1.03
ITEM;2119;105;1.20
ITEM;60;182;0.51
ITEM;2123;163;0.72
ITEM;78;34;0.87
ITEM;2652;140;0.56
ITEM;2111;181;1.23
ITEM;2121;127;0.63
ITEM;2113;169;1.11
ITEM;77;37;0.64
ITEM;50;104;0.68
ITEM;51;95;0.96
ITEM;2120;103;0.80
ITEM;734;65;1.10
ITEM;678;2;0.78
ITEM;680;28;0.86
ITEM;755;35;0.72
ITEM;746;38;1.04
ITEM;679;55;0.86
ITEM;751;10;0.87
ITEM;752;12;0.92
ITEM;723;21;0.66
ITEM;740;16;1.04
ITEM;741;21;0.54
ITEM;737;49;0.62
ITEM;733;56;1.15
ITEM;701;32;1.17
ITEM;757;12;0.60
ITEM;727;6;0.59
ITEM;735;8;0.57
ITEM;736;29;0.75
ITEM;692;30;1.18
ITEM;691;49;0.80
ITEM;738;32;1.19
ITEM;758;7;1.19
ITEM;620;13;0.84
ITEM;661;18;1.09
ITEM;643;6;0.73
ITEM;603;13;0.55
ITEM;621;9;1.09
ITEM;660;6;0.73
ITEM;602;1;0.94
ITEM;642;10;0.89
ITEM;601;8;0.63
ITEM;662;5;1.02
ITEM;641;9;0.91
ITEM;640;17;1.12
ITEM;622;11;0.91
ITEM;663;11;0.88
ITEM;600;7;0.78
ITEM;623;7;0.86
ITEM;325;28;0.98
ITEM;324;2;1.07
ITEM;321;22;0.80
ITEM;300;10;1.19
ITEM;301;34;1.23
ITEM;313;16;0.61
ITEM;404;28;0.92
ITEM;304;30;0.55
ITEM;403;38;0.78
ITEM;303;4;0.79
ITEM;312;16;1.00
ITEM;405;35;0.88
ITEM;322;14;0.75
ITEM;320;8;0.68
ITEM;406;39;0.65
ITEM;305;21;1.02
ITEM;310;1;0.67
ITEM;311;21;1.11
ITEM;323;13;0.99
ITEM;407;9;0.69
ITEM;408;33;1.01
ITEM;302;24;0.90
ITEM;3;105;0.90
ITEM;22;272;0.56
ITEM;20;236;0.68
ITEM;21;234;0.90
ITEM;2;263;0.99
ITEM;1;82;0.75
ITEM;23;346;0.86
ITEM;4;91;1.06
ITEM;102;371;0.99
ITEM;113;160;0.97
ITEM;107;56;0.95
ITEM;104;103;1.19
ITEM;100;465;0.64
ITEM;105;176;1.14
ITEM;106;360;0.55
ITEM;109;88;1.17
ITEM;114;15;0.55
ITEM;118;524;0.58
ITEM;101;117;0.82
ITEM;103;597;1.04
ITEM;216;27;0.65
ITEM;214;260;0.57
ITEM;200;155;1.14
ITEM;208;366;0.64
ITEM;156;56;0.51
ITEM;152;381;1.04
ITEM;212;37;1.13
ITEM;218;23;1.12
ITEM;160;335;0.93
ITEM;169;21;1.17
ITEM;202;395;0.83
ITEM;215;21;1.22
ITEM;163;274;1.17
ITEM;213;199;0.99
ITEM;203;142;0.82
ITEM;168;215;1.24
ITEM;206;82;0.66
ITEM;157;145;1.07
ITEM;151;38;0.85
ITEM;153;56;1.22
ITEM;167;324;0.74
ITEM;210;203;0.63
ITEM;2417;23;1.08
ITEM;2398;7;1.08
ITEM;2181;9;0.89
ITEM;2448;37;0.97
ITEM;2349;23;0.77
ITEM;2140;37;0.63
ITEM;2450;13;0.54
ITEM;2464;29;0.52
ITEM;2306;18;1.16
ITEM;2406;19;0.59
ITEM;2311;21;1.04
ITEM;2455;20;0.77
ITEM;2556;23;0.85
ITEM;2290;13;0.61
ITEM;2223;23;1.09
ITEM;2329;25;1.06
ITEM;2436;24;0.61
ITEM;2301;38;0.77
ITEM;2304;1;1.15
ITEM;2335;29;0.73
ITEM;2458;38;1.24
ITEM;2330;26;0.85
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;60;0.62
SKILL;210;0.66
SKILL;23;1.97
SKILL;21;0.57
SKILL;221;1.20
SKILL;52;1.37
SKILL;53;1.02
SKILL;231;0.50
SKILL;47;1.72
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.03;ship_data_(battle_cruiser_1).txt
SHIP;2;1.04;ship_data_(transport_shuttle_1).txt
SHIP;3;1.08;ship_data_(battle_cruiser_1).txt
SHIP;4;0.99;ship_data_(support_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
