// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;45817.67
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;406x917;1311;143774.70

SELLORDER;Market Production: (1) Items ;52x730;44648;71810.77
SELLORDER;Market Production: (3) Items ;62x155,62x518,76x179;127349;135914.80
BUYORDER;Market Needs Goods: (2) Items ;408x951,408x748;29299;90956.05

ITEM;1451;0;2.50;0
ITEM;1;231;0.92;0
ITEM;41;0;0.66;0
ITEM;51;61;0.75;70.30236
ITEM;1522;20;1.02;88267.16
ITEM;1752;11;0.94;164408.8
ITEM;2285;30;1.08;164408.8
ITEM;622;4;0.76;164408.8
ITEM;1019;32;0.55;164408.8
ITEM;1632;26;0.94;164408.8
ITEM;1020;3;0.96;90193.31
ITEM;2103;13;1.03;90193.31
ITEM;1542;36;1.00;90193.31
ITEM;61;157;1.16;316.1755
ITEM;1067;11;0.75;78651.77
ITEM;2127;121;0.72;78651.77
ITEM;2151;30;0.54;78651.77
ITEM;1103;32;1.24;78651.77
ITEM;1021;14;1.19;78651.77
ITEM;2115;137;0.58;78651.77
ITEM;641;3;0.70;9605.887
ITEM;1065;36;1.13;9605.887
ITEM;2121;22;0.93;436484.7
ITEM;1562;18;0.96;436484.7
ITEM;737;6;1.02;436484.7
ITEM;76;47;0.67;436484.7
ITEM;310;4;0.82;436484.7
ITEM;2355;28;0.78;345.839
ITEM;302;33;0.63;345.839
ITEM;2345;30;0.83;133.3407
ITEM;167;364;1.02;133.3407
ITEM;40;0;0.72;133.3407
ITEM;2330;30;1.08;133.3407
ITEM;50;2500;0.27;13.43335
ITEM;1520;24;0.74;16654.32
ITEM;70;79;0.58;16654.32
ITEM;1640;28;0.78;21764.32
ITEM;1570;22;0.67;21764.32
ITEM;620;11;0.94;21764.32
ITEM;312;3;1.14;21764.32
ITEM;1171;24;0.82;7614.088
ITEM;1008;29;0.94;7614.088
ITEM;60;178;0.76;7614.088
ITEM;1057;37;0.85;7614.088
ITEM;2125;131;0.71;7614.088
ITEM;1701;24;0.54;7614.088
ITEM;1700;4;1.09;29486.84
ITEM;1101;13;0.73;29486.84
ITEM;2113;-99;0.54;29486.84
ITEM;2113;153;0.52;29486.84
ITEM;2119;144;1.10;41560.26
ITEM;201;178;1.18;41560.26
ITEM;2364;33;0.64;41560.26
ITEM;1560;38;1.12;41560.26
ITEM;1500;27;0.92;41560.26
ITEM;75;45;0.83;172.9059
ITEM;1590;7;0.78;172.9059
ITEM;2326;18;0.84;172.9059
ITEM;400;328;1.05;172.9059
ITEM;208;43;0.56;103.2502
ITEM;311;3;1.02;142.0049
ITEM;109;218;1.03;5.02361
ITEM;406;22;1.05;5.02361
ITEM;403;29;0.98;1.178478
ITEM;205;148;1.18;151.0941
ITEM;101;253;1.21;151.0941
ITEM;623;11;0.99;151.0941
ITEM;603;5;0.75;151.0941
ITEM;325;2;0.68;151.0941
ITEM;404;13;0.84;151.0941
ITEM;300;12;0.91;151.0941
ITEM;301;18;0.96;151.0941
ITEM;661;18;1.05;151.0941
ITEM;218;265;0.94;328.137
ITEM;660;2;1.17;8831.391
ITEM;2191;34;1.02;8831.391
ITEM;643;8;0.99;40564.86
ITEM;738;20;1.15;1255383
ITEM;322;27;0.98;1255383
ITEM;151;90;0.82;11.01558
ITEM;324;6;0.98;11.01558
ITEM;1001;23;0.64;11.01558
ITEM;1100;24;1.16;2486.802
ITEM;2112;14;1.17;2486.802
ITEM;1400;38;0.77;2486.802
ITEM;2130;21;0.98;12814.34
ITEM;313;31;0.80;260.2334
ITEM;2;184;1.04;13.04274
ITEM;405;28;0.66;13.04274
ITEM;602;2;1.06;13.04274
ITEM;681;51;0.67;61038.94
ITEM;673;67;1.18;61038.94
ITEM;675;56;0.98;57433.08
ITEM;679;3;1.01;89002.05
ITEM;102;58;0.64;2.266949
ITEM;1751;21;0.93;81835.93
ITEM;1571;6;1.16;81835.93
ITEM;1651;14;1.04;56650.66
ITEM;621;7;1.15;15121.32
ITEM;1112;24;0.98;15121.32
ITEM;2279;17;0.66;15121.32
ITEM;1014;2;1.14;30174.32
ITEM;1062;12;0.55;30174.32
ITEM;1205;29;1.04;55448.18
ITEM;1015;16;1.01;55448.18
ITEM;1402;14;0.71;39234.89
ITEM;1611;16;1.24;39234.89
ITEM;1591;27;0.78;39234.89
ITEM;305;27;0.79;39234.89
ITEM;105;23;1.22;39234.89
ITEM;20;31;0.57;39234.89
ITEM;304;15;0.55;39234.89
ITEM;747;11;0.74;39234.89
ITEM;2396;13;0.80;39234.89
ITEM;752;28;0.83;39234.89
ITEM;758;16;0.93;39234.89
ITEM;712;30;0.71;39234.89
ITEM;209;399;1.12;39234.89
ITEM;692;63;1.17;39234.89
ITEM;700;17;0.99;9742.365
ITEM;690;3;1.13;9742.365
ITEM;158;252;0.92;9742.365
ITEM;4;52;1.11;37.73384
ITEM;104;487;0.75;37.73384
ITEM;166;311;1.06;37.73384
ITEM;203;10;0.51;37.73384
ITEM;320;22;1.12;1714.669
ITEM;740;73;0.84;1714.669
ITEM;750;42;1.13;1714.669
ITEM;756;36;0.81;1714.669
ITEM;678;77;0.74;1714.669
ITEM;157;88;1.13;26.18222
ITEM;23;62;1.06;26.18222
ITEM;161;33;0.61;26.18222
ITEM;728;21;0.59;26.18222
ITEM;212;257;0.78;26.18222
ITEM;321;25;0.77;2199.108
ITEM;106;17;0.69;7.271787
ITEM;601;13;1.18;7.271787
ITEM;150;196;0.52;7.271787
ITEM;303;29;0.78;7.271787
ITEM;107;132;1.18;14.17817
ITEM;206;16;0.91;131.0267
ITEM;407;0;2.50;131.0267
ITEM;103;530;0.62;131.0267
ITEM;118;258;1.14;131.0267
ITEM;1523;30;1.11;131.0267
ITEM;1753;7;0.72;257556.9
ITEM;1583;25;1.06;257753.2
ITEM;1543;13;0.66;257753.2
ITEM;2116;62;0.88;257753.2
ITEM;1553;35;0.86;257753.2
ITEM;1563;19;1.16;257753.2
ITEM;2241;33;0.66;257753.2
ITEM;1503;19;0.85;257753.2
ITEM;600;9;0.96;257753.2
ITEM;42;2500;0.25;257753.2
ITEM;52;20;0.68;146.233
