// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;39447.67
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;For Sale: (1) Items ;1059x10;81985;60057.84
SELLORDER;Market Stock: (2) Items ;116x624,111x446;39527.00;55533.20
SELLORDER;Market Surplus: (1) Items ;120x472;29199.00;82004.20
SELLORDER;Market Goods: (2) Items ;119x515,106x517;34296.00;49906.29
BUYORDER;Market Demands: (1) Items ;22x282;37646.00;61050.68
SELLORDER;Market Goods: (2) Items ;111x89,108x136;2018.00;73466.23
SELLORDER;Sale Request Order: (2) Items ;340x7,740x5;43675.00;62929.19
ITEM;2000;43;0.84;18.00
ITEM;1451;7;0.57;17118.60
ITEM;1;83;0.66;5.28
ITEM;41;0;1.17;64.04
ITEM;2334;9;1.12;60740.00
ITEM;1522;12;0.98;85984.00
ITEM;2275;24;1.10;1720512.00
ITEM;1752;13;0.66;120768.00
ITEM;2311;29;0.55;5010599.00
ITEM;1642;25;0.88;97480.00
ITEM;1572;12;0.64;76419.20
ITEM;622;3;0.75;18110.82
ITEM;1542;20;1.14;113601.60
ITEM;2127;16;1.21;615376.30
ITEM;2115;116;0.90;511824.60
ITEM;641;1;0.85;11573.80
ITEM;2121;-99;1.24;572295.50
ITEM;2121;127;0.93;439383.00
ITEM;1552;18;0.90;99480.00
ITEM;737;51;0.57;373950.00
ITEM;1502;22;1.19;107923.20
ITEM;76;44;1.03;474.53
ITEM;2340;24;0.85;70860.00
ITEM;310;17;0.88;133.18
ITEM;2407;13;1.19;16498.12
ITEM;163;64;0.80;35.73
ITEM;111;38;0.74;19.29
ITEM;302;28;1.25;61.24
ITEM;153;200;0.78;12.81
ITEM;2345;21;0.86;139.40
ITEM;167;260;0.98;69.12
ITEM;169;121;0.89;69.66
ITEM;40;32;1.05;25.76
ITEM;1520;26;0.66;15096.00
ITEM;1530;27;1.08;29370.00
ITEM;2316;29;1.11;4771485.00
ITEM;1640;4;0.95;26120.00
ITEM;1570;22;1.22;34184.80
ITEM;1580;28;1.15;34854.40
ITEM;620;13;0.56;4583.60
ITEM;312;7;1.23;93.56
ITEM;1111;19;1.17;9738.96
ITEM;1171;22;1.07;9784.32
ITEM;1008;25;0.81;6333.60
ITEM;2101;17;0.63;25368.00
ITEM;60;98;0.76;96.17
ITEM;2336;20;1.05;13737.60
ITEM;2304;6;1.24;400440.00
ITEM;1201;24;0.56;9167.20
ITEM;1161;27;1.24;10277.96
ITEM;1701;46;0.74;20870.00
ITEM;1702;41;0.82;22870.00
ITEM;1700;9;1.23;33120.00
ITEM;1009;11;0.97;8944.32
ITEM;2113;42;0.74;35061.60
ITEM;1055;22;0.82;6403.60
ITEM;2119;36;0.96;36918.00
ITEM;1401;3;1.14;17287.20
ITEM;201;280;1.15;101.68
ITEM;2339;26;0.61;10572.00
ITEM;1059;17;0.98;9028.32
ITEM;2131;5;0.97;44721.60
ITEM;2253;20;1.11;289152.00
ITEM;400;293;0.72;1303.68
ITEM;208;125;0.57;105.81
ITEM;115;250;0.25;9.56
ITEM;727;5;0.56;9822.00
ITEM;311;16;1.07;148.76
ITEM;729;23;0.59;10272.00
ITEM;116;250;0.25;19.83
ITEM;109;99;0.57;2.98
ITEM;406;7;0.54;0.70
ITEM;403;13;0.73;0.91
ITEM;205;255;1.17;151.24
ITEM;101;247;0.72;1.47
ITEM;168;272;1.10;30.99
ITEM;110;39;0.83;14.84
ITEM;404;12;0.91;1.11
ITEM;300;26;0.80;89.08
ITEM;301;25;0.61;17.83
ITEM;28;0;2.50;4751.44
ITEM;661;7;0.50;7286.30
ITEM;108;43;0.67;10.23
ITEM;2385;2;0.89;3317.79
ITEM;660;8;1.00;7663.60
ITEM;112;36;0.66;25.12
ITEM;2386;3;1.05;4242.63
ITEM;2418;7;1.01;26752.73
ITEM;24;13;1.05;251.43
ITEM;702;3;0.51;6048.00
ITEM;27;9;1.05;1233.11
ITEM;151;35;0.66;9.13
ITEM;204;208;0.52;66.83
ITEM;735;29;0.82;6861000.00
ITEM;1001;10;1.15;2738.56
ITEM;1110;21;0.70;1748.56
ITEM;2160;19;0.86;19096.00
ITEM;1100;10;1.11;2409.60
ITEM;2112;135;1.04;13617.60
ITEM;1054;9;1.02;2675.52
ITEM;2130;64;0.99;13017.60
ITEM;2130;-99;1.22;15777.60
ITEM;2388;4;1.07;5222.96
ITEM;123;45;0.70;78.98
ITEM;313;16;0.54;186.65
ITEM;2;172;1.04;13.11
ITEM;405;25;0.60;0.76
ITEM;602;1;1.11;25828.50
ITEM;673;0;2.50;233532.00
ITEM;743;57;0.89;162492.00
