// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;The Dunes
STATION;type;Tavern Station
STATION;owner;Gorejid Foemepae
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;4
STATION;icon;dunes_resort.png
STATION;filename;sector_4_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-1-2-0-0-9-1-5-2-0-4-0
STATION;interior_seed;4-6-0-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.41;npc_ship_data_(battle_frigate_1).txt
MERC;2;1.05;npc_ship_data_(support_cruiser_1).txt
MERC;1;0.75;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1112;3;0.66
ITEM;1002;31;0.75
ITEM;1470;29;1.20
ITEM;1121;1;0.95
ITEM;1173;11;0.58
ITEM;1161;8;0.52
ITEM;1120;4;1.12
ITEM;1054;8;0.59
ITEM;1057;29;0.63
ITEM;1400;24;1.18
ITEM;1170;39;1.14
ITEM;1152;4;0.89
ITEM;1050;24;0.97
ITEM;1014;8;0.97
ITEM;1150;3;0.53
ITEM;1200;7;0.91
ITEM;1171;35;0.52
ITEM;1123;16;0.80
ITEM;1062;4;0.69
ITEM;1300;8;0.80
ITEM;1153;4;0.65
ITEM;1052;24;0.87
ITEM;1451;24;0.52
ITEM;1101;22;0.55
ITEM;1530;24;1.01
ITEM;1630;3;1.01
ITEM;1500;18;1.01
ITEM;1511;23;0.65
ITEM;1590;10;1.10
ITEM;1751;28;1.23
ITEM;1631;33;0.64
ITEM;1620;21;0.94
ITEM;1622;22;0.94
ITEM;1510;17;0.73
ITEM;1710;10;1.02
ITEM;1615;27;0.97
ITEM;1513;24;0.58
ITEM;1571;19;0.80
ITEM;1753;34;0.75
ITEM;1520;23;0.52
ITEM;1501;14;1.14
ITEM;1641;26;0.60
