// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Foodmaid
STATION;type;Food Production Plant
STATION;owner;Astto Xulaoyel
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;9
STATION;icon;foodmaid.png
STATION;filename;sector_55_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-1-4-1-4-0-2-4-1-9-0-5-6-2-7-1-6-4-3-3-90
STATION;interior_seed;4-3-15-2
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.56;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.17;npc_ship_data_(transport_carrier_1).txt
MERC;3;1.95;npc_ship_data_(battle_escort_1).txt
MERC;3;1.98;npc_ship_data_(excavation_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (4) Items ;403x870,2000x486,123x420,118x1075;39737;132890.30
SELLORDER;Market Supply: (3) Items ;311x106,100x582,107x321;6468;73058.73
SELLORDER;Market Stock: (3) Items ;109x545,103x503,110x817;9085;64522.74
BUYORDER;Market Shortage: (2) Items ;2x772,23x537;69977;84825.51
BUYORDER;Market Items Req: (1) Items ;23x644;140180;115917.20
BUYORDER;Market Demands: (2) Items ;20x295,26x169;191871;96014.62
BUYORDER;Market Demands: (1) Items ;5x64;3830;66595.62
BUYORDER;Purchase Order for: (1) Items ;1162x4;135814;74254.48

ITEM;1022;66;0.73
ITEM;1152;30;0.60
ITEM;1067;13;0.69
ITEM;1150;11;0.76
ITEM;1015;52;1.22
ITEM;1155;30;0.77
ITEM;1168;22;1.11
ITEM;1127;30;0.57
ITEM;1207;48;1.06
ITEM;1170;58;0.51
ITEM;1478;14;0.55
ITEM;1023;7;0.77
ITEM;1407;63;0.97
ITEM;1201;54;1.03
ITEM;1162;43;0.74
ITEM;1069;12;1.11
ITEM;1174;86;0.72
ITEM;1101;28;0.82
ITEM;1008;66;0.73
ITEM;1017;8;1.09
ITEM;1171;4;0.66
ITEM;1054;77;0.52
ITEM;1154;77;0.61
ITEM;1126;75;0.84
ITEM;1173;78;1.13
ITEM;1164;35;0.52
ITEM;1012;49;0.82
