// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers
STATION;type;Auction Facility
STATION;owner;Ribres Borxaxon
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;transporteers.png
STATION;filename;sector_56_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-2-0-3-0-0-4-2-1-0-90
STATION;interior_seed;4-7-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;54245.98
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;2.00;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.99;npc_ship_data_(recon_shuttle_1).txt
MERC;6;0.76;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (2) Items ;215x541,210x613;184536.00;60274.85
SELLORDER;Market Supply: (1) Items ;213x82;13402.00;80021.64
SELLORDER;Market Surplus: (3) Items ;216x366,213x270,212x105;55553.00;70166.64
ITEM;2023;200;0.52;611.33
ITEM;2000;506;0.81;16.68
ITEM;1451;12;0.25;7880.47
ITEM;2187;2;1.12;151414.80
ITEM;1;240;1.22;8.93
ITEM;41;0;0.93;49.92
ITEM;1622;7;0.83;106324.50
ITEM;1532;38;0.81;86603.75
ITEM;1771;7;0.77;477084.60
ITEM;2320;75;1.15;7852086.00
ITEM;622;31;0.97;21996.19
ITEM;1113;31;0.96;95837.73
ITEM;1173;14;1.22;131304.30
ITEM;61;394;1.21;320.47
ITEM;1021;41;0.98;106608.30
ITEM;2115;6;1.06;574201.30
ITEM;641;28;1.06;13671.46
ITEM;2121;92;1.14;512801.10
ITEM;1403;60;0.96;174250.40
ITEM;1552;77;1.02;107603.80
ITEM;2406;52;0.70;8825.98
ITEM;76;0;1.08;479.27
ITEM;401;582;0.77;3964.98
ITEM;667;23;1.12;413795.80
ITEM;310;69;0.90;130.61
ITEM;163;24;1.14;47.76
ITEM;111;772;1.22;29.49
ITEM;302;14;0.87;42.17
ITEM;2028;130;0.92;1668.22
ITEM;351;3;0.58;3524.23
ITEM;153;788;1.23;18.83
ITEM;167;386;0.65;45.41
ITEM;1520;23;0.89;18920.75
ITEM;70;0;1.06;139.50
ITEM;1775;40;0.51;175489.20
ITEM;1580;56;1.06;31249.05
ITEM;620;24;1.21;8862.26
ITEM;312;21;0.58;44.92
ITEM;1171;23;1.08;9542.72
ITEM;1710;22;0.95;25150.94
ITEM;60;79;0.77;92.93
ITEM;1730;17;0.92;24400.94
ITEM;2125;310;1.02;41427.44
ITEM;1161;58;0.53;4512.49
ITEM;1101;38;0.87;6482.26
ITEM;1055;1;0.73;5502.26
ITEM;2119;341;0.74;27861.31
ITEM;1401;5;1.17;17164.53
ITEM;1615;64;1.11;22154.71
ITEM;1610;12;0.77;14042.64
ITEM;75;0;0.63;128.63
ITEM;2131;345;1.24;54433.57
ITEM;2200;55;0.50;889660.00
ITEM;8;116;0.61;155.23
ITEM;115;655;0.65;19.58
ITEM;664;17;0.52;37818.01
ITEM;2480;9;0.78;267532.00
ITEM;311;44;0.82;111.88
ITEM;116;519;1.15;69.36
ITEM;109;476;0.68;3.30
ITEM;353;41;0.71;3347.39
ITEM;406;28;0.53;0.64
ITEM;403;0;0.50;0.61
ITEM;101;291;1.02;1.94
ITEM;168;315;0.86;23.76
ITEM;623;36;0.94;37367.34
ITEM;606;8;1.18;248517.70
ITEM;110;514;0.51;9.08
ITEM;605;9;0.83;101798.60
ITEM;603;4;1.15;45245.70
ITEM;325;0;1.19;402.42
ITEM;404;60;0.72;0.85
ITEM;300;0;1.01;106.12
ITEM;2324;18;0.64;4427241.00
ITEM;301;50;0.54;15.08
ITEM;332;14;1.05;3849.91
ITEM;2031;30;0.56;926.25
ITEM;2032;523;0.95;1663.91
ITEM;661;10;0.88;11466.46
ITEM;2033;216;0.97;1866.68
ITEM;218;48;0.25;97.42
ITEM;108;1108;1.12;15.72
ITEM;2003;133;0.74;268.19
ITEM;660;27;0.99;7322.26
ITEM;112;475;0.68;24.50
ITEM;2004;432;0.79;313.54
ITEM;7;286;0.90;135.04
ITEM;1477;52;0.85;169882.00
ITEM;643;31;0.92;36617.02
ITEM;11;163;0.78;118.09
ITEM;24;614;0.98;181.71
ITEM;738;150;1.10;1170488.00
ITEM;27;713;1.01;918.62
ITEM;322;0;0.65;466.92
ITEM;151;440;1.22;15.44
ITEM;204;0;1.18;134.37
ITEM;343;63;0.99;6505.50
ITEM;341;41;0.72;4092.36
ITEM;2039;157;0.96;3274.71
ITEM;324;23;0.84;2237.41
ITEM;2124;109;1.16;13376.41
ITEM;2112;276;0.89;11352.45
ITEM;2118;29;1.20;12560.38
ITEM;1400;57;0.68;2944.15
ITEM;2130;198;1.17;14712.45
ITEM;2006;317;1.16;545.31
ITEM;313;50;1.16;357.55
ITEM;2;171;1.23;14.85
ITEM;405;0;1.06;1.23
ITEM;602;35;0.60;14064.13
ITEM;675;145;1.09;61886.03
ITEM;2470;1;0.65;451864.00
ITEM;759;71;0.68;121446.20
ITEM;679;16;0.77;66909.04
ITEM;102;475;1.07;3.50
ITEM;627;14;1.10;406758.80
ITEM;331;0;2.50;688.85
ITEM;646;23;1.17;246507.10
ITEM;1531;50;1.13;59301.88
ITEM;741;133;0.80;38521.69
ITEM;746;96;0.97;46171.69
ITEM;1571;20;0.70;39313.95
ITEM;1511;79;0.93;43385.65
ITEM;1651;28;0.67;36301.88
ITEM;621;9;0.85;11098.96
ITEM;1112;34;1.21;34119.71
ITEM;1541;15;0.80;39377.73
ITEM;730;59;0.58;28621.69
ITEM;2126;419;0.86;123436.10
ITEM;2126;-99;0.92;131521.10
ITEM;1205;27;0.93;48315.84
ITEM;1015;14;1.20;36927.50
ITEM;751;71;0.70;34021.69
ITEM;2120;364;1.21;155089.60
ITEM;1551;43;0.75;40301.88
ITEM;1501;53;0.62;28393.58
ITEM;1064;3;1.21;37221.50
ITEM;2132;28;0.71;112607.50
ITEM;305;57;1.21;295.24
ITEM;105;1163;0.66;5.54
ITEM;2009;676;1.04;654.18
ITEM;20;258;0.84;18.82
ITEM;2382;15;0.60;1660.43
ITEM;304;78;1.02;811.98
ITEM;742;22;0.66;71603.75
ITEM;747;117;0.79;84603.75
ITEM;677;0;0.79;38071.69
ITEM;2013;12;1.00;640.42
ITEM;733;5;0.98;103603.80
ITEM;2428;26;0.85;37023.41
ITEM;211;170;0.92;159.44
ITEM;2014;175;1.05;737.82
ITEM;752;5;1.13;118603.80
ITEM;712;130;1.21;91154.70
ITEM;209;135;0.47;71.02
ITEM;701;6;1.17;11034.34
ITEM;690;141;0.82;6132.26
ITEM;4;0;0.95;31.63
ITEM;155;227;0.64;12.33
ITEM;104;391;0.80;3.19
ITEM;350;44;1.09;7473.46
ITEM;320;23;0.52;817.90
ITEM;352;43;0.52;5177.55
ITEM;680;147;0.80;23113.01
ITEM;672;72;0.89;22704.90
ITEM;740;98;1.18;18540.56
ITEM;674;158;1.22;22968.68
ITEM;750;83;0.96;15240.56
ITEM;756;102;0.87;13890.56
ITEM;678;5;0.77;22303.01
ITEM;214;41;0.75;175.25
ITEM;23;0;0.78;86.25
ITEM;728;80;0.97;15390.56
ITEM;210;37;0.68;109.30
ITEM;2015;614;0.63;503.41
ITEM;25;118;0.60;195.61
ITEM;212;43;0.67;130.46
ITEM;321;36;1.15;3083.11
ITEM;121;966;0.70;30.19
ITEM;106;814;0.51;5.26
ITEM;601;6;1.21;15508.96
ITEM;150;29;0.50;6.12
ITEM;303;68;0.81;791.45
ITEM;342;0;1.19;4967.20
ITEM;107;996;0.93;10.99
ITEM;644;35;1.23;84430.94
ITEM;206;657;1.01;140.23
ITEM;407;55;0.55;3.33
ITEM;103;224;1.21;2.73
ITEM;330;16;1.05;2106.31
ITEM;607;15;1.06;392684.50
ITEM;6;739;0.51;48.46
ITEM;118;235;0.69;4.01
ITEM;170;76;0.91;65.21
ITEM;2207;48;0.88;5850235.00
ITEM;1623;60;0.69;179049.00
ITEM;1753;5;1.07;360332.00
ITEM;1573;24;1.06;232135.80
ITEM;2246;27;0.56;1537630.00
ITEM;1025;19;0.54;196774.60
ITEM;2128;203;0.57;1033393.00
ITEM;1104;65;1.18;370965.80
ITEM;2116;47;0.91;1739592.00
ITEM;2122;57;1.22;1914854.00
ITEM;2261;3;1.01;1842113.00
ITEM;213;150;0.25;60.49
ITEM;600;29;0.87;6482.26
ITEM;42;126;0.79;96.37
ITEM;52;328;1.21;240.34
ITEM;1534;68;1.19;498415.00
ITEM;2309;65;1.23;9876768.00
ITEM;1584;32;0.76;365584.80
ITEM;2111;50;1.23;7429961.00
ITEM;2105;38;0.65;3708242.00
ITEM;1544;78;1.02;395981.80
ITEM;1053;73;1.16;1405108.00
ITEM;1105;53;1.04;1151319.00
ITEM;1006;40;0.87;1167293.00
ITEM;2117;230;1.04;6907913.00
ITEM;2117;-99;0.85;5710415.00
ITEM;2123;293;1.06;5861639.00
ITEM;2242;46;0.57;3245378.00
ITEM;1614;78;1.07;306282.20
ITEM;77;253;0.69;708.15
ITEM;2328;38;0.99;156905600.00
ITEM;3;289;1.01;20.32
ITEM;726;98;1.21;18990.56
ITEM;164;601;0.51;9.12
ITEM;114;58;0.62;1.75
ITEM;21;797;0.75;28.78
ITEM;113;929;0.77;5.33
ITEM;721;150;1.10;6936.23
ITEM;2454;4;0.68;29441.50
ITEM;2016;178;1.15;973.48
ITEM;216;150;0.25;80.51
ITEM;703;64;1.12;8232.26
ITEM;217;150;0.25;88.56
ITEM;215;330;1.06;266.91
ITEM;755;58;0.77;4956.23
ITEM;159;356;1.07;54.41
ITEM;725;11;0.79;12690.56
ITEM;626;31;0.53;117828.70
ITEM;323;13;0.57;1121.11
ITEM;117;482;0.59;30.96
ITEM;152;198;1.11;15.52
ITEM;156;600;0.56;12.01
ITEM;625;8;0.70;86862.66
ITEM;642;22;0.68;15779.17
ITEM;340;52;1.13;1753.44
ITEM;640;12;0.88;6552.26
ITEM;645;14;1.14;137415.10
ITEM;2365;29;1.00;948.32
ITEM;647;1;0.71;269534.90
ITEM;744;158;1.03;271509.40
ITEM;2477;45;1.15;1543728.00
ITEM;124;368;0.83;61.15
ITEM;2019;276;1.20;1349.41
ITEM;5;0;0.68;38.19
ITEM;1300;0;2.50;44730.66
ITEM;333;0;1.11;10970.06
ITEM;22;536;0.52;34.96
ITEM;2022;493;1.24;1250.40
ITEM;624;4;1.18;81148.33
ITEM;100;112;1.13;1.78
ITEM;26;756;0.69;378.16
ITEM;408;1;1.03;13.14
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;33;0.65
SKILL;24;1.37
SKILL;65;0.89
SKILL;16;0.60
SKILL;51;1.68
SKILL;229;1.16
SKILL;54;0.71
SKILL;14;1.73
SKILL;44;0.66
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;124;45;735574;CHAT_PILOT#sector_0_station_4.txt#sector_1.txt#Foreman Leswit Jori#npc_ship_data_(pirate_frigate_3)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Foreman Leswit Jori</i></color> over an outstanding warrant in <color='cyan'>Dellis Primeria</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;4;<i>Vismi Zereno</i> of the Financial faction has sent out a warrent for the arrest of <color='yellow'><i>Foreman Leswit Jori</i></color>. Last known sighting of <color='yellow'><i>Foreman Leswit Jori</i></color> was in the area of <color='cyan'>Dellis Primeria</color>. Bring them back alive to the Starbase Corporate Center in the <color='cyan'>Void Starcross</color> system to complete this contract.;56068;18758
