// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomart
STATION;type;Auction Facility
STATION;owner;Leira Kolyitpi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;biomart.png
STATION;filename;sector_60_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-1-2-4-0-9-1-2-2-1-3-0-6-2-0-2-0
STATION;interior_seed;5-2-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;11773.9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.02;npc_ship_data_(battle_utility_1).txt
MERC;6;1.62;npc_ship_data_(excavation_utility_1).txt
MERC;8;1.59;npc_ship_data_(recon_carrier_1).txt
MERC;9;1.60;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;330x142;365626.00;16679.70
ITEM;1451;34;0.83;22862.46
ITEM;1;147;0.62;4.78
ITEM;641;5;0.59;7993.13
ITEM;2265;16;0.71;630360.00
ITEM;163;163;0.87;37.23
ITEM;302;18;0.89;43.38
ITEM;153;195;1.11;17.17
ITEM;167;86;0.59;41.96
ITEM;169;175;0.68;52.52
ITEM;40;26;1.08;25.71
ITEM;50;29;1.21;47.72
ITEM;1520;16;0.71;15450.00
ITEM;1620;15;0.76;24675.00
ITEM;1530;3;1.10;29062.50
ITEM;1750;13;0.71;30900.00
ITEM;1580;13;1.12;33110.00
ITEM;620;6;1.24;9117.50
ITEM;1007;18;0.63;5332.25
ITEM;1111;5;0.83;6872.25
ITEM;1171;16;1.12;9933.00
ITEM;2101;1;0.65;24937.50
ITEM;1540;5;1.20;29037.50
ITEM;1161;16;0.53;4562.25
ITEM;1009;18;1.18;10437.00
ITEM;1055;7;0.83;6247.50
ITEM;2119;78;0.74;28087.50
ITEM;1615;6;0.94;19047.50
ITEM;1560;8;0.75;21937.50
ITEM;75;88;0.96;191.72
ITEM;1059;16;0.91;8169.00
ITEM;2131;3;0.89;40005.00
ITEM;727;38;1.20;18937.50
ITEM;406;2;0.58;0.71
ITEM;403;8;1.01;1.18
ITEM;101;271;1.17;2.22
ITEM;168;123;1.08;29.64
ITEM;404;19;1.14;1.32
ITEM;300;1;1.05;110.75
ITEM;301;6;0.64;17.77
ITEM;332;0;1.26;4612.30
ITEM;661;3;0.61;8238.13
ITEM;218;30;0.67;231.85
ITEM;660;6;1.01;7507.50
ITEM;2386;3;0.59;2418.17
ITEM;2190;15;1.25;1230469.00
ITEM;738;17;1.25;1328906.00
ITEM;151;7;1.10;14.07
ITEM;1052;10;0.68;1633.50
ITEM;1160;12;0.80;1897.50
ITEM;1100;11;1.02;2165.00
ITEM;2112;69;0.93;11910.00
ITEM;1050;2;1.17;2465.00
ITEM;2118;52;0.84;9025.00
ITEM;1054;16;0.56;1494.00
ITEM;2;44;0.77;9.62
ITEM;405;3;0.63;0.76
ITEM;743;13;1.14;198412.50
ITEM;2426;6;0.78;28452.07
ITEM;102;161;0.93;3.09
ITEM;331;0;1.27;359.15
ITEM;1751;12;1.11;93800.00
ITEM;1511;15;0.87;41030.00
ITEM;1651;2;0.88;47125.00
ITEM;621;4;0.98;12770.63
ITEM;1631;4;1.02;54125.00
ITEM;1541;18;1.16;56235.00
ITEM;751;38;0.91;43762.50
ITEM;757;2;0.69;33862.50
ITEM;1551;12;0.97;51625.00
ITEM;1561;15;0.54;32535.00
ITEM;1611;16;0.69;25585.00
ITEM;1501;13;0.67;30765.00
ITEM;1591;4;1.08;45700.00
ITEM;305;8;0.54;140.50
ITEM;2427;19;1.18;46156.39
ITEM;20;193;1.19;26.30
ITEM;304;1;1.08;862.13
ITEM;747;34;0.62;68250.00
ITEM;211;30;0.69;122.57
ITEM;758;5;0.51;57250.00
ITEM;209;28;0.68;100.05
ITEM;1460;9;1.05;27812.50
ITEM;158;126;1.08;26.94
ITEM;155;87;0.75;14.40
ITEM;104;243;0.73;2.96
ITEM;166;16;0.89;55.68
ITEM;672;22;0.77;19980.00
ITEM;678;5;0.85;24637.50
ITEM;214;37;0.69;163.08
ITEM;160;7;1.23;38.78
ITEM;210;30;0.74;118.82
ITEM;2397;6;1.20;9264.23
ITEM;2201;5;0.74;1284000.00
ITEM;212;30;0.70;137.55
ITEM;601;1;0.55;7503.13
ITEM;150;64;1.13;13.12
ITEM;303;17;1.00;971.00
ITEM;407;19;1.21;7.00
ITEM;103;251;1.13;2.58
ITEM;330;0;1.26;2526.77
ITEM;2171;5;1.03;10987040.00
ITEM;165;82;1.17;65.51
ITEM;2110;18;1.25;2166528.00
ITEM;2116;25;1.19;2255440.00
ITEM;213;28;0.68;147.36
ITEM;600;2;1.02;7577.50
ITEM;2315;3;0.53;7621790.00
ITEM;2111;71;1.04;6369590.00
ITEM;2117;72;1.16;7704959.00
ITEM;77;25;1.03;1037.02
ITEM;154;67;0.57;27.78
ITEM;114;217;1.20;3.27
ITEM;21;187;0.61;24.01
ITEM;216;25;0.80;226.46
ITEM;703;14;0.57;4427.50
ITEM;217;42;0.79;247.31
ITEM;215;25;0.82;210.58
ITEM;159;1;0.66;34.91
ITEM;710;17;0.70;6100.00
ITEM;1450;10;0.90;10106.25
ITEM;156;37;0.79;16.62
ITEM;640;6;0.56;4357.50
ITEM;162;128;0.66;26.23
ITEM;744;21;1.04;275625.00
ITEM;1300;17;1.08;19993.75
ITEM;333;0;1.26;12446.79
ITEM;100;38;0.79;1.28
ITEM;408;4;0.75;9.83
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;31;1.17
SKILL;47;1.34
SKILL;11;1.41
SKILL;6;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;10;30;410628;DELIVERY#2#1632#sector_58_station_0.txt#sector_56_station_1.txt#null#null#null#null;Dock at CoraVault in <color='cyan'>Lins</color> to deliver a light shipment of <color='yellow'>2</color> <color='yellow'>Advanced Impact Armors</color>;4;<i>Ninejel Sawba</i> runs a Financial shipping company at ValueStar. After having some issues with a transport ship, <color='yellow'>2</color> items of <color='yellow'>Advanced Impact Armors</color> were left behind. Head on over to <color='cyan'>Lins</color> and deliver these <color='yellow'>Advanced Impact Armors</color> to CoraVault.;3900;1000
