// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault Hub
STATION;type;Neural Transceiver Station
STATION;owner;Uelas Rastzepea
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;coravault.png
STATION;filename;sector_65_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-0-0-7-0-2-4-0-4-3-3-4-0-6-7-0-4-0-3-1-3-7-90
STATION;interior_seed;4-7-45-4
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;68018.38
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;0.69;npc_ship_data_(pirate_escort_1).txt
MERC;7;0.62;npc_ship_data_(recon_carrier_1).txt
MERC;9;0.64;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (4) Items ;170x405,170x718,201x1242,204x1064;149268.00;110849.90
SELLORDER;Market Surplus: (2) Items ;202x69,200x40;8873.00;78198.27
ITEM;408;1;0.78;9.99
ITEM;100;16;0.87;1.37
ITEM;2434;2;0.56;28158.19
ITEM;734;9;0.83;218832.80
ITEM;202;46;0.66;63.37
ITEM;640;3;0.82;6057.32
ITEM;156;79;1.03;20.96
ITEM;152;33;0.61;8.72
ITEM;710;12;1.13;9402.65
ITEM;725;18;0.52;8479.97
ITEM;164;70;1.15;19.26
ITEM;207;150;0.25;42.73
ITEM;726;7;1.20;18679.97
ITEM;2123;25;0.57;3231836.00
ITEM;2129;34;1.20;7194785.00
ITEM;2111;5;1.10;6617044.00
ITEM;2309;5;0.95;7644144.00
ITEM;1754;5;1.05;876265.00
ITEM;52;42;1.19;234.52
ITEM;600;1;1.19;8647.32
ITEM;2180;8;0.64;2056850.00
ITEM;2116;8;1.24;2314560.00
ITEM;2128;10;1.23;2105174.00
ITEM;1753;8;1.05;438132.50
ITEM;170;42;0.78;55.71
ITEM;103;55;0.87;1.98
ITEM;407;8;1.03;5.91
ITEM;206;150;0.25;38.85
ITEM;150;58;0.58;6.88
ITEM;728;19;0.52;8479.97
ITEM;157;36;0.58;13.41
ITEM;750;4;1.08;16879.97
ITEM;672;11;0.94;23647.95
ITEM;352;7;1.05;12306.33
ITEM;350;0;2.50;20748.04
ITEM;203;44;0.83;86.51
ITEM;155;4;0.73;13.74
ITEM;158;80;1.14;27.95
ITEM;1460;2;1.21;31383.28
ITEM;690;16;0.54;4097.32
ITEM;692;10;0.58;3751.99
ITEM;701;4;0.92;8687.98
ITEM;712;2;0.83;63023.85
ITEM;2396;7;0.80;5639.21
ITEM;742;3;0.54;58533.13
ITEM;20;79;1.19;25.94
ITEM;2427;4;0.74;29173.49
ITEM;2269;2;1.09;517711.10
ITEM;2120;44;0.76;98653.08
ITEM;2126;28;1.11;155680.90
ITEM;2284;1;1.03;645198.80
ITEM;1751;0;2.50;254533.10
ITEM;741;17;0.71;33989.91
ITEM;759;13;0.63;111429.70
ITEM;405;9;0.73;0.85
ITEM;1054;6;1.11;2772.80
ITEM;1400;9;1.23;5101.33
ITEM;1050;6;1.01;2110.66
ITEM;2112;47;0.51;6663.98
ITEM;1003;2;0.68;1740.80
ITEM;1100;9;0.71;1510.66
ITEM;1160;8;0.67;1573.73
ITEM;1200;4;1.25;5181.33
ITEM;1052;7;1.18;2695.73
ITEM;1002;2;0.71;1510.66
ITEM;1170;1;0.51;1332.80
ITEM;1110;8;1.10;2519.73
ITEM;1001;6;0.94;2167.73
ITEM;204;26;0.77;88.63
ITEM;151;40;0.54;7.08
ITEM;702;13;0.50;5453.31
ITEM;1476;12;0.25;22149.84
ITEM;1477;26;0.76;150999.60
ITEM;1478;12;0.74;368124.00
ITEM;1475;12;0.75;932028.80
ITEM;660;1;0.73;5427.32
ITEM;301;2;0.71;19.11
ITEM;300;2;0.73;77.18
ITEM;200;33;0.65;51.63
ITEM;404;3;1.04;1.19
ITEM;168;21;1.24;33.34
ITEM;101;81;0.86;1.63
ITEM;205;33;0.81;102.28
ITEM;403;9;1.04;1.19
ITEM;406;9;0.98;1.13
ITEM;353;0;2.50;13903.08
ITEM;208;32;0.73;123.40
ITEM;1590;5;0.84;17706.63
ITEM;2339;1;0.52;8479.97
ITEM;75;2;1.08;211.00
ITEM;1500;4;1.13;24681.96
ITEM;1610;2;0.70;12670.63
ITEM;736;5;0.55;148832.80
ITEM;1560;9;0.70;20123.94
ITEM;201;47;0.65;56.79
ITEM;1615;1;0.60;12261.29
ITEM;2119;19;0.93;34136.59
ITEM;1540;6;0.74;18062.62
ITEM;1630;2;1.05;27383.28
ITEM;620;3;0.57;4307.32
ITEM;1510;9;0.62;14637.29
ITEM;1580;4;1.14;33189.27
ITEM;1570;1;0.75;20678.61
ITEM;1640;6;0.95;24883.28
ITEM;2319;2;0.53;2140446.00
ITEM;1750;4;1.09;56983.37
ITEM;1530;5;0.67;17883.28
ITEM;1620;8;0.97;30459.94
ITEM;50;21;0.97;38.07
ITEM;2361;1;0.94;696.63
ITEM;153;18;1.16;17.65
ITEM;351;0;2.50;17629.35
ITEM;302;8;0.55;27.11
ITEM;2210;7;1.08;1134334.00
ITEM;737;9;1.03;604873.80
ITEM;2127;16;0.52;266624.30
ITEM;2250;4;1.08;1512445.00
ITEM;1752;0;2.50;509066.30
ITEM;2220;6;1.10;1099518.00
ITEM;1;72;0.87;6.41
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;61;1.37
SKILL;35;1.00
SKILL;56;0.57
SKILL;13;1.32
SKILL;63;1.80
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;121;45;764566;CHAT_PILOT#sector_16_station_0.txt#sector_0.txt#Foreman Bazam Madtim#npc_ship_data_(recon_frigate_3)#11#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Foreman Bazam Madtim</i></color> about his debt in <color='cyan'>Void Starcross</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;5;<i>Tajnortis Tironou</i> has requested that debt be collected from <color='yellow'><i>Foreman Bazam Madtim</i></color>. After 3 payments to the Commerce faction for transport fines, <color='yellow'><i>Foreman Bazam Madtim</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Foreman Bazam Madtim</i></color> was in the vicinity of the <color='cyan'>Void Starcross</color> system. Have a chat with them, collect the debt, and return to the Rendo Labs in the <color='cyan'>Entropy</color> system to deliver the payment.;12597;5250
MISSION;31;45;920602;TRANSPORT#4#1581#sector_16_station_0.txt#sector_5_station_0.txt#null#null#null#null;Head to Rendo Labs in <color='cyan'>Entropy</color>, pick up <color='yellow'>4</color> <color='yellow'>Improved Energy Generators</color> for a light shipment to Mazu Starship in <color='cyan'>Enoch Estates</color>;3;The Trade faction advisor <i>Porttim Yigoretad</i> has placed a light shipment transport order to move <color='yellow'>4</color> <color='yellow'>Improved Energy Generators</color> from the Rendo Labs storage in <color='cyan'>Entropy</color>, to the Mazu Starship in <color='cyan'>Enoch Estates</color>.;19698;6892
MISSION;70;45;597329;ESCORT#sector_61_station_0.txt#sector_95_station_1.txt#Commander Zaemos Qodemibin#npc_ship_data_(ATC_Gladiator)#12#null#null#null;Escort <color='yellow'><i>Commander Zaemos Qodemibin</i></color> from Transporteers Hub in <color='cyan'>Ambervellis Drea</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;5;A wealthy council member from the Commerce faction has set up an escort for his oldest son <color='yellow'><i>Commander Zaemos Qodemibin</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Dornah Jaliswe</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Commander Zaemos Qodemibin</i></color> at the Transporteers Hub station before heading over to Acrondia Hub.;7200;2500
