// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Kith
STATION;type;Ordinance Storage Facility
STATION;owner;Fegalefae Sizilswhea
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;kith.png
STATION;filename;sector_82_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-6-1-2-4-0-5-1-5-0-1-4-1-3-9-0-5-1-3-3-0-5-90
STATION;interior_seed;3-8-15-8
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.01;npc_ship_data_(excavation_escort_1).txt
MERC;7;1.73;npc_ship_data_(battle_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1065;1;1.01
ITEM;1004;40;0.93
ITEM;1001;38;1.24
ITEM;1110;18;1.12
ITEM;1102;9;0.76
ITEM;1404;33;0.56
ITEM;1300;19;0.54
ITEM;1150;27;0.52
ITEM;1174;41;0.77
ITEM;1125;53;1.16
ITEM;1025;6;0.65
ITEM;1120;28;0.72
ITEM;1451;8;0.75
ITEM;1124;15;0.84
ITEM;1460;17;0.88
ITEM;1210;22;1.16
ITEM;1172;38;0.72
ITEM;1006;10;0.88
ITEM;1020;17;0.63
ITEM;1051;25;0.71
ITEM;1123;24;0.59
ITEM;1163;34;0.53
ITEM;1200;56;1.12
ITEM;1060;42;1.10
ITEM;1164;44;0.87
ITEM;1401;14;0.96
ITEM;1160;8;0.67
ITEM;1524;12;0.99
ITEM;1563;51;1.18
ITEM;1501;35;0.94
ITEM;1762;13;1.12
ITEM;1502;52;1.19
ITEM;1561;26;1.06
ITEM;1753;34;0.54
ITEM;1752;53;1.09
ITEM;1560;10;0.77
ITEM;1633;3;1.07
ITEM;1601;8;0.55
ITEM;1634;42;1.04
ITEM;1617;44;1.05
ITEM;1550;40;0.99
ITEM;1702;44;0.55
ITEM;1540;47;0.82
ITEM;1760;50;1.02
ITEM;1591;33;0.60
ITEM;1777;4;0.55
ITEM;1620;25;1.10
ITEM;1531;52;0.95
ITEM;2111;258;1.22
ITEM;51;32;0.66
ITEM;2126;214;0.70
ITEM;50;157;0.75
ITEM;2650;127;0.93
ITEM;2123;214;0.70
ITEM;2652;114;0.88
ITEM;77;100;0.60
ITEM;2115;133;0.70
ITEM;61;130;1.22
ITEM;2124;217;0.82
ITEM;2120;62;0.84
ITEM;42;137;0.91
ITEM;40;59;1.03
ITEM;2113;229;0.51
ITEM;63;66;0.73
ITEM;2117;64;0.96
ITEM;60;192;0.92
ITEM;2121;1;0.58
ITEM;2122;280;1.03
ITEM;53;201;0.72
ITEM;2114;79;0.82
ITEM;2129;246;0.79
ITEM;2125;201;0.89
ITEM;70;255;0.62
ITEM;737;18;0.98
ITEM;720;78;1.07
ITEM;751;112;0.57
ITEM;677;118;0.88
ITEM;758;98;0.55
ITEM;754;4;1.10
ITEM;755;54;0.95
ITEM;731;1;0.84
ITEM;740;19;0.54
ITEM;712;43;1.11
ITEM;675;12;0.54
ITEM;750;94;1.18
