// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;SimKitten
STATION;type;Tavern Station
STATION;owner;Bruwhikadd Xenbue
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;simkitten.png
STATION;filename;sector_83_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-6-9-1-2-1-7-9-0-9-0-6-4-1-9-90
STATION;interior_seed;4-1-30-1
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.47;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.08;npc_ship_data_(battle_cruiser_1).txt
MERC;4;1.90;npc_ship_data_(transport_cruiser_1).txt
MERC;9;1.36;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Wanted (1) Items ;1059x15;139181;134318.00


ITEM;1060;15;1.09;0
ITEM;1013;7;1.07;0
ITEM;1161;32;0.53;0
ITEM;1300;17;0.67;0
ITEM;1152;27;0.65;0
ITEM;1014;2;0.90;0
ITEM;1153;6;1.05;0
ITEM;1069;39;1.01;0
ITEM;1403;12;1.09;0
ITEM;1205;12;0.79;0
ITEM;1400;25;0.90;0
ITEM;1460;14;1.21;0
ITEM;1163;20;0.58;0
ITEM;1008;20;0.54;0
ITEM;1055;29;0.73;0
ITEM;1020;39;1.07;0
ITEM;1201;31;0.57;0
ITEM;1062;5;0.52;0
ITEM;1113;19;0.94;0
ITEM;1532;1;0.55;0
ITEM;1631;14;0.52;38172.84
ITEM;1752;34;0.77;38172.84
ITEM;1632;20;0.87;121096.5
ITEM;1572;15;1.12;121096.5
ITEM;1581;38;0.78;48994.2
ITEM;1643;28;1.02;48994.2
ITEM;1580;16;0.69;22129.44
ITEM;1583;26;1.16;281716
ITEM;1610;22;0.95;281716
ITEM;1552;9;1.13;281716
ITEM;1603;2;1.05;281716
ITEM;1511;1;0.77;38164.46
ITEM;1731;19;1.10;29921.29
ITEM;1540;3;0.58;15469.37
ITEM;1522;11;0.76;68391.11
ITEM;2118;135;0.67;68391.11
ITEM;63;43;0.85;68391.11
ITEM;2122;189;0.80;1346654
ITEM;76;127;0.81;380.6307
ITEM;2121;2;0.80;380.6307
ITEM;62;86;0.68;443.6134
ITEM;2131;141;1.15;443.6134
ITEM;2117;3;1.22;443.6134
ITEM;70;199;1.19;443.6134
ITEM;2129;74;1.21;443.6134
ITEM;50;119;0.72;443.6134
ITEM;77;125;1.16;443.6134
ITEM;41;44;1.06;58.30318
