// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Scrapdogs
STATION;type;Civil League
STATION;owner;Timwhilei Jaliszaesiv
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;scrapdogs.png
STATION;filename;sector_85_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-3-4-2-1-0-1-7-3-2-1-6-7-2-7-90
STATION;interior_seed;5-1-0-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.09;npc_ship_data_(transport_carrier_1).txt
MERC;3;0.63;npc_ship_data_(excavation_escort_1).txt
MERC;6;1.35;npc_ship_data_(recon_shuttle_1).txt
MERC;5;1.97;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (3) Items ;117x327,111x144,106x123;20600;104083.10
SELLORDER;Market Supply: (2) Items ;105x822,112x487;9314;73264.13
SELLORDER;Market Production: (2) Items ;100x373,304x660;126759;83516.13
SELLORDER;Market Supply: (1) Items ;107x580;4631;76500.13

SELLORDER;Market Goods: (1) Items ;106x33;123;40871.54
ITEM;1007;5;0.95;0
ITEM;1300;12;0.83;0
ITEM;1170;5;1.19;0
ITEM;1120;14;0.63;0
ITEM;1151;14;0.68;0
ITEM;1111;18;1.22;0
ITEM;1150;16;1.16;0
ITEM;1161;14;0.71;0
ITEM;1003;5;1.22;0
ITEM;1110;11;0.64;1622.826
ITEM;1200;2;0.64;1622.826
ITEM;1530;5;1.03;1622.826
ITEM;1561;1;0.98;58027.91
ITEM;1616;1;0.96;50190.8
ITEM;1600;2;0.63;50190.8
ITEM;1640;13;0.98;26884.63
ITEM;1511;1;0.86;26884.63
ITEM;1531;9;0.56;32796.95
ITEM;1560;11;0.65;32796.95
ITEM;1590;2;0.66;32796.95
ITEM;1570;9;0.75;21935
ITEM;1650;18;1.09;21935
ITEM;1540;15;0.83;21935
ITEM;1631;8;1.08;21935
ITEM;42;92;0.84;21935
ITEM;62;79;0.71;21935
ITEM;2126;73;1.11;21935
ITEM;2116;85;0.83;21935
ITEM;43;27;0.76;21935
ITEM;2124;43;0.86;21935
ITEM;2111;31;0.73;21935
ITEM;2119;35;0.59;23891.52
ITEM;63;73;1.17;23891.52
ITEM;60;92;1.08;23891.52
ITEM;52;45;0.63;137.9371
ITEM;2651;5;0.99;137.9371
ITEM;78;34;0.83;137.9371
ITEM;2115;66;1.19;137.9371
ITEM;2122;43;0.67;137.9371
ITEM;77;95;0.76;137.9371
ITEM;41;30;0.65;137.9371
ITEM;40;23;0.54;14.22532
ITEM;2113;34;0.98;14.22532
ITEM;732;24;1.06;14.22532
ITEM;743;26;1.18;14.22532
ITEM;757;20;0.70;14.22532
ITEM;671;4;0.71;14.22532
ITEM;744;38;0.58;14.22532
ITEM;720;32;0.76;14.22532
