PLAYER;+QTY;382;10;13.8037;Biomate University;Void Starcross;0h 17m 0s ;1020.344
NPC;+STOCK;603;192;6.509129;Starbase Corporate Center;Void Starcross;1h 25m 20s ;5120.805
NPC;-QTY;227;-184;6.740349;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;+STOCK;575;193;13.23081;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;815;232;11.24556;Lammassu Financial;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;984;248;6.733256;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;430;203;6.187061;Starbase Corporate Center;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;950;203;10.8749;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;707;-243;11.03622;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;242;0;10.94335;Valuestar Hub;Jelumus;6h 8m 59s ;22139.34
NPC;+PRICE;575;0;13.82986;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;736;0;7.669338;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;-PRICE;245;0;9.415605;Gek Mining;Alias Outpost;7h 2m 38s ;25358.83
NPC;-PRICE;50;0;8.119062;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;+LOCAL;250;21;12.64744;Kith;Kidd Overture;11h 23m 51s ;41031.56
NPC;+PRICE;1099;0;10.32068;ValueStar;Hunu;11h 50m 16s ;42616.5
NPC;+STOCK;914;178;7.184905;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;745;201;8.350567;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;+STOCK;819;244;13.63571;Biomate University;Void Starcross;12h 15m 59s ;44159.89
