NPC;+PRICE;8;0;26987.98;Ferce;Allabentoris;1h 15m 16s ;4516.316
NPC;+STOCK;19;8;36159.6;Starbase Corporate Center;Void Starcross;1h 25m 20s ;5120.805
NPC;-LOCAL;1;0;33075;CoraVault;Lins;2h 29m 50s ;8990.045
NPC;+STOCK;12;11;39647.58;CoraVault;Lins;2h 47m 33s ;10053.19
NPC;-LOCAL;0;0;37778.99;CoraVault;Lins;2h 47m 52s ;10072.21
NPC;-QTY;5;-6;37176.76;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;-QTY;0;0;46688.58;CoraVault;Lins;5h 30m 34s ;19834.27
NPC;+STOCK;82;8;17068.51;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;105;8;34863.25;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;95;-10;32912.05;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;0;99;21061.5;Valuestar Hub;Jelumus;6h 8m 59s ;22139.34
NPC;-LOCAL;0;0;73500;OmniTrust;Ponze;6h 16m 48s ;22608.67
NPC;+PRICE;82;0;17547.98;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;-LOCAL;20;20;33075;OmniTrust;Ponze;8h 44m 50s ;31490.25
NPC;-LOCAL;18;0;33075;OmniTrust;Ponze;8h 49m 53s ;31793.95
NPC;-LOCAL;0;0;73500;CoraVault;Lins;8h 53m 52s ;32032.93
NPC;+STOCK;91;9;17122.49;Biomate University;Void Starcross;12h 15m 59s ;44159.89
NPC;-LOCAL;0;0;73500;OmniTrust;Ponze;15h 2m 26s ;54146.52
NPC;-LOCAL;0;0;73500;OmniTrust;Ponze;15h 3m 30s ;54210.23
NPC;-LOCAL;0;0;73500;CoraVault;Lins;15h 28m 16s ;55696.6
