NPC;+STOCK;83;9;715803.3;Medicore University;Cliffs of Drameria;4h 11m 54s ;15114.28
NPC;+STOCK;72;8;692048.2;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;100;9;467025.4;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;93;11;611004.6;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;47;-8;426894.7;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;-PRICE;26;0;742492.5;Gunstellar;Adrenal;6h 18m 15s ;22695.92
NPC;+PRICE;72;0;701964.6;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;82;0;662249.7;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;BAL;18;-8;739130.9;Holosynth Industries;Rats Of Mortalis;6h 48m 22s ;24502.02
NPC;+LOCAL;12;19;208000;StarGypsy Warehouse;Void Starcross;9h 45m 27s ;35127.06
NPC;+STOCK;20;8;217012;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;+LOCAL;12;16;208000;StarGypsy Warehouse;Void Starcross;12h 11m 43s ;43903.85
NPC;+STOCK;81;9;681094.6;Biomate University;Void Starcross;12h 15m 59s ;44159.89
