NPC;+QTY;8;3;13980.31;Crystalis Broadcasting;Jermicus;1h 7m 10s ;4030.626
NPC;+STOCK;11;3;7654.981;Starbase Corporate Center;Void Starcross;1h 25m 20s ;5120.805
NPC;-QTY;6;-2;8262.816;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;-QTY;11;-3;9437.859;CoraVault;Lins;5h 30m 34s ;19834.27
NPC;+STOCK;26;3;12315.76;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;8;4;9773.99;Lammassu Financial;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;16;3;14800.02;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;9;3;7812.17;Starbase Corporate Center;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;8;4;11318.01;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;5;-3;11741.67;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;26;0;12669.26;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;24;0;15881.09;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;11;0;9802.618;CoraVault;Lins;6h 48m 22s ;24502.02
NPC;-QTY;0;-1;11548.5;Daemon Ammunitions;Starfort Ramos;7h 0m 13s ;25213.58
NPC;-QTY;25;-3;14827.86;Valuestar Hub;Jelumus;7h 45m 51s ;27951.11
