PLAYER;+QTY;31;1;5866;Biomate University;Void Starcross;0h 17m 6s ;1026.35
NPC;+LOCAL;25;5;3472.673;Proctors Center;Void Starcross;0h 36m 54s ;2214.955
NPC;+LOCAL;25;9;2275;StarShepards Headquarters;Void Starcross;0h 42m 35s ;2555.411
NPC;-LOCAL;23;0;8575;Daemon Ammunitions;Starfort Ramos;0h 53m 52s ;3232.529
NPC;+LOCAL;25;2;2275;StarShepards Headquarters;Void Starcross;1h 7m 22s ;4042.726
NPC;+LOCAL;25;1;2275;StarShepards Headquarters;Void Starcross;1h 8m 12s ;4092.04
NPC;+LOCAL;25;4;2275;StarShepards Headquarters;Void Starcross;1h 30m 9s ;5409.233
NPC;+LOCAL;25;13;2275;StarShepards Headquarters;Void Starcross;3h 9m 51s ;11391.85
NPC;-LOCAL;27;27;7875;Daemon Ammunitions;Starfort Ramos;3h 24m 55s ;12295.62
NPC;-LOCAL;0;0;12411.5;Daemon Ammunitions;Starfort Ramos;4h 9m 18s ;14958.07
NPC;+LOCAL;25;41;2275;Lammassu Financial;Void Starcross;4h 10m 49s ;15049.17
NPC;+LOCAL;25;18;2275;StarShepards Headquarters;Void Starcross;4h 13m 42s ;15222.47
NPC;+LOCAL;25;2;2275;StarShepards Headquarters;Void Starcross;4h 22m 6s ;15726.5
NPC;+LOCAL;23;1;5120.043;Valuestar Hub;Jelumus;4h 28m 10s ;16090.3
NPC;+LOCAL;25;4;2275;StarShepards Headquarters;Void Starcross;4h 31m 52s ;16312.13
NPC;+LOCAL;25;2;4891.585;Valuestar Hub;Jelumus;4h 35m 3s ;16503.93
NPC;+LOCAL;25;2;4622.834;Valuestar Hub;Jelumus;4h 41m 17s ;16877.19
NPC;+LOCAL;25;4;2275;StarShepards Headquarters;Void Starcross;4h 45m 46s ;17146.1
NPC;+LOCAL;25;11;2797.229;Valuestar Hub;Jelumus;5h 18m 34s ;19114.57
NPC;+LOCAL;25;3;2275;StarShepards Headquarters;Void Starcross;5h 36m 35s ;20195.18
