[s:30][c:yellow]StarShepards Headquarters[/c][/s]
Worship Center
Temple Of the Void
Temple
[c:lime]Dock fee 25[/c]
Timestamp: 51558.64
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Basic Warp Drive
Advanced Warp Drive
Prototype Warp Drive
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic ECM Resistance Field
Advanced ECM Resistance Field
Prototype ECM Resistance Field
Basic ECM Power Boost
Advanced ECM Power Boost Field
Prototype ECM Power Boost Field
Basic ECM Energy Coil
Advanced ECM Energy Coil
Prototype ECM Energy Coil
Basic ECM Range Lock
Advanced ECM Range Lock
Prototype ECM Range Lock

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (378) x Chocolate Bars
Fulfill order for [c:lime]1,086 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  623 - z24
Adamyte Ore  912 - z8
Advanced 20mm  173 - z55
Advanced 60mm  112 - z68
Advanced Drone Command Bay  56 - z141,890
Advanced ECM Energy Coil  29 - z835,158
Advanced ECM Power Boost Field  72 - z922,279
Advanced ECM Range Lock  78 - z784,542
Advanced ECM Range Lock (Doc)  9 - z7,987,345
Advanced Energy Capacitor  76 - z108,869
Advanced Energy Generator  33 - z135,163
Advanced Engine Core  35 - z69,240
Advanced Engine Core (Doc)  7 - z894,234
Advanced Filter  7 - z27,801
Advanced Heavy Laser  30 - z80,819
Advanced Missile Launcher (Doc)  449 - z635,190
Advanced Ore Harvester  59 - z114,358
Advanced Regulator  24 - z15,763
Advanced Rocket Launcher (Doc)  249 - z487,408
Advanced Scan Booster  22 - z54,478
Advanced Shield Booster  60 - z129,681
Advanced Torpedo   193 - z488
Advanced Torpedo Launcher  62 - z106,688
Advanced Warp Drive  12 - z892,031
Advanced Warp Drive Fuel  9 - z6,225
Advanced Waste Unit  28 - z234,622
Aged Wine  66 - z198
AI Interface Drive  349 - z1,729
Aluminium Plates  339 - z250
Aluminium Shard  482 - z30
Ammunition Loader  118 - z1,210
Antenna Array  886 - z1,689
Anti-Freeze  48 - z49
Assembly Tools  43 - z6,576
Assorted Springs  538 - z53
Ball Bearings  472 - z80
Basic 60mm  225 - z24
Basic Armor Exterior  52 - z30,204
