[s:30][c:yellow]Proctors Center[/c][/s]
Patrol Annex Station
Kandace
Law
[c:lime]Dock fee 25[/c]
Timestamp: 53960.88
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Generic Torpedo Launcher
Basic Torpedo Launcher
Improved Torpedo Launcher
Advanced Torpedo Launcher
Premium Torpedo Launcher
Prototype Torpedo Launcher
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Zai Ore  3878 - z703
Xenox Ore  724 - z480
Xenox Extractor  43 - z4,350,027
Wrapped Box  3 - z11
Weapons Component  1872 - z602
Weapon Systems Package  115 - z8,808
Water  67 - z2
Waste Processor  14 - z18,815
Waste Burner  50 - z44,930
UV Filter  32 - z72,061
Uranium  1339 - z101
Undamaged Part  123 - z78
Transport Units  43 - z10,829
Torim Ore  4247 - z57
Titanyte Plates  353 - z1,156
Titanyte Beams (Doc)  28 - z9,106
Titanyte  542 - z65
Titan Mining Drone  66 - z214,406
Titan Defense Drone  86 - z174,406
Thermex Controller  31 - z393,243
Thermal Systems Package  532 - z4,728
Thermal Generex  10 - z128,406
Thermal Controller  33 - z4,253
Textile Fabrics  510 - z1,445
Temperature Genie  47 - z15,599
Synth Filter  36 - z91,641
Surf-n-Turf  16 - z1,096,550
Steelium Pipes  479 - z14
Steelium  175 - z43
Sporting Equipment  943 - z2,055
Spaghetti  25 - z682,017
SolarClean Filter  32 - z194,551
Small Web Field  80 - z5,901
Small Tractor Drone  197 - z13,014
Small Salvage Drone  94 - z4,786
Small Motor  375 - z361
Small Mining Drone  22 - z7,066
Small Microchip  774 - z673
Small LS Bomb  40 - z7,823
Small Life Support Pack  25 - z1,738
Small Heatsink  347 - z165
Small Defense Drone (Doc)  33 - z42,305
Small Combat Drone (Doc)  3 - z41,905
Small Combat Drone  36 - z6,766
Silveryte  896 - z80
Silicon  547 - z8
Sensor Array  302 - z4,373
Scrap Part  4620 - z27
Salt Crystal  738 - z3
Recon Scanner Drone  54 - z13,014
Radar System  164 - z4,447
