[s:30][c:yellow]Quantex[/c][/s]
Production Factory
Binohom Xadnortisfall
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 25456.19
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis
Generic Light Turret
Prototype Light Turret
Basic Light Turret
Improved Light Turret
Advanced Light Turret
Premium Light Turret

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Supply: (1) Items 
 (231) x Prototype 20mm
Buy items for [c:lime]12,799 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  10 - z9
Advanced 20mm  128 - z40
Advanced 60mm  134 - z63
Advanced Cargo Expansion  20 - z65,273
Advanced ECM Power Boost Field (Doc)  26 - z8,840,978
Advanced Energy Armor (Doc)  17 - z843,281
Advanced Energy Capacitor  12 - z63,724
Advanced Engine Core  4 - z65,361
Advanced Explosive Armor (Doc)  9 - z939,281
Advanced Filter  8 - z24,712
Advanced Impact Armor  6 - z90,273
Advanced Impact Armor (Doc)  29 - z843,281
Advanced Missile  48 - z201
Advanced Missile Launcher (Doc)  146 - z425,752
Advanced Regulator  3 - z8,609
Advanced Shield Booster  1 - z132,273
Advanced Thruster  18 - z89,270
Advanced Torpedo   2500 - z145
Aged Wine  2 - z93
Aluminium Rivets  151 - z48
Anti-Freeze  76 - z52
Assorted Gaskets  65 - z19
Basic 20mm  2500 - z8
Basic 20mm (Doc)  5 - z9,942
Basic 60mm  129 - z35
Basic Beam Energy Mod (Doc)  29 - z342,820
Basic Charged Cell  62 - z153
Basic Drone Command Bay (Doc)  29 - z423,713
Basic Energy Capacitor  12 - z17,231
Basic Energy Generator  16 - z28,917
Basic Filter  1 - z6,739
Basic Food Rations  23 - z68
Basic Heavy Laser  26 - z9,569
Basic Missile   2500 - z39
Basic Missile Launcher  11 - z9,800
Basic Missile Launcher (Doc)  79 - z35,910
Basic Ore Harvester (Doc)  18 - z84,891
Basic Plasma Cannon  25 - z5,257
Basic Projectile Energy Mod (Doc)  25 - z183,820
Basic Pulse Laser  15 - z5,269
Basic Rocket Launcher  15 - z9,119
Basic Salvage Collector  6 - z14,738
Basic Scan Booster  20 - z14,682
Basic Sensor  256 - z69
Basic Thruster  9 - z27,147
Basic Torpedo   101 - z239
Basic Turn Thrust  17 - z20,055
Basic Warp Drive Fuel  248 - z1,220
Basic Warp Drive Fuel (Doc)  29 - z21,004
Bottled Whiskey  8 - z99
Calcium  409 - z3
Candy Cane  22 - z1
Candy Corn  2 - z1
Capacitors  225 - z138
Carbon  417 - z2
Carbon Fiber  240 - z20
Chocolate Bars  15 - z1
Circuit Board  17 - z69
Cleaning Chemicals  11 - z128
Colored Dye  24 - z18
Computer Component  7 - z2,094
Containment Unit  10 - z11,059
Disposables  9 - z4,709
ECM Sensors Jammer (Doc)  8 - z1,146,314
Electrical Regulator (Doc)  21 - z17,743
Fasteners  278 - z8
Fiber Optic Cables  157 - z120
Generic Heavy Cannon  11 - z2,074
Generic Missile Launcher  11 - z1,480
Generic Missile Launcher (Doc)  106 - z8,390
Generic Pulse Laser  5 - z1,245
Generic Rocket Launcher  28 - z1,585
Generic Rocket Launcher (Doc)  45 - z10,627
Generic Salvage Collector  7 - z4,251
Glass Panels (Doc)  24 - z4,990
Gourmet Food Rations  14 - z227
Gradeon Ore  182 - z11
Gummy Bears  8 - z1
Ham Sandwich  10 - z21,282
Heavy Armor Bomb  28 - z107,142
Heavy Combat Drone  22 - z198,451
Heavy Defense Drone  26 - z99,451
Heavy Mining Drone  36 - z119,251
Heavy Repair Drone  10 - z205,051
Heavy Shield Charge  25 - z47,422
Hull Chassis  21 - z3,557
Hydrogen  90 - z3
Improved Armor Exterior  7 - z55,364
Improved Cargo Expansion  23 - z49,637
Improved Combat Drone  58 - z33,423
Improved Drone Command Bay (Doc)  9 - z876,225
Improved Engine Core  22 - z48,080
Improved Filter  13 - z7,506
Improved Light Turret  27 - z35,636
Improved Mass Reduction  24 - z53,486
Improved Mining Drone  54 - z46,023
Improved Mining Drone (Doc)  29 - z150,838
Improved Missile Launcher  11 - z17,591
Improved Missile Launcher (Doc)  97 - z156,679
Improved Pulse Laser  10 - z23,587
Improved Shield Booster  29 - z38,137
Improved Targeting System (Doc)  23 - z470,316
Improved Turn Thrust  24 - z25,709
Interior Lighting  3 - z239
Junk Part  15 - z30
Kitchen Appliances  19 - z659
Large Defense Drone  26 - z117,273
Large Mining Drone  23 - z92,273
Large Salvage Drone  59 - z65,273
Lidar System (Doc)  24 - z57,208
Light Armor Repair  18 - z9,462
Light Energy Charge  14 - z6,736
Light Shield Charge  14 - z5,199
Liquid Coolant  96 - z21
Lubricant  291 - z15
Magnetic Quartz  377 - z3
Magnetic Regulator (Doc)  2 - z64,412
Mechanical Belts  36 - z78
Mechanical Switch  67 - z64
Medium Combat Drone  39 - z16,241
Medium Defense Drone  8 - z15,941
Medium Salvage Drone  31 - z11,591
Medium Shield Bomb  8 - z34,634
Metal Valve  193 - z43
Micro Leech Drone  50 - z15,791
Noodles  9 - z13,141
Nuts And Bolts  29 - z9
Office Furniture  11 - z1,108
Ornament  11 - z3
Oxygen  346 - z2
Plastic Caps  145 - z54
Plastix Strands  228 - z6
Premium Light Turret  8 - z447,168
Premium Missile Launcher (Doc)  133 - z1,424,105
Premium Rocket Launcher (Doc)  113 - z1,084,553
Protein Bar  10 - z7,369
Prototype 20mm  2500 - z39
Prototype 60mm  2500 - z65
Prototype Heavy Cannon (Doc)  55 - z5,562,108
Prototype Light Turret  8 - z1,500,464
Prototype Missile   2500 - z195
Prototype Missile Launcher (Doc)  82 - z3,424,467
Prototype Rocket Launcher (Doc)  49 - z4,111,068
Prototype Torpedo   49 - z743
Quazor Ore  231 - z16
Recon Scanner Drone  41 - z17,441
Regulator  125 - z183
Rubber Tubing  29 - z30
Salt Crystal  48 - z3
Silicon  421 - z8
Small Combat Drone  25 - z8,056
Small Life Support Pack  38 - z4,114
Small Mining Drone  31 - z4,756
Small Mining Drone (Doc)  24 - z40,909
Small Repair Drone  16 - z7,036
Small Tractor Drone  53 - z13,691
Spotlight  12 - z6,749
Steelium Beam  181 - z17
Steelium Beam (Doc)  4 - z171
Steelium Pipes  166 - z23
Temperature Genie  13 - z25,784
Thermal Controller  4 - z8,699
Thermal Insulation  133 - z41
Thermal Sensor  51 - z116
Thermal Systems Package (Doc)  22 - z60,895
Titan Combat Drone  37 - z158,184
Titan Defense Drone  38 - z300,684
Titan Repair Drone  8 - z258,184
Tractor Beam  8 - z18,238
Undamaged Part  34 - z87
Voltage Regulator (Doc)  25 - z55,017
Waste Processor  7 - z16,137
Water  231 - z2
Weapon Systems Package (Doc)  8 - z50,866
Wrapped Box  25 - z12


<Station University Skills>
Launcher Damage Calibration
Ship Shield Regeneration
Projectile Cycle Mechanics
Ship Cargo Stacker
Salvager Basic Operation
Market Auditor


<Station Missions>
[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Adrenal</color> sector, and return to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Locate and scan the <color='yellow'>Defensive Gun Platform</color> structure in <color='cyan'>Bitcola</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>Improved Armor Exteriors</color> from a <color='yellow'>crate</color> in <color='cyan'>Dorando Corridor</color> sector, drop at Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>32</color> <color='yellow'>Junk Parts</color> at the Daemon Ammunitions station in <color='cyan'>Starfort Ramos</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>Aluminium Shards</color> from a <color='yellow'>crate</color> in <color='cyan'>Jelumus</color> sector, drop at Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Major Ahxa Doelei</i></color> in <color='cyan'>Xenolin</color> and return to Medicore University in <color='cyan'>Cliffs of Drameria</color>

[c:lime]TRANSPORT[/c]
Transport <color='yellow'>234</color> units of <color='yellow'>Dynex Crystals</color> from The Dunes in <color='cyan'>The Dunes of Caliph</color> to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>

[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Senator Whaam Maqelom</i></color> in <color='cyan'>Bitcola</color> and return to Gemini Mining in <color='cyan'>Jala</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Hunu</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>130</color>



<Station Ships>
BDN-1 SV Filament / Dreadnought    (Battle)
ECA-1 Support Cruiser / Cruiser    (Support)
SE-1 Prophet / Frigate    (Assault)
TCA-1 Mule / Utility    (Support)
RCA-1 Correlator / Destroyer    (Support)
