[s:30][c:yellow]Oro Omniplex Center[/c][/s]
Recon Sentry
Hasrastast Belbar
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 13622.23
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Active Scanner
Basic Thruster
Improved Thruster
Advanced Thruster
Premium Thruster
Prototype Thruster
Basic Engine Core
Improved Engine Core
Advanced Engine Core
Premium Engine Core
Prototype Engine Core
Basic Afterburner
Improved Afterburner
Advanced Afterburner
Premium Afterburner
Prototype Afterburner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Want to acquire (1) Items 
 (6) x Ammunition Loader
Fulfill order for [c:lime]-65 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Active Scanner  11 - z38,037
Adamyte Ore  233 - z6
Advanced 20mm  130 - z42
Advanced 60mm  16 - z112
Advanced ECM Power Boost Field (Doc)  11 - z9,215,521
Advanced Energy Armor  23 - z97,369
Advanced Energy Generator (Doc)  3 - z1,281,756
Advanced Filter  3 - z21,303
Advanced Impact Armor  8 - z62,369
Advanced Impact Armor (Doc)  28 - z1,456,425
Advanced Missile  293 - z310
Advanced Missile Launcher (Doc)  117 - z294,147
Advanced Plasma Cannon (Doc)  7 - z1,181,350
Advanced Railgun (Doc)  67 - z490,672
Advanced Regulator  2 - z14,378
Advanced Rocket Launcher (Doc)  65 - z366,019
Advanced Shield Generator  5 - z128,918
Advanced Torpedo   308 - z335
Advanced Torpedo (Doc)  15 - z57,277
Aged Wine  20 - z85
Anti-Freeze  25 - z35
Artificial Gravity Generator (Doc)  8 - z67,750
Ball Bearings  80 - z72
Basic 20mm  36 - z17
Basic 60mm  95 - z29
Basic Armor Exterior  25 - z19,611
Basic Charged Cell  28 - z89
Basic ECM Range Lock (Doc)  29 - z3,771,295
Basic Explosive Armor  14 - z24,842
Basic Filter  7 - z4,996
Basic Food Rations  22 - z67
Basic Laser Impact Mod (Doc)  7 - z241,106
Basic Light Turret  16 - z8,706
Basic Missile   38 - z77
Basic Missile Launcher (Doc)  95 - z39,797
Basic Ore Harvester  19 - z17,132
Basic Ore Harvester (Doc)  26 - z54,858
Basic Projectile Energy Mod (Doc)  25 - z346,106
Basic Railgun (Doc)  128 - z38,795
Basic Salvage Collector  10 - z16,292
Basic Scan Booster  16 - z24,390
Basic Scan Emitter  16 - z17,346
Basic Sensor  208 - z110
Basic Shield Generator  1 - z28,450
Basic Skill Manual  42 - z255,922
Basic Torpedo   118 - z210
Basic Torpedo Launcher  18 - z9,859
Basic Torpedo Launcher (Doc)  69 - z53,915
Basic Warp Drive Fuel  278 - z1,990
Bomber Drone  54 - z17,755
Bottled Whiskey  29 - z124
Calcium  314 - z4
Candy Cane  21 - z1
Candy Corn  16 - z1
Carbon  195 - z2
Carbon Fiber  201 - z20
Chocolate Bars  2 - z1
Circuit Board  216 - z77
Cleaning Chemicals  17 - z77
Colored Dye  24 - z21
Containment Unit  3 - z13,765
Disposables  10 - z6,466
