[s:30][c:yellow]ValueStar[/c][/s]
Trade Floor Facility
Binofesiv Sedkeesed
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 14001.83
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction
Comm Device
Compartment Frame
Connection Harness
Cooling Unit
Duct Work
Electrical Interface
Electrical Regulator
Electromagnetic Emitter
Fiber Optic Interface
Fuel Injector
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (26) x Gummy Bears
Fulfill order for [c:lime]30 profit.[/c]
[c:green]BUY Order[/c] Market Items Req: (1) Items 
 (181) x Chocolate Bars
Fulfill order for [c:lime]261 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  232 - z1,316
Acidic Residue  745 - z15
Adamyte Ore  599 - z7
Advanced 20mm  133 - z43
Advanced 60mm  284 - z105
Advanced Cargo Expansion  28 - z73,044
Advanced Drone Command Bay (Doc)  71 - z1,268,040
Advanced ECM Energy Coil  7 - z681,771
Advanced ECM Power Boost Field  39 - z527,070
Advanced ECM Resistance Field  52 - z537,762
Advanced Energy Armor  39 - z78,044
Advanced Explosive Armor  35 - z128,044
Advanced Filter  2 - z24,663
Advanced Heavy Laser (Doc)  4 - z358,641
Advanced Mass Reduction  42 - z82,840
Advanced Missile  125 - z286
Advanced Missile Launcher  71 - z57,580
Advanced Missile Launcher (Doc)  17 - z542,575
Advanced Railgun (Doc)  86 - z442,695
Advanced Regulator  36 - z15,685
Advanced Rocket Launcher  5 - z77,213
Advanced Rocket Launcher (Doc)  370 - z488,963
Advanced Scan Emitter  29 - z79,232
Advanced Shield Booster  55 - z129,044
Advanced Shield Generator  13 - z86,447
Advanced Spring Loader  189 - z1,366
Advanced Targeting System  72 - z42,870
Advanced Thruster (Doc)  34 - z917,721
Advanced Torpedo Launcher  25 - z65,901
Advanced Warp Drive Fuel  24 - z3,026
Advanced Waste Unit  37 - z366,084
Aluminium Shard  66 - z28
Ammunition Loader  249 - z1,286
Antenna Array  218 - z1,881
Anti-Freeze  50 - z45
Armor Plating  686 - z1,881
Armor Plating (Doc)  11 - z10,263
Assembly Tools  76 - z4,269
Assorted Springs  120 - z48
Ball Bearings  109 - z66
Basic 20mm  263 - z14
Basic Afterburner  59 - z20,209
Basic Beam Energy Mod (Doc)  1 - z177,131
Basic Beam Impact Mod  41 - z27,011
Basic Beam Impact Mod (Doc)  36 - z321,131
Basic Cargo Expansion  41 - z19,261
Basic ECM Resistance Field  30 - z259,188
Basic Energy Armor  43 - z23,261
Basic Energy Capacitor  69 - z30,691
Basic Filter  6 - z5,673
Basic Heavy Laser (Doc)  42 - z33,127
Basic Impact Armor  3 - z22,011
Basic Laser Explosive Mod  12 - z21,011
Basic Mass Reduction  12 - z19,790
Basic Missile   365 - z132
Basic Missile Launcher  40 - z6,779
Basic Missile Launcher (Doc)  68 - z48,527
Basic Projectile Energy Mod  15 - z25,511
Basic Projectile Explosive Mod (Doc)  9 - z351,131
Basic Railgun (Doc)  161 - z34,458
Basic Scan Emitter  16 - z20,708
Basic Sensor  56 - z92
Basic Shield Generator  77 - z32,412
Basic Torpedo   243 - z171
Basic Torpedo Launcher  8 - z9,580
Basic Torpedo Launcher (Doc)  161 - z41,598
Basic Turn Thrust (Doc)  26 - z252,105
Battery Core  548 - z161
Belasite Ore  301 - z263
