[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 55741.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Construction Platform
Spaceframe
Thermal Systems Package
Weapon Systems Package
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Generic Plasma Cannon
Basic Plasma Cannon
Improved Plasma Cannon
Advanced Plasma Cannon
Premium Plasma Cannon
Prototype Plasma Cannon
Generic Ion Beam
Basic Ion Beam
Improved Ion Beam
Advanced Ion Beam
Premium Ion Beam
Prototype Ion Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  5 - z13
Weapon Systems Package (Doc)  28 - z80,145
Water  33 - z1
Waste Processor  15 - z25,173
Undamaged Part  93 - z77
Tractor Beam  15 - z12,659
Titan Mining Drone (Doc)  27 - z1,131,784
Titan Mining Drone  12 - z248,552
Thermal Systems Package  150 - z2,123
Thermal Sensor  30 - z61
Thermal Insulation  154 - z27
Thermal Controller  7 - z8,639
Temperature Genie  1 - z15,097
Steelium Pipes  118 - z22
Steelium Beam (Doc)  16 - z119
Spotlight  6 - z10,754
Spaceframe  40 - z5,672
Small Storage Tank  8 - z59
Small Salvage Drone  15 - z7,285
Small Repair Drone  30 - z5,065
Small LS Bomb  39 - z6,679
Small Life Support Pack  24 - z3,621
Small Combat Drone (Doc)  17 - z25,368
Small Combat Drone  45 - z6,445
Silicon  412 - z4
Rubber Tubing  257 - z29
Regulator  236 - z112
Quazor Ore  298 - z21
Prototype Turn Thrust (Doc)  29 - z4,393,752
Prototype Torpedo   114 - z1,228
Prototype Railgun (Doc)  24 - z5,194,663
Prototype Plasma Cannon  7 - z3,660,284
Prototype Missile   105 - z572
Prototype Heavy Cannon (Doc)  20 - z5,743,933
Prototype ECM Power Boost Field (Doc)  2 - z12,274,700
Protein Bar  9 - z5,349
Premium Rocket Launcher (Doc)  100 - z1,476,925
Premium Pulse Laser (Doc)  15 - z1,251,831
Premium Ion Beam  19 - z497,100
Polymere (Doc)  1 - z543
Polymere  156 - z86
Plastix Strands  246 - z4
Plastic Caps (Doc)  8 - z657
Plasite Extractor (Doc)  23 - z9,495,679
Oxygen  128 - z3
Ornament  17 - z5
Optical Interface  75 - z145
Office Furniture  21 - z1,164
Noodles  2 - z11,812
Misc Hardware (Doc)  25 - z6,635
Metal Valve  96 - z33
Metal Gears  206 - z21
Metal Brackets  144 - z15
Medium Shield Charge  23 - z17,098
Medium Life Support Pack  2 - z14,763
Medium Combat Drone (Doc)  14 - z100,337
Medium Armor Bomb  24 - z14,964
Mechanical Switch  46 - z85
Mechanical Belts  159 - z40
Magnetic Quartz  278 - z3
Lubricant  206 - z20
Liquid Coolant  49 - z23
Light Shield Recharger (Doc)  18 - z153,026
Light Shield Charge  29 - z5,279
Light Energy Charge  3 - z4,225
Large Defense Drone  10 - z99,421
Large Combat Drone  42 - z97,421
Kitchen Appliances  5 - z577
Interior Lighting  14 - z134
Improved Thruster  5 - z34,617
Improved Scan Booster  10 - z45,000
Improved Rocket Launcher  27 - z20,193
Improved Repair Drone  31 - z28,089
Improved Ore Harvester  26 - z55,576
Improved Missile Launcher (Doc)  113 - z132,622
Improved Light Turret  12 - z21,663
Improved Heavy Cannon  17 - z21,134
Improved Filter  6 - z11,322
Improved Explosive Armor (Doc)  23 - z386,524
Improved Energy Capacitor  24 - z60,539
Improved Defense Drone  9 - z40,689
Improved Combat Drone  57 - z56,889
Hydrogen  399 - z3
Ham Sandwich  3 - z20,028
Gummy Bears  16 - z1
Gourmet Food Rations  29 - z345
Generic Torpedo Launcher  11 - z2,482
Generic Railgun (Doc)  126 - z10,730
Generic Missile Launcher (Doc)  147 - z10,056
Generic Missile Launcher  28 - z2,253
Generic Light Turret  8 - z2,288
Generic Ion Beam  6 - z3,313
Generic Heavy Laser (Doc)  24 - z7,746
Generic Heavy Cannon  22 - z1,637
Generic Construction Platform  31 - z6,931,547
Fiber Optic Cables  97 - z123
ECM Module Disruptor (Doc)  9 - z2,025,483
Disposables  2 - z8,149
Containment Unit  3 - z14,997
Cleaning Chemicals  16 - z57
Circuit Board (Doc)  11 - z538
Circuit Board  153 - z42
Chocolate Bars  20 - z1
Carbon  158 - z1
Capacitors  99 - z133
Candy Corn  5 - z1
Candy Cane  5 - z1
Calcium  34 - z6
Bomber Drone  24 - z9,063
Battery Core  96 - z91
Basic Warp Drive Fuel (Doc)  14 - z13,987
Basic Warp Drive Fuel  47 - z1,127
Basic Torpedo Launcher (Doc)  113 - z37,137
Basic Torpedo Launcher  2 - z6,335
Basic Thruster  20 - z27,178
Basic Skill Manual  9 - z201,052
Basic Sensor  25 - z80
Basic Scan Emitter  16 - z20,056
Basic Scan Booster  16 - z14,520
Basic Rocket Launcher (Doc)  43 - z25,697
Basic Railgun  2 - z4,907
Basic Pulse Laser  25 - z7,799
Basic Missile Launcher  29 - z6,346
