[s:30][c:yellow]Valuestar Hub[/c][/s]
Market Center
Bosadjan Wagen
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 19208.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (45) x Advanced Missile
 (72) x Basic Torpedo 
Fulfill order for [c:lime]24,004 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (3) Items 
 (338) x Advanced 60mm
 (89) x Prototype 60mm
 (265) x Basic 60mm
Fulfill order for [c:lime]28,183 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (46) x Prototype 60mm
 (82) x Basic Missile 
 (180) x Basic Missile 
Fulfill order for [c:lime]20,471 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  990 - z21
Adamyte Ore  628 - z5
Advanced 20mm (Doc)  19 - z34,418
Advanced Armor Exterior  26 - z132,053
Advanced ECM Resistance Field  71 - z596,043
Advanced Energy Armor  25 - z119,044
Advanced Filter  18 - z16,945
Advanced Heavy Cannon  23 - z96,253
Advanced Heavy Laser  66 - z69,842
Advanced Mass Reduction  19 - z99,400
Advanced Missile Launcher  58 - z58,523
Advanced Missile Launcher (Doc)  359 - z278,465
Advanced Railgun (Doc)  152 - z391,245
Advanced Regulator  28 - z14,828
Advanced Scan Emitter  50 - z66,992
Advanced Spring Loader  738 - z1,051
Advanced Thruster  74 - z54,637
Advanced Torpedo Launcher  48 - z74,133
Advanced Warp Drive Fuel (Doc)  68 - z544,698
Advanced Waste Unit  14 - z344,973
Aged Wine  32 - z139
AI Interface Drive  437 - z1,002
Aluminium Plates  389 - z326
Aluminium Shard  617 - z14
Ammunition Loader  114 - z1,724
Anti-Freeze  11 - z59
Armor Plating  760 - z1,624
Assembly Tools  31 - z3,936
Assorted Gaskets  305 - z13
Assorted Springs  458 - z55
Basic 60mm  147 - z52
Basic Afterburner  42 - z23,209
Basic Computer  414 - z2,313
Basic ECM Energy Coil  9 - z211,366
Basic ECM Range Lock  57 - z334,969
Basic ECM Resistance Field  28 - z484,910
Basic Filter  24 - z9,103
Basic Food Rations  51 - z54
Basic Ion Beam  40 - z7,480
Basic Laser Energy Mod (Doc)  8 - z285,131
Basic Mass Reduction  60 - z14,730
Basic Missile Explosive Mod  43 - z14,261
Basic Missile Explosive Mod (Doc)  3 - z279,131
Basic Missile Launcher (Doc)  375 - z31,202
Basic Railgun (Doc)  231 - z26,898
Basic Scan Booster  22 - z19,578
Basic Skill Manual  7 - z152,609
Basic Torpedo Launcher  52 - z7,480
Basic Torpedo Launcher (Doc)  44 - z30,678
Basic Warp Drive  30 - z500,219
Basic Warp Drive Fuel  7 - z993
Battery Core  666 - z186
Battery Core (Doc)  72 - z1,545
Belasite Ore  457 - z266
Bio Carbon  809 - z16
Bio Converter  2 - z36,794
Bio Disposables  22 - z106,900
Bomber Drone  89 - z14,557
Bomber Drone (Doc)  69 - z182,540
Bottled Whiskey  69 - z118
Burglar Drone  153 - z11,707
Calciate Residue  507 - z62
Calcium  1051 - z5
Calibration Tools  72 - z5,333
Candy Cane  68 - z1
Candy Corn  51 - z1
Carbon  228 - z2
Carbon Fiber  542 - z23
Carbon Filter  16 - z23,276
Cat Food  22 - z263,477
Ceramic  931 - z11
Cheese and Crackers  8 - z89,666
Cheeseburger  26 - z38,658
Childrens Toys  30 - z217
Chocolate Bars  15 - z1
Cleaning Chemicals  20 - z107
Cloak Booster  10 - z346,775
Cloak Field Generator (Doc)  79 - z7,127,735
Colored Dye  56 - z31
Compartment Frame  430 - z1,895
Containment Processor  30 - z168,978
Containment Unit  15 - z9,315
Copperi Cubex  452 - z16
Copperi Plates  368 - z246
Disposables  26 - z5,883
Duct Work  172 - z2,262
Dynex Crystal  659 - z20
Dynex Crystal Resonator  779 - z449
Dynex Ore  29 - z175
Eco Regulator  37 - z23,276
Electron Orb  675 - z182
Electronic Fragment  611 - z119
Elite Skill Manual  62 - z1,073,693
Energy Bomb  54 - z7,804
Engine Component  481 - z767
Entertainment Electronics  73 - z741
Fiber Optic Cables  384 - z95
Fiber Optic Interface  155 - z1,730
Foodservice Equipment  27 - z5,911
Foodservice Products  14 - z4,432
Gaming Devices  11 - z1,899
Generic Missile Launcher  73 - z2,707
Generic Ore Harvester  47 - z4,802
Gourmet Food Rations  27 - z232
Gradeon Extractor (Doc)  59 - z5,465,016
Gradeon Ore  379 - z13
Grilled Steak  17 - z82,094
Gummy Bears  72 - z1
Ham Sandwich  38 - z16,088
Hand Tools  459 - z350
Hardened Glass Panels  289 - z494
Heavy Armor Bomb  42 - z81,845
Heavy Armor Repair  32 - z57,632
Heavy Energy Charge  10 - z55,644
Heavy Salvage Drone  97 - z145,272
Heavy Shield Charge  25 - z42,601
Hydrogen  1082 - z4
Hydrox Filter  21 - z383,677
