[s:30][c:yellow]Lammassu Hub[/c][/s]
Enterprise Hub
Dueemifie Uomi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 34763.56
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Candy Cane
Ornament
Wrapped Box
[c:orange]DEMAND[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (381) x Entertainment Electronics
Buy items for [c:lime]66,548 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (144) x Entertainment Electronics
 (474) x Candy Cane
Buy items for [c:lime]39,691 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (431) x Wrapped Box
 (278) x Media Recordings
Buy items for [c:lime]270,265 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (84) x Musical Instruments
 (85) x Entertainment Electronics
Buy items for [c:lime]221,252 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Containment Field Emitter (Doc)  15 - z76,806
Battery Array (Doc)  15 - z53,620
Prototype Heavy Cannon (Doc)  14 - z3,682,013
Sensor Array (Doc)  39 - z38,724
Prototype Railgun (Doc)  120 - z7,483,186
Prototype Rocket Launcher (Doc)  13 - z6,130,945
Titan Repair Drone  45 - z181,828
Generic Construction Platform  29 - z6,354,844
Prototype Missile Launcher (Doc)  21 - z5,819,653
Heavy Armor Repair  56 - z52,367
Large Motor (Doc)  24 - z48,517
Premium Railgun (Doc)  129 - z1,399,746
Heavy Defense Drone  11 - z204,157
Heavy Mining Drone  86 - z162,907
Heavy Combat Drone  78 - z190,957
Premium Heavy Laser  14 - z286,333
Premium Torpedo Launcher  12 - z391,596
Duct Work (Doc)  4 - z15,756
Micro Leech Drone  7 - z8,360
Premium Missile Launcher  20 - z316,045
Advanced Rocket Launcher  19 - z98,382
Advanced Railgun  13 - z71,753
Advanced Salvage Collector  18 - z143,599
Advanced Pulse Laser  43 - z74,372
Bomber Drone  34 - z16,460
Large Defense Drone  57 - z76,731
Basic Warp Drive Fuel  289 - z1,948
Advanced Ion Beam  6 - z65,579
Large Mining Drone (Doc)  3 - z264,740
Basic Skill Manual  92 - z161,828
Misc Hardware (Doc)  16 - z7,465
Advanced 20mm  130 - z58
Plasite Extractor (Doc)  41 - z5,705,340
Medium Life Support Pack  27 - z11,660
Advanced 60mm (Doc)  30 - z49,366
Basic Warp Drive Fuel (Doc)  47 - z16,917
Prototype Cargo Expansion  10 - z294,925
Medium Shield Recharger  27 - z137,554
Personal Clothing  8 - z1,184
Hygiene Products  39 - z204
Communication Device  48 - z2,220
Transport Units  33 - z6,623
Electronic Fragment  96 - z115
Torim Ore  437 - z50
Copperi Pipes  470 - z180
Acidic Residue  248 - z12
Prototype ECM Power Boost Field  49 - z779,666
Grilled Steak  6 - z85,171
Copperi Cubex  251 - z13
Prototype Explosive Armor  10 - z294,925
Cloak Energy Core  6 - z639,940
Keypad  408 - z144
Ceramic  702 - z17
Cloak Booster  14 - z323,054
UV Filter  21 - z66,132
Cloak Field Resistance  40 - z340,502
Prototype Targeting System  20 - z279,429
Iron Coring Beams  421 - z500
Prototype Drone Command Bay  7 - z587,080
Prototype ECM Resistance Field  45 - z1,039,533
Dynex Crystal Resonator  124 - z396
Burglar Drone  79 - z8,360
Improved Defense Drone  59 - z44,879
Improved Pulse Laser  47 - z18,799
Carbon Filter  12 - z47,920
Waste Burner  18 - z28,036
Improved Salvage Drone  66 - z45,329
Eco Regulator  1 - z20,908
Cheeseburger  17 - z47,920
Premium Energy Generator  47 - z218,918
Gaming Devices  40 - z2,266
Improved Missile Launcher (Doc)  96 - z98,005
Iron Coring  611 - z6
Nitrogen  645 - z10
Oil  708 - z14
Improved Rocket Launcher (Doc)  179 - z134,421
Metal Fragment  312 - z77
Childrens Toys  38 - z390
Micro Processor  87 - z175
Motion Sensor  307 - z107
Premium Turn Thrust (Doc)  38 - z1,127,640
Memory Chip  19 - z193
Small Motor  476 - z378
Premium Armor Exterior  42 - z222,555
Premium Scan Booster  27 - z90,792
Lokken Ore  50 - z39
Premium Thruster  1 - z219,629
