[s:30][c:yellow]Tella's[/c][/s]
Entertainment Hub
Jidzangee Akleinortis
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 36363.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Keypad
Basic Beam Impact Mod
Basic Beam Energy Mod
Basic Beam Explosive Mod
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Energy Capacitor
Improved Energy Capacitor
Advanced Energy Capacitor
Premium Energy Capacitor
Prototype Energy Capacitor
Basic Energy Generator
Improved Energy Generator
Advanced Energy Generator
Premium Energy Generator
Prototype Energy Generator

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Selling Items: (2) Items 
 (18) x Iron Coring Plates
 (14) x Belasite Ore
Buy items for [c:lime]-509 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  15 - z10
Water  281 - z1
Titan Repair Drone  2 - z194,824
Titan Defense Drone  32 - z332,324
Thermal Insulation  92 - z25
Thermal Controller  4 - z7,065
Steelium Pipes  83 - z20
Steelium Beam  116 - z14
Small Web Field  33 - z7,754
Small Storage Tank  61 - z34
Small Defense Drone  8 - z7,976
Small Combat Drone  38 - z3,896
Scrap Part  2671 - z24
Salt Crystal  275 - z2
Rubber Tubing  36 - z40
Reinforced Rubber  37 - z18
Recon Scanner Drone  4 - z12,289
Prototype Missile   50 - z444
Prototype Energy Generator  23 - z638,006
Prototype 60mm  94 - z230
Prototype 20mm  62 - z142
Protein Bar  9 - z5,735
Premium Rocket Launcher (Doc)  60 - z1,139,420
Oxygen  290 - z2
Ornament  19 - z5
Office Furniture  516 - z621
Nuts And Bolts  37 - z9
Noodles  6 - z11,629
Micro Leech Drone  12 - z11,239
Metal Valve  209 - z42
Metal Gears  58 - z29
Metal Brackets  191 - z17
Medium Web Field  31 - z23,023
Medium Energy Charge  35 - z11,147
Medium Armor Repair  16 - z21,823
Medium Armor Bomb  36 - z26,441
Magnetic Quartz  61 - z2
Liquid Coolant  38 - z27
Light Shield Recharger  11 - z17,482
Kitchen Appliances  769 - z671
Keypad  41 - z197
Junk Part  165 - z22
Iron Coring Beams  150 - z203
Ionization Plate (Doc)  1 - z43,066
Interior Lighting  4 - z214
Improved Turn Thrust  18 - z53,172
Improved Thruster  16 - z45,330
Improved Shield Generator  19 - z56,662
Improved Scan Emitter  18 - z40,295
Improved Scan Booster  25 - z26,193
Improved Rocket Launcher (Doc)  18 - z102,814
Improved Missile Launcher (Doc)  93 - z115,790
Improved Mass Reduction  9 - z52,408
Improved Filter  3 - z8,444
Improved Energy Generator  7 - z79,751
Improved Energy Capacitor  13 - z74,054
Improved Energy Armor (Doc)  15 - z383,578
Improved Defense Drone  26 - z40,468
Improved Cargo Expansion  2 - z56,965
Improved Afterburner  1 - z30,772
Hygiene Products  17 - z307
Hydrogen  141 - z4
Hardened Glass Panels  42 - z477
Hand Tools  45 - z394
Gummy Bears  14 - z1
Gradeon Ore  57 - z15
Glass Panels  46 - z367
Generic Plasma Cannon  5 - z1,824
Generic Ore Harvester  27 - z4,837
Generic Missile Launcher  4 - z2,528
Fasteners  5 - z15
Elite Skill Manual  5 - z637,163
Electronic Switch  47 - z342
Electrical Interface (Doc)  7 - z22,879
Dynex Crystal Resonator  33 - z315
Disposables  6 - z8,465
Copperi Plates  48 - z252
Copperi Pipes  41 - z229
Containment Unit  4 - z16,284
Colored Dye  697 - z28
Cloak Range Extender (Doc)  3 - z8,197,317
Cleaning Chemicals  18 - z79
Chocolate Bars  10 - z1
Carbon Fiber  91 - z20
Carbon  202 - z2
Candy Corn  811 - z1
Candy Cane  5 - z1
Beam Defense System (Doc)  17 - z1,694,875
Basic Torpedo   9 - z157
Basic Thruster  8 - z12,795
Basic Skill Manual  26 - z282,324
Basic Scan Emitter  14 - z23,567
Basic Scan Booster  19 - z21,647
Basic Rocket Launcher  14 - z5,035
Basic Railgun  20 - z4,950
Basic Pulse Laser  17 - z7,205
Basic Projectile Explosive Mod (Doc)  12 - z296,789
Basic Plasma Cannon  18 - z10,159
Basic Ore Harvester  10 - z17,210
Basic Missile Launcher (Doc)  52 - z31,158
Basic Missile Launcher  5 - z9,620
Basic Light Turret  1 - z6,435
Basic Heavy Cannon  13 - z5,847
Basic Filter  6 - z9,305
Basic Explosive Armor  2 - z32,732
Basic Energy Generator  13 - z41,372
Basic Energy Armor  8 - z32,982
Basic ECM Range Lock (Doc)  4 - z4,796,664
Basic Drone Command Bay  5 - z37,972
Basic Cargo Expansion  7 - z17,482
Basic Beam Impact Mod (Doc)  16 - z239,789
Basic Beam Impact Mod  38 - z19,982
Basic Beam Explosive Mod  38 - z18,482
Basic Beam Energy Mod  12 - z8,482
Basic Armor Exterior  1 - z32,979
Basic 20mm  76 - z17
Assorted Gaskets (Doc)  10 - z99
Assorted Gaskets  175 - z17
Anti-Freeze  17 - z56
Aluminium Rivets  40 - z24
Aluminium Plates  44 - z211
Advanced Thruster (Doc)  5 - z906,491
Advanced Targeting System (Doc)  4 - z529,826
Advanced Rocket Launcher (Doc)  14 - z291,249
Advanced Regulator  4 - z8,566
Advanced Railgun (Doc)  90 - z416,383
Advanced Missile Launcher (Doc)  87 - z499,591
Advanced Missile  1721 - z225
Advanced Energy Generator  10 - z159,502
Adamyte Ore  3390 - z8


<Station University Skills>
Refinery Mechanic
Beam Damage Calibration
Ship Energy Regeneration
Beam Focal Range
Miner Advanced Systems


<Station Missions>
[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>General Paecie Xodes</i></color> in <color='cyan'>Jermicus</color> and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]KILL[/c]
Execute <color='yellow'><i>Lieutenant Arxo Wheased</i></color> in <color='cyan'>Jermicus</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Laborer Deezae Pamokile</i></color> in <color='cyan'>Lins</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]HARVEST[/c]
Excavate special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Coralor</color> and return with <color='yellow'>128</color> to Mazu Starship in <color='cyan'>Enoch Estates</color>

[c:lime]KILL RECOVER[/c]
Hijack <color='yellow'><i>Doctor Gotal Videevel</i></color> in <color='cyan'>Cliffs of Drameria</color> for <color='yellow'>2</color> <color='yellow'>Improved Shield Boosters</color> and deliver them to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dorando Corridor</color> and return with <color='yellow'>59</color> to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]DIALOG[/c]
Transfer a legal document to <color='yellow'><i>Privateer Bolas Corqeqa</i></color> in <color='cyan'>Temple Gates</color>. Return with confirmation at Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Chaferea</color> and return to Oak Industries in <color='cyan'>Dorando Corridor</color> with minimum of <color='yellow'>146</color>

[c:lime]REFINE[/c]
Refine medium shipment of <color='yellow'>38</color> <color='yellow'>Scrap Parts</color> in <color='cyan'>Dorando Corridor</color> at the Oak Industries station refinery

[c:lime]HARVEST[/c]
Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>59</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]DELIVERY[/c]
Dock at Parisan in <color='cyan'>Goru Populan</color> to deliver a light shipment of <color='yellow'>2</color> <color='yellow'>Premium Shield Boosters</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>50</color> <color='yellow'>Adamyte Ores</color> in <color='cyan'>Hunu</color>, and return to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]DIALOG[/c]
Chat with <color='yellow'><i>Accountant Tides Faedale</i></color> about his debt in <color='cyan'>Jelumus</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>



<Station Ships>
EU-3 Ore Collector / Escort    (Excavation)
BF-1 Missile Enforcer / Escort    (Assault)
BC-1 Alpharis Predator / Escort    (Battle)
BDN-1 Imperious Titanous / Battlecruiser    (Battle)
