[s:30][c:yellow]Stinkfinger[/c][/s]
Headquarters
Restimeslom Lelaseno
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 42755.76
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Market
University
Storage
Fabricator
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (316) x Wrapped Box
 (248) x Ornament
Fulfill order for [c:lime]5,907 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (380) x Candy Cane
 (349) x Ornament
Fulfill order for [c:lime]967 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (67) x Ornament
 (108) x Wrapped Box
Fulfill order for [c:lime]1,158 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (303) x Wrapped Box
Fulfill order for [c:lime]1,634 profit.[/c]
[c:red]SELL Order[/c] Market Supply: (2) Items 
 (51) x Basic Missile 
 (305) x Basic 20mm
Buy items for [c:lime]8,129 discount.[/c]
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (299) x Candy Cane
 (161) x Wrapped Box
Fulfill order for [c:lime]3,377 profit.[/c]
[c:red]SELL Order[/c] Sell Order for: (1) Items 
 (28) x Carbon
Buy items for [c:lime]27 discount.[/c]
[c:green]BUY Order[/c] Market Items Req: (1) Items 
 (72) x Candy Cane
Fulfill order for [c:lime]133 profit.[/c]
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (100) x Prototype 20mm
Buy items for [c:lime]4,897 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  122 - z14
Adamyte Ore  499 - z8
Advanced 20mm  38 - z46
Advanced 60mm  36 - z67
Advanced ECM Energy Coil  25 - z767,607
Advanced ECM Power Boost Field  44 - z605,857
Advanced ECM Resistance Field (Doc)  40 - z6,830,953
Advanced Filter  19 - z16,916
Advanced Heavy Laser  33 - z67,825
Advanced Light Turret (Doc)  35 - z261,133
Advanced Missile  29 - z225
Advanced Missile Launcher (Doc)  95 - z589,086
Advanced Plasma Cannon  32 - z77,257
Advanced Regulator  28 - z8,686
Advanced Scan Emitter (Doc)  36 - z1,139,665
Advanced Targeting System (Doc)  35 - z970,270
Advanced Thruster  48 - z86,441
Advanced Torpedo   27 - z333
Advanced Torpedo Launcher  50 - z86,339
Aged Wine  54 - z172
Aluminium Plates  246 - z184
Aluminium Rivets  118 - z51
Aluminium Shard  280 - z30
Anti-Freeze  11 - z53
Assorted Gaskets  531 - z19
Assorted Springs  504 - z47
Ball Bearings  27 - z81
Basic 20mm  434 - z26
Basic 60mm  280 - z34
Basic Armor Exterior  43 - z39,272
Basic Beam Energy Mod  37 - z29,726
Basic Beam Impact Mod (Doc)  8 - z380,717
Basic ECM Resistance Field  29 - z328,984
Basic Engine Core  19 - z20,219
Basic Engine Core (Doc)  38 - z319,191
Basic Explosive Armor  47 - z28,976
Basic Filter  17 - z7,133
Basic Food Rations  35 - z60
Basic Heavy Laser (Doc)  13 - z38,464
Basic Ion Beam  56 - z5,536
Basic Ion Beam (Doc)  36 - z42,380
Basic Laser Explosive Mod  55 - z27,726
Basic Missile   42 - z91
Basic Missile Energy Mod  39 - z23,476
Basic Missile Explosive Mod  32 - z29,726
Basic Missile Launcher (Doc)  331 - z31,149
Basic Ore Harvester  33 - z9,787
Basic Projectile Impact Mod  59 - z24,476
Basic Rocket Launcher (Doc)  54 - z36,017
Basic Scan Emitter  27 - z15,103
Basic Sensor  159 - z101
Basic Shield Booster  20 - z16,976
Basic Thruster  14 - z16,780
Basic Torpedo   36 - z155
Basic Torpedo Launcher  51 - z5,620
Basic Torpedo Launcher (Doc)  87 - z43,220
Basic Warp Drive Fuel  322 - z2,126
Battery Core (Doc)  31 - z1,113
Bio Carbon  299 - z37
Bio Converter  1 - z73,468
Bio Disposables  5 - z80,316
Bottled Whiskey  29 - z94
Calcium  889 - z4
Candy Cane  2 - z2
Candy Corn  52 - z1
Capacitors  128 - z98
Carbon  392 - z2
Carbon Fiber  276 - z20
Carbon Filter  29 - z30,728
Ceramic  436 - z19
Cheese and Crackers  2 - z119,379
Cheeseburger  16 - z39,356
Childrens Toys  22 - z294
Chocolate Bars  56 - z1
Circuit Board  539 - z99
Cleaning Chemicals  57 - z100
Cloak Range Extender (Doc)  34 - z4,645,889
Colored Dye  49 - z30
Communication Device  14 - z2,754
Containment Unit  25 - z9,911
Copperi Cables (Doc)  16 - z1,939
Copperi Cubex  490 - z13
Disposables  6 - z5,943
Dynex Crystal  821 - z44
Eco Regulator  21 - z36,730
Electronic Fragment  493 - z121
Electronic Switch  164 - z261
Entertainment Electronics  14 - z581
Fasteners  201 - z11
Fiber Optic Cables  278 - z73
Fiber Optic Cables (Doc)  30 - z651
Foodservice Equipment  27 - z4,969
Foodservice Products  11 - z6,007
Gaming Devices  11 - z3,169
Generic Construction Platform  41 - z5,917,922
Generic Heavy Laser (Doc)  53 - z8,130
Generic Missile Launcher  31 - z1,868
Generic Missile Launcher (Doc)  173 - z8,020
Generic Railgun  40 - z2,638
Generic Railgun (Doc)  296 - z12,829
Generic Rocket Launcher (Doc)  129 - z8,091
Generic Torpedo Launcher (Doc)  20 - z7,309
Glass Panels  74 - z470
Gourmet Food Rations  54 - z391
Gradeon Ore  366 - z9
