//;LOG DATA FILE (Astrox Imperium)
COMPLETED;Refine;Process medium crate of ;203,935;19136341.1013677;Legistron;Dogstar Prime;15h 40m 17s 
ACCEPTED;Refine;Process medium crate of 2...;-541.6425;18931989.7276001;Biomate University;Void Starcross;15h 34m 24s 
COMPLETED;Kill Recover;Eradicate ;162,354;56959769.1118164;Tella's;Bitcola;10h 5m 22s 
ACCEPTED;Kill Recover;Eradicate Lieutenant Zebo...;-12298.99;56725556.105957;Biomate University;Void Starcross;9h 51m 3s 
COMPLETED;Kill Recover;Eradicate ;173,067;58712011.5332031;Mazu Starship;Volox;9h 42m 9s 
ACCEPTED;Kill Recover;Eradicate Entertainer Low...;-5860.04;63197543.9599609;Biomate University;Void Starcross;8h 13m 24s 
COMPLETED;Fabricate;Produce a medium shipment...;78,918;64457428.4991238;Daemon Ammunitions;Starfort Ramos;7h 47m 9s 
COMPLETED;Fabricate;Manufacture ;59,333;64139438.2872097;Mass Market;Dorando Corridor;7h 36m 27s 
ACCEPTED;Fabricate;Produce a medium shipment...;-224745;64024518.3145535;Star Shepards Hub;Temple Gates;7h 29m 34s 
ACCEPTED;Fabricate;Manufacture 6 Ionization ...;-55722;64249263.3145535;Star Shepards Hub;Temple Gates;7h 29m 31s 
COMPLETED;Salvage;Dismantle ;36,593;64213852.4974148;Rendo Labs;Entropy;7h 21m 8s 
COMPLETED;Recover;Recover a light quantity ...;10,000;64172123.0252469;Horizons;Gate of Alpharis;7h 12m 48s 
ACCEPTED;Recover;Recover a light quantity ...;-4312.32;64146194.8753445;StarShepards Headquarters;Void Starcross;7h 8m 41s 
ACCEPTED;Salvage;Dismantle Special Junk Pa...;-504;64150507.1951687;StarShepards Headquarters;Void Starcross;7h 8m 7s 
COMPLETED;Harvest;Excavate special ;16,793;64182561.1951687;Biomate University;Void Starcross;7h 5m 44s 
COMPLETED;Kill Raiders;Hunt 1 Ra...;10,000;64151930.187341;Quantex;Dellis Primeria;7h 2m 38s 
ACCEPTED;Kill Raiders;Hunt 1 Raider level 10 Ra...;-0;64143225.9471066;StarShepards Headquarters;Void Starcross;6h 51m 58s 
ACCEPTED;Harvest;Excavate special Special ...;-620.94;64143225.9471066;StarShepards Headquarters;Void Starcross;6h 51m 33s 
COMPLETED;Escort;Escort ;10,000;64138593.887109;StarGypsy Warehouse;Void Starcross;6h 48m 23s 
ACCEPTED;Escort;Escort Foreman Pieno Goop...;-0;76062843.09375;StarShepards Headquarters;Void Starcross;6h 29m 16s 
COMPLETED;Salvage;Salvage S...;32,175;384245.156800628;ValueStar;Hunu;3h 52m 10s 
ACCEPTED;Salvage;Salvage Special Junk Part...;-488.25;186856.739588737;Oro Omniplex Center;Merces Academy;3h 38m 11s 
COMPLETED;Delivery;Dock at Daemon Ammunition...;27,535;172341.755213737;Daemon Ammunitions;Starfort Ramos;3h 24m 51s 
ACCEPTED;Delivery;Dock at Daemon Ammunition...;-47162.5;97744.7552137375;Quantex;Dellis Primeria;3h 21m 45s 
COMPLETED;Fabricate;Produce a light container...;14,378;138298.380213737;Quantex;Dellis Primeria;3h 17m 56s 
ACCEPTED;Fabricate;Produce a light container...;-5262;121320.129237175;StarShepards Headquarters;Void Starcross;3h 11m 48s 
COMPLETED;Scan;Find the target ;23,001;118711.437335014;StarShepards Headquarters;Void Starcross;3h 9m 26s 
COMPLETED;Harvest;Harvest special ;11,930;95735.2517881393;Starbase Corporate Center;Void Starcross;3h 8m 49s 
ACCEPTED;Scan;Find the target Storage F...;-0;93193.9767881632;CoraVault;Lins;2h 50m 43s 
COMPLETED;Refine;Refine 8;31,894;82155.8361631632;CoraVault;Lins;2h 47m 47s 
COMPLETED;Harvest;Excavate special ;31,473;49881.7804431915;Horizons;Gate of Alpharis;2h 41m 36s 
ACCEPTED;Refine;Refine 8 Belasite Ores at...;-466.14;18260.2288837433;Tella's;Bitcola;2h 37m 59s 
ACCEPTED;Harvest;Excavate special Special ...;-248.325;18926.3688983917;CoraVault;Lins;2h 31m 11s 
COMPLETED;Recover;Locate a light ;14,457;26862.9313964844;ValueStar;Hunu;2h 27m 56s 
ACCEPTED;Recover;Locate a light Crate in t...;-2500;10006.1813964844;Transporteers;Hunu;2h 25m 26s 
COMPLETED;Transport;Transport a light shipmen...;10,000;12506.1813964844;Transporteers;Hunu;2h 24m 18s 
ACCEPTED;Transport;Transport a light shipmen...;-634.53;2096.6513671875;StarShepards Headquarters;Void Starcross;2h 17m 42s 
ABORTED;Harvest;Harvest special ;-6,750;-6523.47998046875;Undocked;Void Starcross;1h 14m 23s 
ABORTED;Harvest;Harvest special ;-6,750;226.52001953125;Undocked;Void Starcross;1h 13m 17s 
ACCEPTED;Harvest;Harvest special Special A...;-122.5;28370.2890625;StarShepards Headquarters;Void Starcross;0h 45m 38s 
ACCEPTED;Harvest;Harvest special Special A...;-126;28492.7890625;StarShepards Headquarters;Void Starcross;0h 45m 36s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;4,457;72087.0500917435;Biomate University;Void Starcross;0h 38m 14s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;6,820;67730.0500917435;Biomate University;Void Starcross;0h 29m 28s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;6,820;65130.9273433685;Biomate University;Void Starcross;0h 16m 10s 
COMPLETED;Harvest;( Tutorial 1 ) Harvest yo...;6,300;60895;Biomate University;Void Starcross;0h 7m 1s 
