// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;1270.047
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;404x122;332.00;11763.15
ITEM;2000;623;1.14;24.44
ITEM;1;576;1.02;8.04
ITEM;41;173;0.96;55.12
ITEM;51;112;0.66;66.55
ITEM;1752;56;0.76;142197.50
ITEM;1771;0;1.35;1065982.00
ITEM;1766;0;1.58;1305652.00
ITEM;1776;0;1.25;938037.30
ITEM;2320;9;1.07;7804538.00
ITEM;1761;0;1.12;1007912.00
ITEM;1572;76;0.89;105948.40
ITEM;1582;33;1.07;134258.30
ITEM;1512;35;0.66;69408.63
ITEM;2215;7;0.70;875143.50
ITEM;622;7;1.19;28271.03
ITEM;1113;30;0.71;79113.62
ITEM;61;319;0.71;212.31
ITEM;2127;449;1.21;631380.60
ITEM;1202;59;0.56;118117.90
ITEM;641;24;1.14;15542.00
ITEM;2121;249;0.89;434638.60
ITEM;2121;-99;1.10;526819.90
ITEM;1617;22;0.59;54623.81
ITEM;1552;61;1.14;126873.40
ITEM;76;193;1.01;480.41
ITEM;1069;62;0.90;105856.80
ITEM;1786;96;0.77;2250226.00
ITEM;401;9;1.16;6185.93
ITEM;667;28;0.52;228261.10
ITEM;310;0;1.26;236.55
ITEM;2025;349;1.21;1719.11
ITEM;2001;339;0.75;244.67
ITEM;111;482;1.14;29.32
ITEM;2026;118;0.75;1241.25
ITEM;2027;886;0.97;1707.21
ITEM;302;48;0.94;48.67
ITEM;351;43;1.04;6475.86
ITEM;167;538;0.68;52.01
ITEM;169;472;1.01;80.55
ITEM;50;225;0.52;24.33
ITEM;1620;52;0.86;29662.03
ITEM;1722;60;0.58;17718.36
ITEM;70;76;0.85;122.34
ITEM;2305;39;0.61;354592.50
ITEM;1770;0;1.60;711704.60
ITEM;1765;0;1.30;624888.80
ITEM;1775;0;1.35;573635.10
ITEM;1760;0;1.34;679693.50
ITEM;620;41;0.59;5031.14
ITEM;312;0;1.15;112.57
ITEM;2143;16;1.03;44611.27
ITEM;1711;41;0.98;27718.36
ITEM;2297;8;0.65;233620.30
ITEM;1008;40;1.25;9651.14
