// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Temple of the Void
STATION;type;Worship Center
STATION;owner;Gobaz Jaliswen
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;totv.png
STATION;filename;sector_103_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-0-4-9-2-9-0-5-1-3-2-0
STATION;interior_seed;3-3-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;37003.22
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.90;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.90;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (2) Items ;313x58,312x110;47306.00;68840.93
ITEM;9;589;0.57;0
ITEM;408;800;0.54;7.826432
ITEM;26;566;0.80;7.826432
ITEM;100;481;1.09;7.826432
ITEM;662;3;1.25;7.826432
ITEM;663;12;1.05;7.826432
ITEM;624;33;0.77;7.826432
ITEM;2022;474;0.67;7.826432
ITEM;22;844;1.10;7.826432
ITEM;333;80;0.77;7.826432
ITEM;2185;34;0.72;7.826432
ITEM;5;747;0.59;7.826432
ITEM;2021;416;0.90;7.826432
ITEM;2401;64;0.55;7.826432
ITEM;2019;836;0.66;7.826432
ITEM;124;947;1.15;7.826432
ITEM;760;126;0.85;7.826432
ITEM;734;72;0.81;7.826432
ITEM;749;28;1.18;7.826432
ITEM;744;35;0.65;7.826432
ITEM;647;16;1.25;477402.6
ITEM;202;581;0.67;69.78883
ITEM;645;14;0.51;69.78883
ITEM;640;42;0.69;69.78883
ITEM;340;5;1.21;69.78883
ITEM;642;25;0.83;69.78883
ITEM;625;9;1.14;69.78883
ITEM;2018;331;0.51;69.78883
ITEM;152;898;0.96;69.78883
ITEM;117;1279;1.28;69.78883
ITEM;2186;22;0.90;69.78883
ITEM;323;794;0.84;1695.552
ITEM;608;43;0.98;669201.6
ITEM;626;38;0.55;669201.6
ITEM;710;70;1.22;669201.6
ITEM;755;142;1.23;669201.6
ITEM;2378;77;1.05;669201.6
ITEM;720;170;1.21;669201.6
ITEM;2017;811;0.96;669201.6
ITEM;703;165;1.23;669201.6
ITEM;693;48;0.78;4434.063
ITEM;2379;73;0.82;4434.063
ITEM;721;166;0.71;4900.875
ITEM;119;254;0.71;4900.875
ITEM;113;1424;1.16;8.17094
ITEM;2440;1;0.84;8.17094
ITEM;21;4076;0.88;35.22921
ITEM;114;1348;1.03;35.22921
ITEM;207;745;1.09;173.1668
