// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Acrondia Corp.
STATION;type;Fabrication Plant
STATION;owner;Borgale Feiforo
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;acrondia.png
STATION;filename;sector_106_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-7-1-7-2-2-7-0-1-2-3-9-90
STATION;interior_seed;4-4-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;37855.83
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.41;npc_ship_data_(battle_frigate_1).txt
MERC;6;1.99;npc_ship_data_(support_frigate_1).txt
MERC;1;1.59;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.93;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (2) Items ;41x312,60x760;51958;63940.20
BUYORDER;Market Shortage: (2) Items ;23x251,21x117;52450;90203.10

BUYORDER;Market Needs Goods: (1) Items ;25x260;112849;80395.03

SELLORDER;Market Surplus: (1) Items ;77x121;79678;84014.03
SELLORDER;Market Items: (1) Items ;50x295;4569;40111.28
SELLORDER;Market Surplus: (2) Items ;52x94,61x122;22626;46146.16
ITEM;1170;8;1.11
ITEM;1460;8;0.89
ITEM;1050;4;1.09
ITEM;1400;3;1.24
ITEM;1100;4;1.12
ITEM;1003;4;1.20
ITEM;1150;6;1.22
ITEM;1160;1;0.76
ITEM;1200;6;0.76
ITEM;1470;2;0.72
ITEM;1110;1;0.90
ITEM;1054;4;0.75
ITEM;1002;9;1.12
ITEM;1001;6;1.07
ITEM;1052;3;0.77
ITEM;1600;4;0.96
ITEM;1750;7;0.78
ITEM;1610;2;1.15
ITEM;1570;8;0.74
ITEM;1650;6;1.05
ITEM;1550;2;0.78
ITEM;1630;1;0.78
ITEM;1560;1;0.70
ITEM;1500;8;1.00
ITEM;1520;3;0.79
ITEM;1640;9;1.11
ITEM;1580;8;1.23
ITEM;1590;5;0.78
ITEM;1620;3;0.51
ITEM;1540;6;0.71
ITEM;1530;4;0.83
ITEM;1510;8;0.83
ITEM;63;27;0.77
ITEM;2127;41;0.68
ITEM;2652;14;0.60
ITEM;2118;34;0.79
ITEM;2124;7;0.59
ITEM;2119;31;1.24
ITEM;40;29;1.06
ITEM;78;32;1.05
ITEM;2117;18;1.07
ITEM;61;36;0.50
ITEM;2123;8;0.83
ITEM;60;35;1.20
ITEM;52;18;1.06
ITEM;42;10;1.16
ITEM;2130;36;0.88
ITEM;2120;31;0.72
ITEM;2112;13;0.55
ITEM;70;23;0.99
ITEM;673;8;0.72
ITEM;671;16;0.78
ITEM;749;11;1.04
ITEM;756;14;1.22
ITEM;690;17;0.84
ITEM;737;16;0.82
ITEM;758;3;0.90
ITEM;733;1;0.53
ITEM;753;8;0.53
ITEM;725;1;0.81
ITEM;726;11;1.09
ITEM;740;1;0.70
ITEM;620;3;1.17
ITEM;640;4;0.76
ITEM;600;1;1.17
ITEM;660;2;0.98
ITEM;408;2;0.93
ITEM;403;7;1.00
ITEM;301;4;0.59
ITEM;404;7;0.96
ITEM;300;7;1.06
ITEM;302;5;0.66
ITEM;405;1;0.93
ITEM;406;5;0.90
ITEM;407;4;1.11
ITEM;1;82;0.69
ITEM;20;27;1.06
ITEM;100;89;0.51
ITEM;101;22;1.16
ITEM;103;41;1.09
ITEM;164;45;0.89
ITEM;168;31;1.03
ITEM;155;31;0.74
ITEM;152;64;0.56
ITEM;150;46;0.72
ITEM;157;84;0.58
ITEM;151;90;0.95
ITEM;156;75;0.77
ITEM;158;67;0.72
ITEM;153;8;0.97
ITEM;2361;5;0.61
ITEM;2130;6;0.50
ITEM;2289;3;0.87
ITEM;2190;5;0.94
ITEM;2100;6;0.72
ITEM;2140;8;1.13
ITEM;2344;5;1.21
ITEM;2432;9;1.17
ITEM;2430;1;0.60
ITEM;2339;1;0.95
ITEM;2304;7;0.78
ITEM;2386;2;0.54
ITEM;2269;7;0.74
ITEM;2294;8;0.81
ITEM;2429;6;1.21
ITEM;2170;9;0.89
ITEM;2150;8;1.15
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;13;1.66
SKILL;74;1.89
SKILL;234;0.60
SKILL;72;1.81
SKILL;31;0.59
SKILL;60;1.02
SKILL;61;1.66
SKILL;59;1.16
SKILL;212;1.52
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;92;90;911109;KILL_PILOT#sector_58_station_0.txt#sector_98.txt#Colonel Sevfou Fefast#npc_ship_data_(transport_utility_3)#7#null#null#null;Execute <color='yellow'><i>Colonel Sevfou Fefast</i></color> in <color='cyan'>Shine of Mortalis</color> and return to CoraVault in <color='cyan'>Lins</color>;9;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Colonel Sevfou Fefast</i></color> located in <color='cyan'>Shine of Mortalis</color>. <color='yellow'><i>Colonel Sevfou Fefast</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to CoraVault station in the <color='cyan'>Lins</color> system.;33077;11485
MISSION;51;30;179966;SCAN_STRUCTURE#sector_57_station_0.txt#sector_59.txt#Corporate Dock#structure_dock_1.txt#1#null#null#null;Find the target <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Coralor</color>, scan, and return to OmniTrust in <color='cyan'>Ponze</color>;11;<i>Barjoh Inoqe</i> has requested that someone verify the location of <color='yellow'>Corporate Dock</color> in the <color='cyan'>Coralor</color> sector. After a recent mix-up at the zoning office, the Orthodox reps are concerned that construction guidelines were not followed properly. Return to the OmniTrust station located in the <color='cyan'>Ponze</color> with the scan data.;21777;9625
MISSION;111;60;835044;KILL_RAIDERS#sector_71_station_1.txt#sector_18.txt#1#20#npc_ship_data_(VVS_Mule)#random#random#random;Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Gendaria</color>. Return to Parisan in <color='cyan'>Goru Populan</color>;10;A medium group of thugs decided to set up camp in the <color='cyan'>Gendaria</color> system. <i>Zofu Jelsevdee</i>, who has recently been elected as Overseer of <color='cyan'>Gendaria</color> by the Missionarys, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 20 raiders and return to the Parisan station.;36535;13236
